 120Z HOT CAPPUCCINO,12OZ HOT CAPPUCCINO
 PRIDE BURGER,PRIDE BURGER
12 OZ  HOT WHITE MOCHA,12 OZ  HOT WHITE MOCHA
12 OZ HOT CARAMEL MACCHIATO,12 OZ HOT CARAMEL MACCHIATO
12 OZ HOT LATTE,12 OZ HOT LATTE
12OZ HOT AMERICANO,12OZ HOT AMERICANO
12OZ HOT CAPPUCCINO,12OZ HOT CAPPUCCINO
12OZ HOT DOUBLE CARAMEL,12OZ HOT DOUBLE CARAMEL
12OZ HOT LATTE,12OZ HOT LATTE
12OZ HOT MATCHA,12OZ HOT MATCHA
12OZ HOT MILK,12OZ HOT MILK
12OZ HOT MOCHA,12OZ HOT MOCHA
12OZ HOT SPANISH LATTE,12OZ HOT SPANISH LATTE
12OZ HOT WHITE MOCHA,12OZ HOT WHITE MOCHA
160Z JAVA CHIP FRAPPE,160Z JAVA CHIP FRAPPE
160Z MATCHA FRAPPE,160Z MATCHA FRAPPE
160Z VANILLA COFFEE FRAPPE,160Z VANILLA COFFEE FRAPPE
16OZ CARAMEL MACCHIATO,16OZ CARAMEL MACCHIATO
16OZ ICED AMERICANO,16OZ ICED AMERICANO
16OZ ICED DOUBLE CARAMEL,16OZ ICED DOUBLE CARAMEL
16OZ ICED MOCHA,16OZ ICED MOCHA
16OZ ICED SPANISH LATTE,16OZ ICED SPANISH LATTE
16OZ ICED WHITE MOCHA,16OZ ICED WHITE MOCHA
16OZ JAVA CHIP FRAPPE,16OZ JAVA CHIP FRAPPE
16OZ MATCHA FRAPPE,16OZ MATCHA FRAPPE
16OZ MOCHA FRAPPE,16OZ MOCHA FRAPPE
16OZ VANILLA COFFEE FRAPPE,16OZ VANILLA COFFEE FRAPPE
16OZ WHITE CHOCOLATE CHIP FRAPPE,16OZ WHITE CHOCOLATE CHIP FRAPPE
1CAJCHX SPAG PBRD CNC IT,1CAJCHX SPG PBRD CNC IT
1CAJCHX SPG PBRD CNC I,1CAJCHX SPG PBRD CNC IT
1CAJCHX SPG PBRD CNC IT,1CAJCHX SPG PBRD CNC IT
1CAJCHX SPGPBRD CNC IT,1CAJCHX SPG PBRD CNC IT
1PC BIGG CAJUN CHICKEN,1PC BIGG CAJUN CHICKEN
1PC BIGG CHICKEN,1PC BIGG CHICKEN
2PC BIGG CAJUN CHICKEN,2PC BIGG CAJUN CHICKEN
2PC BIGG CHICKEN,2PC BIGG CHICKEN
50%OFF TUNA SALP,50%OFF TUNA SALPICAO
