pos,or,item_code,quantity,price,amount,discount,department_code,date,time,discount_code,type_code,vat_flag,vat_div,vat_amount,vat_discount,vat_price,transaction_number,product,department_name,discount_name,transaction_type,daypart,payment_code,payment_name,phone_number,branch,revenue
1,"=""00188954""",XTR10,1.0,49.0,49.0,0.0,"=""8""",2025-10-01,13:43,,D,1.0,9.333,43.75,0.0,43.75,187751.0,java rice,EXTRAS,,Dine-In,Lunch,1.0,CASH,,CNTRO,49.0
1,"=""00188953""",SDis- 20.00%,1.0,20.0,-47.86,0.0,"=""""",2025-10-01,13:43,1.0,D,,0.0,-47.86,0.0,0.0,187750.0,nan,,SNR CTZN 20%,Dine-In,Lunch,1.0,CASH,,CNTRO,20.0
1,"=""00188953""",REP1,1.0,0.0,0.0,0.0,"=""16""",2025-10-01,13:43,1.0,D,0.0,9.333,0.0,0.0,0.0,187750.0,guest count,REPRESENTATION,SNR CTZN 20%,Dine-In,Lunch,1.0,CASH,,CNTRO,0.0
1,"=""00188953""",SLD5,1.0,106.25,106.25,-21.25,"=""9""",2025-10-01,13:43,1.0,D,0.0,9.33,106.25,0.0,106.25,187750.0,macaroni salad,SALAD DELIGHTS,SNR CTZN 20%,Dine-In,Lunch,1.0,CASH,,CNTRO,106.25
1,"=""00188953""",CHM4,1.0,133.04,133.04,-26.61,"=""1""",2025-10-01,13:43,1.0,D,0.0,9.33,133.04,0.0,133.04,187750.0,1pc bigg chicken,CHICKEN MEALS,SNR CTZN 20%,Dine-In,Lunch,1.0,CASH,,CNTRO,133.04
1,"=""00188952""",SAL4,1.0,0.0,0.0,0.0,"=""9""",2025-10-01,13:40,1.0,D,0.0,9.33,0.0,0.0,0.0,187749.0,thousand island,SALAD DELIGHTS,SNR CTZN 20%,Dine-In,Lunch,1.0,CASH,,CNTRO,0.0
1,"=""00188952""",SLD1,1.0,168.75,168.75,-33.75,"=""9""",2025-10-01,13:40,1.0,D,0.0,9.33,168.75,0.0,168.75,187749.0,southwest salad,SALAD DELIGHTS,SNR CTZN 20%,Dine-In,Lunch,1.0,CASH,,CNTRO,168.75
1,"=""00188951""",BL1,1.0,0.01,0.01,0.0,"=""23""",2025-10-01,13:31,,D,1.0,9.33,0.009,0.0,0.009,187748.0,free pj,BIGGS LOYALTY,,Dine-In,Lunch,18.0,BIGGS LOYALTY,,CNTRO,0.01
1,"=""00188950""",XTR7,1.0,0.0,0.0,0.0,"=""8""",2025-10-01,13:26,14.0,D,0.0,9.33,0.0,0.0,0.0,187747.0,herbmayo,EXTRAS,PWD 20% DISCOUNT,Dine-In,Lunch,1.0,CASH,,CNTRO,0.0
1,"=""00188950""",XTR6,1.0,88.39,88.39,-17.68,"=""8""",2025-10-01,13:26,14.0,D,0.0,9.33,88.39,0.0,88.39,187747.0,french fries,EXTRAS,PWD 20% DISCOUNT,Dine-In,Lunch,1.0,CASH,,CNTRO,88.39
1,"=""00188949""",REP1,3.0,0.0,0.0,0.0,"=""16""",2025-10-01,13:24,,D,1.0,9.333,0.0,0.0,0.0,187746.0,guest count,REPRESENTATION,,Dine-In,Lunch,1.0,CASH,,CNTRO,0.0
1,"=""00188949""",BEV7,3.0,99.0,297.0,0.0,"=""7""",2025-10-01,13:24,,D,1.0,9.33,265.179,0.0,88.393,187746.0,pepsi can,BEVERAGES,,Dine-In,Lunch,1.0,CASH,,CNTRO,297.0
1,"=""00188949""",UP9,2.0,30.0,60.0,0.0,"=""19""",2025-10-01,13:24,,D,1.0,9.333,53.571,0.0,26.786,187746.0,plain to java,UPGRADES UPSELLING,,Dine-In,Lunch,1.0,CASH,,CNTRO,60.0
1,"=""00188949""",CLM14,1.0,332.0,332.0,0.0,"=""2""",2025-10-01,13:24,,D,1.0,9.333,296.429,0.0,296.429,187746.0,beef salpicao,CLASSIC MEALS,,Dine-In,Lunch,1.0,CASH,,CNTRO,332.0
1,"=""00188949""",CLM2,1.0,333.0,333.0,0.0,"=""2""",2025-10-01,13:24,,D,1.0,9.333,297.321,0.0,297.321,187746.0,pork kebabs,CLASSIC MEALS,,Dine-In,Lunch,1.0,CASH,,CNTRO,333.0
1,"=""00188949""",CLM6,1.0,433.0,433.0,0.0,"=""2""",2025-10-01,13:24,,D,1.0,9.333,386.607,0.0,386.607,187746.0,korean spare ribs,CLASSIC MEALS,,Dine-In,Lunch,1.0,CASH,,CNTRO,433.0
1,"=""00188948""",BEV2,1.0,88.39,88.39,-17.68,"=""7""",2025-10-01,13:21,14.0,D,0.0,9.33,88.39,0.0,88.39,187745.0,pineapple juice,BEVERAGES,PWD 20% DISCOUNT,Dine-In,Lunch,1.0,CASH,,CNTRO,88.39
1,"=""00188948""",SAL3,1.0,0.0,0.0,0.0,"=""9""",2025-10-01,13:21,14.0,D,0.0,9.33,0.0,0.0,0.0,187745.0,roasted sesame,SALAD DELIGHTS,PWD 20% DISCOUNT,Dine-In,Lunch,1.0,CASH,,CNTRO,0.0
1,"=""00188948""",SLD7,1.0,168.75,168.75,-33.75,"=""9""",2025-10-01,13:21,14.0,D,0.0,9.33,168.75,0.0,168.75,187745.0,nena's harvest,SALAD DELIGHTS,PWD 20% DISCOUNT,Dine-In,Lunch,1.0,CASH,,CNTRO,168.75
1,"=""00188947""",UP9,1.0,30.0,30.0,0.0,"=""19""",2025-10-01,13:19,,D,1.0,9.333,26.786,0.0,26.786,187744.0,plain to java,UPGRADES UPSELLING,,Dine-In,Lunch,15.0,PAYMAYA,,CNTRO,30.0
1,"=""00188947""",BEV3,1.0,49.0,49.0,0.0,"=""7""",2025-10-01,13:19,,D,1.0,9.33,43.75,0.0,43.75,187744.0,mineral water,BEVERAGES,,Dine-In,Lunch,15.0,PAYMAYA,,CNTRO,49.0
1,"=""00188946""",SHK16,1.0,159.0,159.0,0.0,"=""5""",2025-10-01,13:17,,T,1.0,9.333,141.964,0.0,141.964,187743.0,mango graham,SHAKES,,Take-Out,Lunch,15.0,PAYMAYA,,CNTRO,159.0
1,"=""00188946""",BEV1,1.0,99.0,99.0,0.0,"=""7""",2025-10-01,13:17,,D,1.0,9.33,88.393,0.0,88.393,187743.0,iced tea,BEVERAGES,,Dine-In,Lunch,15.0,PAYMAYA,,CNTRO,99.0
1,"=""00188946""",BEV7,1.0,99.0,99.0,0.0,"=""7""",2025-10-01,13:17,,D,1.0,9.33,88.393,0.0,88.393,187743.0,pepsi can,BEVERAGES,,Dine-In,Lunch,15.0,PAYMAYA,,CNTRO,99.0
1,"=""00188946""",UP10,1.0,30.0,30.0,0.0,"=""19""",2025-10-01,13:17,,D,1.0,9.333,26.786,0.0,26.786,187743.0,to cajun,UPGRADES UPSELLING,,Dine-In,Lunch,15.0,PAYMAYA,,CNTRO,30.0
1,"=""00188946""",GB17,1.0,268.0,268.0,0.0,"=""26""",2025-10-01,13:17,,D,1.0,9.333,239.286,0.0,239.286,187743.0,go dt,GO BIGG,,Dine-In,Lunch,15.0,PAYMAYA,,CNTRO,268.0
