CODE,DESC,TYPE,VALUE,POS,BRANCH
1,SNR CTZN 20%,SUBTOTAL PERCENT,20.000,1,AYALA-FRN
2,SNR CTZN P80,SUBTOTAL AMOUNT,80.000,1,AYALA-FRN
3,REG EMP 20% DISCOUNT,SUBTOTAL PERCENT,20.000,1,AYALA-FRN
4,REG EMP P200 DISCNT,SUBTOTAL AMOUNT,200.000,1,AYALA-FRN
5,PRESTIGE CARD 8%,SUBTOTAL PERCENT,8.000,1,AYALA-FRN
6,PRESTIGE CARD P80,SUBTOTAL AMOUNT,80.000,1,AYALA-FRN
7,PRESTIGE TAKEOUT P50,SUBTOTAL AMOUNT,50.000,1,AYALA-FRN
9,5% DISCOUNT,SUBTOTAL PERCENT,5.000,1,AYALA-FRN
10,BIDA MOM 5%,SUBTOTAL PERCENT,5.000,1,AYALA-FRN
11,5% TIE UP,SUBTOTAL PERCENT,5.000,1,AYALA-FRN
14,PWD 20% DISCOUNT,SUBTOTAL PERCENT,20.000,1,AYALA-FRN
15,PRESTIGE BDS 5%,SUBTOTAL PERCENT,5.000,1,AYALA-FRN
17,SUTHERLAND 5%,SUBTOTAL PERCENT,5.000,1,AYALA-FRN
8,GLOBE 9.17 DISCOUNT,SUBTOTAL PERCENT,9.170,1,AYALA-FRN
12,MVP P200 DISCOUNT,SUBTOTAL AMOUNT,200.000,1,AYALA-FRN
13,OFW POWER CLUB 8%,SUBTOTAL PERCENT,8.000,1,AYALA-FRN
16,10% DISCOUNT,SUBTOTAL PERCENT,10.000,1,AYALA-FRN
18,DISCOUN 6PCS CHCKEN,SUBTOTAL AMOUNT,54.190,1,AYALA-FRN
19,DISCOUNT 8PCS CHCKEN,SUBTOTAL AMOUNT,51.360,1,AYALA-FRN
20,BAKUNA DISCOUNT 20%,SUBTOTAL PERCENT,20.000,1,AYALA-FRN
21,BAKUNA DISCOUNT30%,SUBTOTAL PERCENT,30.000,1,AYALA-FRN
22,8.8 BIGG DEALS,SUBTOTAL AMOUNT,88.000,1,AYALA-FRN
23,MAKE IT BIIGGS,SUBTOTAL PERCENT,20.000,1,AYALA-FRN
24,BLA 20% DISCOUNT,SUBTOTAL PERCENT,0.000,1,AYALA-FRN
25,10% BLA SILOG DISC,SUBTOTAL PERCENT,10.000,1,AYALA-FRN
26,10% BLA PARTY,SUBTOTAL PERCENT,10.000,1,AYALA-FRN
27,10% BLA BBR,SUBTOTAL PERCENT,10.000,1,AYALA-FRN
28,BLA P50 OFF EXT BURG,SUBTOTAL AMOUNT,50.000,1,AYALA-FRN
29,10% TRAVEL DISC,SUBTOTAL PERCENT,10.000,1,AYALA-FRN
30,8% ORG DISCOUNT,SUBTOTAL PERCENT,8.000,1,AYALA-FRN
31,8% ROTARY CLUB NAGA,SUBTOTAL PERCENT,8.000,1,AYALA-FRN
32,8% PICHE BICOL,SUBTOTAL PERCENT,8.000,1,AYALA-FRN
33,8% HABAGAT CS EAGLES,SUBTOTAL PERCENT,8.000,1,AYALA-FRN
34,8% MAHARLIKA EAGLES,SUBTOTAL PERCENT,8.000,1,AYALA-FRN
35,MHRLK EAGLES 1000MAX,SUBTOTAL AMOUNT,1000.000,1,AYALA-FRN
36,PICHE BICOL 1000MAX,SUBTOTAL AMOUNT,1000.000,1,AYALA-FRN
37,ROTARY NAGA 1000MAX,SUBTOTAL AMOUNT,1000.000,1,AYALA-FRN
38,HBGT EAGLES 1000MAX,SUBTOTAL AMOUNT,1000.000,1,AYALA-FRN
39,8% PICE CAMSUR,SUBTOTAL PERCENT,8.000,1,AYALA-FRN
40,8% UNITED ARCH DISC,SUBTOTAL PERCENT,8.000,1,AYALA-FRN
