DEP_CODE,DEP_DESC,POS,BRANCH
1,CHICKEN MEALS,1,AYALA-FRN
2,CLASSIC MEALS,1,AYALA-FRN
3,BREAKFAST,1,AYALA-FRN
4,PASTA DISHES,1,AYALA-FRN
5,SHAKES,1,AYALA-FRN
6,BURGERS AND SANDWICHES,1,AYALA-FRN
7,BEVERAGES,1,AYALA-FRN
8,EXTRAS,1,AYALA-FRN
9,SALAD DELIGHTS,1,AYALA-FRN
10,SIDINGS,1,AYALA-FRN
11,SOUP,1,AYALA-FRN
12,CAKES,1,AYALA-FRN
13,NESPRESSO,1,AYALA-FRN
14,KICKERS AND DIPS,1,AYALA-FRN
15,FREE,1,AYALA-FRN
16,REPRESENTATION,1,AYALA-FRN
17,PREMIUM ITEMS,1,AYALA-FRN
19,UPGRADES UPSELLING,1,AYALA-FRN
20,RND,1,AYALA-FRN
21,P1SO DEALS,1,AYALA-FRN
24,FP COFFEE 2,1,AYALA-FRN
25,PARTY PACKS,1,AYALA-FRN
26,PARTY PACKS ADD-ONS,1,AYALA-FRN
27,BIGGS CLASSIC COMBO,1,AYALA-FRN
28,BRTC W 10% OFF,1,AYALA-FRN
29,MARKETING PROMOS,1,AYALA-FRN
30,MOM KNOWS BEST,1,AYALA-FRN
31,EAT FOR MEETS,1,AYALA-FRN
32,FUNCTION,1,AYALA-FRN
33,DIBS FOR RIBS,1,AYALA-FRN
34,REPRESENTATION 2,1,AYALA-FRN
35,ADD ONS,1,AYALA-FRN
37,SUMMER COOLERS,1,AYALA-FRN
38,SIZZLERS,1,AYALA-FRN
40,BIGGS AT HOME,1,AYALA-FRN
41,BEEF BUNDLES,1,AYALA-FRN
43,NANAYS FAVORITE,1,AYALA-FRN
44,BDS,1,AYALA-FRN
45,HOLIDAY PARTY PACKS,1,AYALA-FRN
47,DOUBLE TREAT PROMO,1,AYALA-FRN
48,NANAYS FAVORATE,1,AYALA-FRN
49,CHICKEN HAM,1,AYALA-FRN
50,TEST MARKET,1,AYALA-FRN
51,KDOG,1,AYALA-FRN
52,FOOD PANDA,1,AYALA-FRN
53,HOME CELEBRATION,1,AYALA-FRN
54,BULK ORDERS,1,AYALA-FRN
55,BIGGS LOYALTY,1,AYALA-FRN
57,GO BIGG,1,AYALA-FRN
56,FP COFFEE,1,AYALA-FRN
58,BIGGS MERCH ITEMS,1,AYALA-FRN
59,RSD PROMOS,1,AYALA-FRN
60,BIGGS LOYALTY 2,1,AYALA-FRN
