INCODE,ITE_DESC,ECR_DESC,DEP_CODE,UNT_PRIC,UNIT,TAXPRCNT1,TAXAMOUNT1,TAX1DIV,POS,BRANCH
CHM1,BIGGS FRIEDE CHICKEN 2PC,BIGGS CHKN 2PC,1,278.000,PC,12.000,19.180,9.330000,1,AYALA-FRN
CHM2,BIGG DEAL,BIGG DEAL,1,342.000,PC,12.000,19.500,9.333333,1,AYALA-FRN
CHM3,CHICKEN-KEBAB MEAL,CHKN-KEBAB,1,298.000,PC,12.000,17.360,9.330000,1,AYALA-FRN
CHM4,BIGGS FRIED CHICKEN 1PC,BIGGS CHKN 1PC,1,149.000,PC,12.000,10.610,9.330000,1,AYALA-FRN
CHM5,BIGGS CAJUN CHICKEN 2PC,BIGGSCAJUN 2PC,1,328.000,PC,12.000,21.320,9.330000,1,AYALA-FRN
CHM6,BIGGS CAJUN CHICKEN 1PC,BIGGSCAJUN 1PC,1,174.000,PC,12.000,12.750,9.330000,1,AYALA-FRN
CHM7,BT-MACARONI,BT-MACARONI,1,229.000,PC,12.000,15.320,9.333333,1,AYALA-FRN
CHM8,BT-POTATO,BT-POTATO,1,0.000,PC,12.000,15.960,9.333333,1,AYALA-FRN
CHM9,SPAGHETTI W CHICKEN,SPAGHETTI W CH,1,238.000,PC,12.000,14.890,9.330000,1,AYALA-FRN
CHM10,CARBO W CHICKEN,CARBO W CHKN,1,263.000,PC,12.000,15.540,9.330000,1,AYALA-FRN
CHM11,SPAGHETTI PLATTER,SPAG PLATTER,1,267.000,PC,12.000,17.680,9.333333,1,AYALA-FRN
CHM12,CARBO PLATTER,CARBO PLATTER,1,298.000,PC,12.000,19.820,9.330000,1,AYALA-FRN
CHM13,6PCS CHICKEN IN A BOX,6PCS CHX BOX,1,739.000,PC,12.000,54.540,9.330000,1,AYALA-FRN
CHM14,8PCS CHICKEN IN A BOX,8PCS-CHX BOX,1,984.000,PC,12.000,70.610,9.330000,1,AYALA-FRN
CHM16,CHICKEN BARBEQUE,CHKN BBQ,1,298.000,PC,12.000,21.210,9.333333,1,AYALA-FRN
CHM18,CHICKEN AND BARBEQUE,CHKN-BBQ,1,298.000,PC,12.000,3.000,9.330000,1,AYALA-FRN
CHM19,BIGG DEAL CHICKEN,BDEAL CHKN,1,209.000,PC,12.000,22.390,9.333333,1,AYALA-FRN
CLM1,PORK CORDON BLEU,CORDON BLEU,2,333.000,PC,12.000,18.750,9.333333,1,AYALA-FRN
CLM2,PORK KEBABS,PORK KEBABS,2,333.000,PC,12.000,17.250,9.333333,1,AYALA-FRN
CLM3,BICOL SPECIAL,BICOL SPECIAL,2,333.000,PC,12.000,17.140,9.333333,1,AYALA-FRN
CLM4,TENDERLOIN TIPS W BMP,TIPS W BMP,0,189.000,PC,12.000,18.750,9.333333,1,AYALA-FRN
CLM5,TENDERLOIN TIPS,TIPS,2,279.000,PC,12.000,16.610,9.333333,1,AYALA-FRN
CLM6,KOREAN SPARE RIBS,KSR,2,433.000,PC,12.000,22.290,9.333333,1,AYALA-FRN
CLM7,SALISBURY STEAK,SALIS,2,323.000,PC,12.000,15.540,9.333333,1,AYALA-FRN
CLM8,BABY BACK RIBS,BABY BACK RIBS,2,499.000,PC,12.000,26.250,9.333333,1,AYALA-FRN
CLM9,FISH CREOLE,FISH CREOLE,2,229.000,PC,12.000,19.710,9.333333,1,AYALA-FRN
CLM10,TANGUEGUI STEAK,TANGUEGUI STEA,2,364.000,PC,12.000,17.680,9.333333,1,AYALA-FRN
CLM12,DNB,DNB,2,362.000,PC,12.000,15.110,9.330000,1,AYALA-FRN
CLM13,DNB W PNGAT,DNB W PNGAT,2,175.000,PC,12.000,16.290,9.330000,1,AYALA-FRN
CLM14,BEEF SALPICAO,BEEF SALPICAO,0,332.000,PC,12.000,15.960,9.333333,1,AYALA-FRN
CLM15,MIXED VEGGIES,MIXED VEGGIES,2,109.000,PC,12.000,8.460,9.333333,1,AYALA-FRN
CLM16,KEBAB A,KEBAB A,2,1199.000,PC,12.000,128.460,9.333333,1,AYALA-FRN
CLM18,KEBAB C,KEBAB C,2,799.000,PC,12.000,85.610,9.333333,1,AYALA-FRN
BRK1,AMERICAN SLAM,AMERICAN SLAM,3,297.000,PC,12.000,15.960,9.333333,1,AYALA-FRN
BRK2,COUNTRY BREAKFAST,COUNTRY B,3,286.000,PC,12.000,15.540,9.333333,1,AYALA-FRN
BRK3,BACON EGG TOAST,BET,3,0.000,PC,12.000,1275.000,9.333333,1,AYALA-FRN
BRK4,DAING NA BANGUS W EGG,DNB W EGG,3,219.000,PC,12.000,12.110,9.330000,1,AYALA-FRN
BRK6,FRANKS N EGG,FRANKS N EGG,3,248.000,PC,12.000,12.750,9.333333,1,AYALA-FRN
BRK7,GRANDSLAM BREAKFAST,GRANDSLAM BREA,3,0.000,PC,12.000,11.250,9.333333,1,AYALA-FRN
BRK8,TOCILOG,TOCILOG,3,259.000,PC,12.000,14.250,9.333333,1,AYALA-FRN
BRK9,TAPSILOG,TAPSILOG,3,267.000,PC,12.000,15.320,9.333333,1,AYALA-FRN
BRK10,GOTO,GOTO,3,99.000,PC,12.000,6.960,9.330000,1,AYALA-FRN
BRK11,GOTO W EGG,GOTO W EGG,3,119.000,PC,12.000,8.250,9.330000,1,AYALA-FRN
BRK12,GOTO W TB,GOTO W TB,3,115.000,PC,12.000,11.460,9.330000,1,AYALA-FRN
BRK13,GOTO W EGG TB,GOTO W EGG TB,3,125.000,PC,12.000,12.750,9.333333,1,AYALA-FRN
BRK14,BREAKFAST SAUSAGE,BSAUSAGE,3,165.000,PC,12.000,14.460,9.330000,1,AYALA-FRN
BRK15,SPANISH OMELETTE,SPANISH OMELET,3,0.000,PC,12.000,14.460,9.330000,1,AYALA-FRN
BRK16,VEGETERIAN OMELETTE,VEGETERIAN OME,3,149.000,PC,12.000,14.460,9.333333,1,AYALA-FRN
BRK17,FARMERS OMELETTE,FARMERS OMELET,3,0.000,PC,12.000,14.460,9.333333,1,AYALA-FRN
PST1,SPAGHETTI,SPAGHETTI,4,114.000,PC,12.000,9.540,9.333333,1,AYALA-FRN
PST4,SPAGHETTI W P.BREAD,SPAG W P.BREAD,4,144.000,PC,12.000,10.610,9.333333,1,AYALA-FRN
PST2,CARBONARA,CARBONARA,4,134.000,PC,12.000,9.110,9.333333,1,AYALA-FRN
PST3,CARBONARA W P.BREAD,CARBO W P.BREA,4,174.000,PC,12.000,11.250,9.330000,1,AYALA-FRN
SHK1,RIPE MANGO SHAKE,RMS,5,159.000,PC,12.000,7.390,9.333333,1,AYALA-FRN
SHK2,HALO SUPREME,HALO SUPREME,5,105.000,PC,12.000,9.110,9.333333,1,AYALA-FRN
SHK4,ROCKY ROAD SHAKE,ROCKY ROAD SHA,5,69.000,PC,12.000,7.390,9.333333,1,AYALA-FRN
SHK5,COOKIES N CREAM,COOKIES N CREA,5,159.000,PC,12.000,7.390,9.333333,1,AYALA-FRN
SHK6,PINEAPPLE CARROT SHAKE,PC SHAKE,5,75.000,PC,12.000,7.390,9.333333,1,AYALA-FRN
SHK7,HALO EXTREME,HALO EXTREME,5,99.000,PC,12.000,10.180,9.333333,1,AYALA-FRN
SHK8,Green Mango Goodness,Green Mango Go,5,88.000,PC,12.000,7.390,9.330000,1,AYALA-FRN
SHK9,Banana Split,Banana Split,5,88.000,PC,12.000,7.390,9.330000,1,AYALA-FRN
SHK10,Matcha Gotcha,Matcha Gotcha,5,88.000,PC,12.000,7.390,9.330000,1,AYALA-FRN
BS1,BACON BURGER,BCB,6,149.000,PC,12.000,9.320,9.330000,1,AYALA-FRN
BS2,TUNA SANDWICH,TUNA SANDWICH,6,119.000,PC,12.000,8.460,9.330000,1,AYALA-FRN
BS3,CLASSIC BURGER,CB,6,109.000,PC,12.000,5.250,9.330000,1,AYALA-FRN
BS4,CHEESY BURGER,CCB,6,119.000,PC,12.000,7.390,9.330000,1,AYALA-FRN
BS5,CHUNKY CHICKEN,CHUNKY CHICKEN,6,85.000,PC,12.000,8.570,9.330000,1,AYALA-FRN
BS6,PIZZA BREAD,PIZZA BREAD,6,89.000,PC,12.000,5.360,9.330000,1,AYALA-FRN
BS7,EXT``E REUBEN BURGER,REUBEN BURGER,6,299.000,PC,12.000,21.320,9.330000,1,AYALA-FRN
BS8,EXT``E BURGER,EXT``E BURGER,6,209.000,PC,12.000,14.460,9.330000,1,AYALA-FRN
BS9,EXTRME SUP``E BURGER,XTRM SUP,6,298.000,PC,12.000,17.040,9.330000,1,AYALA-FRN
BS10,EXTRME PLATTER,EXTRME PLATTER,6,264.000,PC,12.000,17.890,9.330000,1,AYALA-FRN
BS11,TOWER BURGER,TOWER BURGER,6,467.000,PC,12.000,30.000,9.330000,1,AYALA-FRN
BEV4,ICED TEA,ICED TEA,7,99.000,PC,12.000,5.890,9.330000,1,AYALA-FRN
BEV5,PINEAPPLE JUICE,PJ,7,99.000,PC,12.000,5.890,9.333333,1,AYALA-FRN
BEV12,MINERAL WATER,MINERAL WATER,7,49.000,PC,12.000,3.750,9.333333,1,AYALA-FRN
BEV13,INSTANT COFFEE,INSTANT COFFEE,7,21.000,PC,12.000,2.250,9.333333,1,AYALA-FRN
BEV14,PINEAPPLE JUICE IN CAN,PJ N CAN,7,60.000,PC,12.000,5.890,9.333333,1,AYALA-FRN
BEV15,HOT CHOCOLATE,HOT CHOCOLATE,7,89.000,PC,12.000,5.890,9.330000,1,AYALA-FRN
BEV16,HOT TEA,HOT TEA,7,24.000,PC,12.000,2.570,9.333333,1,AYALA-FRN
BEV17,BREWED COFFEE,BREWED COFFEE,7,109.000,PC,12.000,4.290,9.333333,1,AYALA-FRN
BEV18,BREWED FLOWING,BREWED FLOWING,7,55.000,PC,12.000,5.890,9.333333,1,AYALA-FRN
BEV19,WINTERMELON 23,WINTERMELON 23,7,23.000,PC,12.000,5.250,9.330000,1,AYALA-FRN
BEV20,OKINAWA 23,OKINAWA 23,7,23.000,PC,12.000,5.250,9.330000,1,AYALA-FRN
BEV21,R&B ICED TEA 79,RB IT,7,79.000,PC,12.000,5.250,9.330000,1,AYALA-FRN
XTR1,1PC CHICKEN,1PC CHICKEN,8,124.000,PC,12.000,9.860,9.333333,1,AYALA-FRN
XTR2,1PC CAJUN CHICKEN,1PC CAJUN CHIC,8,124.000,PC,12.000,10.390,9.333333,1,AYALA-FRN
XTR3,1PC KEBAB,1PC KEBAB,8,155.000,PC,12.000,6.750,9.333333,1,AYALA-FRN
XTR4,HOTDOG,HOTDOG,8,109.000,PC,12.000,3.750,9.333333,1,AYALA-FRN
XTR5,2PC BMP,2PC BMP,8,79.000,PC,12.000,6.960,9.333333,1,AYALA-FRN
XTR6,FRENCH FRIES,FRENCH FRIES,8,99.000,PC,12.000,5.360,9.330000,1,AYALA-FRN
