CODE,DESC,TYPE,VALUE,POS,BRANCH
5,PWD,SUBTOTAL PERCENT,20.000,1,B-SMS
1,SNR CTZN 20%,SUBTOTAL PERCENT,20.000,1,B-SMS
11,5% DISCOUNT,SUBTOTAL PERCENT,5.000,1,B-SMS
17,5% ST. JO DELIVERY,SUBTOTAL PERCENT,5.000,1,B-SMS
13,MVP DISCOUNT,SUBTOTAL AMOUNT,200.000,1,B-SMS
14,OFW PWRCARD CLUB 8%,SUBTOTAL PERCENT,8.000,1,B-SMS
31,10% DISCOUNT,SUBTOTAL PERCENT,10.000,1,B-SMS
37,MAKE IT BIGGS,SUBTOTAL PERCENT,20.000,1,B-SMS
38,8% DISCOUNT,SUBTOTAL PERCENT,8.000,1,B-SMS
15,P55 OFF,SUBTOTAL AMOUNT,55.000,1,B-SMS
16,MOMS BIGG DAY,SUBTOTAL PERCENT,20.000,1,B-SMS
18,20% HAVAIANAS DISC,SUBTOTAL PERCENT,20.000,1,B-SMS
19,CEO 20% DISC,SUBTOTAL PERCENT,20.000,1,B-SMS
20,COO 20% DISC,ITEM AMOUNT,20.000,1,B-SMS
21,50% TEXMEX EMP DISC,SUBTOTAL AMOUNT,224.000,1,B-SMS
22,10% TRAVEL DISCOUNT,SUBTOTAL PERCENT,10.000,1,B-SMS
23,8% PICHE BICOL,SUBTOTAL PERCENT,8.000,1,B-SMS
24,8% HABAGAT CS EAGLES,SUBTOTAL PERCENT,8.000,1,B-SMS
25,8% ROTARY CLUB NAGA,SUBTOTAL PERCENT,8.000,1,B-SMS
26,8% MAHARLIKA EAGLES,SUBTOTAL PERCENT,8.000,1,B-SMS
27,MHRLK EAGLES 1000MAX,SUBTOTAL AMOUNT,1000.000,1,B-SMS
28,PICHE BICOL 1000MAX,SUBTOTAL AMOUNT,1000.000,1,B-SMS
29,ROTARY NAGA 1000MAX,SUBTOTAL AMOUNT,1000.000,1,B-SMS
30,HBGT EAGLES 1000MAX,SUBTOTAL AMOUNT,1000.000,1,B-SMS
32,8% PICE CAMSUR,SUBTOTAL PERCENT,8.000,1,B-SMS
33,8% UNITED ARCHI DISC,SUBTOTAL PERCENT,8.000,1,B-SMS
34,PICE CS 1000 MAX DIS,SUBTOTAL AMOUNT,1000.000,1,B-SMS
35,UN ARCH 1000 MAX DIS,SUBTOTAL AMOUNT,1000.000,1,B-SMS
36,8% DISCOUNT OF IRIGA,SUBTOTAL PERCENT,8.000,1,B-SMS
39,OFW PC 1000MAX,SUBTOTAL AMOUNT,1000.000,1,B-SMS
40,ROTARY OF IRIGA 1000,SUBTOTAL AMOUNT,1000.000,1,B-SMS
41,8% REBAP DISCOUNT,SUBTOTAL PERCENT,8.000,1,B-SMS
42,1000MAX REBAP DISC,SUBTOTAL AMOUNT,1000.000,1,B-SMS
