DEP_CODE,DEP_DESC,POS,BRANCH
01,CHICKEN MEALS,1,B-SMS
02,CLASSIC MEALS,1,B-SMS
03,BREAKFAST,1,B-SMS
04,PASTA DISHES,1,B-SMS
05,CAKES,1,B-SMS
06,BURGERS AND SANDWICHES,1,B-SMS
07,BEVERAGES,1,B-SMS
08,BULK ORDER,1,B-SMS
09,EXTRAS,1,B-SMS
10,SALAD DELIGHTS,1,B-SMS
12,PARTY PACK ADD ON,1,B-SMS
14,KICKERS AND DIPS,1,B-SMS
15,FREE,1,B-SMS
17,ICED TEA UPGRADE,1,B-SMS
19,SOUP,1,B-SMS
21,SHAKES,1,B-SMS
23,UPGRADE,1,B-SMS
24,UPSELLING,1,B-SMS
25,RND,1,B-SMS
18,SIDINGS,1,B-SMS
27,KDOG,1,B-SMS
28,REPRESENTATION,1,B-SMS
29,MOTHERS DAY PROMO,1,B-SMS
31,ADD ONS,1,B-SMS
32,KIDS PARTY PACKAGE,1,B-SMS
34,JUICE DRINK UPGRADE,1,B-SMS
35,KIDS MEALS,1,B-SMS
36,NANAYS FAVORITE,1,B-SMS
37,MARKETING PROMO,1,B-SMS
38,KIDS CLUB,1,B-SMS
39,EATS FOR MEETS,1,B-SMS
41,LIGHT MEALS,1,B-SMS
43,CERTIFICATE,1,B-SMS
44,NESPRESSO,1,B-SMS
45,MELLOW JELLO,1,B-SMS
40,PRESTIGE FREEBIES,1,B-SMS
47,SELFIE MEAL,1,B-SMS
48,KIDS EAT FREE,1,B-SMS
50,XMAS 2014,1,B-SMS
51,Biggs At Home,1,B-SMS
55,FRIES GOURMET,1,B-SMS
56,HOLIDAY FEAST,1,B-SMS
57,PREMIUM ITEMS,1,B-SMS
59,KIDS PARTY MEALS,1,B-SMS
42,HAPPY ENDING,1,B-SMS
60,DIBS FOR RIBS,1,B-SMS
62,SIZZLERS,1,B-SMS
63,HEALTHY RICE BOWLS,1,B-SMS
65,HOMETOWN HITS,1,B-SMS
46,PARTY PACKS,1,B-SMS
66,SNACKS,1,B-SMS
67,SALAD DRESSING,1,B-SMS
68,SALAD DRESSING,1,B-SMS
52,FAMILY FEAST,1,B-SMS
69,SUMMER COOLERS,1,B-SMS
1,MANILA MENU,1,B-SMS
70,DOUBLE TREAT,1,B-SMS
2,MARKETING PROMO 2,1,B-SMS
71,TEST MARKET,1,B-SMS
3,FOOD PANDA,1,B-SMS
4,BIGGS LOYALTY,1,B-SMS
5,BIGGS LOYALTY 2,1,B-SMS
6,MARKETING PROMO 3,1,B-SMS
7,GO BIGG,1,B-SMS
9,FP COFFEE,1,B-SMS
11,RSD PROMOS,1,B-SMS
