INCODE,ITE_DESC,ECR_DESC,DEP_CODE,UNT_PRIC,UNIT,TAXPRCNT1,TAXAMOUNT1,TAX1DIV,POS,BRANCH
CHM1,BIGGS FRIED CHICKEN 2PC,BIGGS CHKN 2PC,01,278.000,PC,12.000,15.960,9.330000,1,B-SMS
CHM2,BIGG DEAL,BDEAL,01,342.000,PC,12.000,17.680,9.330000,1,B-SMS
CHM3,CHKN-KEBAB MEAL,CHKN-KEBAB MEA,01,298.000,PC,12.000,15.210,9.330000,1,B-SMS
CHM4,BIGGS FRIED CHICKEN 1PC,BIGGS CHKN 1PC,01,149.000,PC,12.000,9.540,9.330000,1,B-SMS
CHM5,BIGGS CAJUN CHICKEN 2PC,BIGGSCAJUN 2PC,01,328.000,PC,12.000,16.820,9.330000,1,B-SMS
CHM6,BIGGS CAJUN CHICKEN 1PC,BIGGSCAJUN 1PC,01,174.000,PC,12.000,10.610,9.330000,1,B-SMS
CHM7,BT-MAC,BT-MAC,01,229.000,PC,12.000,13.390,9.330000,1,B-SMS
CHM8,BT-POT,BT-POT,01,149.000,PC,12.000,13.820,9.330000,1,B-SMS
CHM9,DOUBLE TREAT,DT,01,238.000,PC,12.000,12.750,9.330000,1,B-SMS
CHM10,CARBO W CHKN,CARBO-CHKN,01,263.000,PC,12.000,13.610,9.330000,1,B-SMS
CHM11,SPAG PLATTER,SPAG PLTR,01,267.000,PC,12.000,13.820,9.330000,1,B-SMS
CHM12,CARBO PLATTER,CARBO PLAT,01,298.000,PC,12.000,15.750,9.330000,1,B-SMS
CHM13,CHICKEN N BOX-6,CHKN N BOX-6,01,739.000,PC,12.000,44.460,9.330000,1,B-SMS
CHM14,CHICKEN N BOX-8,CHKN N BOX-8,01,984.000,PC,12.000,58.390,9.330000,1,B-SMS
CLM1,CORDON,CORDON,02,333.000,PC,12.000,17.040,9.330000,1,B-SMS
CLM2,PORK KEBABS,KEBABS,02,333.000,PC,12.000,14.460,9.333333,1,B-SMS
CLM3,BICOL SPECIAL,BICOL,02,333.000,PC,12.000,14.140,9.333333,1,B-SMS
CLM4,TIPS W BMP,TIPS W BMP,02,189.000,PC,12.000,16.500,9.333333,1,B-SMS
CLM5,KSR,KSR,02,433.000,PC,12.000,19.500,9.333333,1,B-SMS
CLM6,TIPS,TIPS,00,169.000,PC,12.000,13.390,9.333333,1,B-SMS
CLM7,SALISBURY STEAK,SALIS,02,323.000,PC,12.000,12.320,9.330000,1,B-SMS
CLM8,BABY BACK RIBS,BABY BACK,02,499.000,PC,12.000,24.110,9.333333,1,B-SMS
CLM11,TANGUEGUI STEAK,TANGUEGUI,02,364.000,PC,12.000,16.290,9.330000,1,B-SMS
CLM12,TUNA SALPICAO,TUNA SLPC,02,367.000,PC,12.000,11.790,9.330000,1,B-SMS
BRK1,AMERICAN SLAM,AMRICAN SLAM,03,297.000,PC,12.000,14.790,9.333333,1,B-SMS
BRK2,COUNTRY BREAKFAST,COUNTRY B,03,286.000,PC,12.000,14.140,9.333333,1,B-SMS
BRK3,PC TOCINO,PC TOCINO,03,209.000,PC,12.000,12.000,9.330000,1,B-SMS
BRK4,DNB W EGG,DNB W EGG,03,219.000,PC,12.000,9.540,9.333333,1,B-SMS
BRK5,FARMERS DELIGHT,FARMERS D,03,99.000,PC,12.000,8.890,9.333333,1,B-SMS
BRK6,FRANKS N EGG,FRANKS,03,248.000,PC,12.000,11.250,9.333333,1,B-SMS
BRK7,UNLIMITED COFFEE,UNLI COFFEE,03,20.000,PC,12.000,9.860,9.330000,1,B-SMS
BRK8,TOSILOG,TOSILOG,03,259.000,PC,12.000,10.930,9.333333,1,B-SMS
BRK9,TAPSILOG,TAPSILOG,03,267.000,PC,12.000,10.930,9.333333,1,B-SMS
CLM13,DNB,DNB,02,362.000,PC,12.000,12.000,9.333333,1,B-SMS
CLM14,DNB W PNGAT,DNB W PNGAT,02,175.000,PC,12.000,12.320,9.333333,1,B-SMS
BRK10,GOTO,GOTO,03,99.000,PC,12.000,5.250,9.333333,1,B-SMS
BRK11,GOTO W EGG,GOTO W EGG,03,119.000,PC,12.000,6.320,9.333333,1,B-SMS
BRK12,GOTO W TB,GOTO W TB,03,115.000,PC,12.000,9.540,9.333333,1,B-SMS
BRK13,GOTO W EGG.TB,GOTO W EGG.TB,03,135.000,PC,12.000,10.610,9.333333,1,B-SMS
PST1,SPAGHETTI,SPAG,04,114.000,PC,12.000,5.570,9.333333,1,B-SMS
PST2,SPAG W PIZZA BREAD,SPAG  PBRD,04,144.000,PC,12.000,9.320,9.333333,1,B-SMS
PST3,CARBONARA,CARBO,04,134.000,PC,12.000,8.250,9.333333,1,B-SMS
PST4,CARBO W PBRD,CARBO  PBRD,04,174.000,PC,12.000,10.610,9.333333,1,B-SMS
CKS3,CARROT CAKE,CARROT,05,179.000,PC,12.000,6.320,9.330000,1,B-SMS
B&S1,BACON CHEESY BURGER,BCB,06,149.000,PC,12.000,9.000,9.330000,1,B-SMS
B&S2,TUNA SANDWICH,TUNA SNDWCH,06,119.000,PC,12.000,7.930,9.330000,1,B-SMS
B&S3,CLASSIC BURGER,CB,06,109.000,PC,12.000,5.250,9.330000,1,B-SMS
B&S4,CLASSIC CHEESY BURGER,CCB,06,119.000,PC,12.000,7.070,9.330000,1,B-SMS
B&S5,CHUNKY CHKN,CHUNKY CHKN,06,85.000,PC,12.000,8.250,9.330000,1,B-SMS
B&S6,PIZZA BREAD,PIZZA BREAD,06,89.000,PC,12.000,5.040,9.330000,1,B-SMS
B&S7,EXT``E REUBEN,REUBEN,06,299.000,PC,12.000,17.040,9.330000,1,B-SMS
B&S8,EXT``E BURGER,XTRM BURGER,06,209.000,PC,12.000,10.930,9.330000,1,B-SMS
B&S9,EXT``E SUP``E BURGER,XTRM SUP``E,06,298.000,PC,12.000,14.140,9.330000,1,B-SMS
B&S10,EXT``E PLATTER,XTRM PLATTER,06,264.000,PC,12.000,16.820,9.330000,1,B-SMS
BEV15,ICED TEA-LARGE,L I-TEA,07,99.000,PC,12.000,5.040,9.330000,1,B-SMS
BEV17,MINERAL WATER,MINERAL WATER,07,49.000,PC,12.000,3.210,9.330000,1,B-SMS
BEV19,PJ N CAN,CAN PJ,07,99.000,PC,12.000,4.820,9.330000,1,B-SMS
BEV20,HOT CHOCOLATE,HOT CHOCO,07,89.000,PC,12.000,5.360,9.330000,1,B-SMS
BEV21,HOT TEA,HOT TEA,07,24.000,PC,12.000,2.250,9.330000,1,B-SMS
BEV24,BREWED FLOWING,F BREWED,07,57.000,PC,12.000,5.890,9.330000,1,B-SMS
XTR1,1PC CHICKEN,1PC CHKN,09,124.000,PC,12.000,8.460,9.333333,1,B-SMS
XTR2,1PC CAJUN,1PC CAJUN,09,124.000,PC,12.000,9.000,9.333333,1,B-SMS
XTR3,1PC KEBAB,1PC KEBAB,09,155.000,PC,12.000,6.320,9.333333,1,B-SMS
XTR4,HOTDOG,HOTDOG,09,109.000,PC,12.000,3.750,9.333333,1,B-SMS
XTR5,2PC BMP,2PC BMP,09,79.000,PC,12.000,6.960,9.333333,1,B-SMS
XTR6,FRENCH FRIES,FRIES,09,99.000,PC,12.000,5.360,9.333333,1,B-SMS
XTR7,TOKWAT BABOY,TB,09,98.000,PC,12.000,4.710,9.333333,1,B-SMS
XTR8,PLAIN RICE,RICE-PLAIN,09,39.000,PC,12.000,2.360,9.333333,1,B-SMS
XTR9,FRIED RICE,RICE-FRIED,09,45.000,PC,12.000,2.890,9.333333,1,B-SMS
XTR10,JAVA RICE,RICE-JAVA,09,49.000,PC,12.000,3.210,9.333333,1,B-SMS
XTR11,ATCHARA,ATCHARA,09,30.000,PC,12.000,1.070,9.333333,1,B-SMS
XTR12,CORN,CORN,09,25.000,PC,12.000,1.070,9.333333,1,B-SMS
XTR13,COLESLAW,COLESLAW,09,49.000,PC,12.000,1.930,9.333333,1,B-SMS
XTR14,GRAVY,GRAVY,09,20.000,PC,12.000,1.710,9.333333,1,B-SMS
XTR15,1PC BMP,1PC BMP,09,58.000,PC,12.000,3.430,9.333333,1,B-SMS
XTR16,HASH BROWN,HASH BROWN,09,45.000,PC,12.000,3.110,9.333333,1,B-SMS
XTR17,LAING,LAING,09,95.000,PC,12.000,3.210,9.333333,1,B-SMS
XTR18,PINANGAT,PINANGAT,09,70.000,PC,12.000,6.210,9.333333,1,B-SMS
XTR19,MAYO,MAYO,09,15.000,PC,12.000,0.960,9.333333,1,B-SMS
XTR20,CHICHARON,CHARON,09,20.000,PC,12.000,1.290,9.333333,1,B-SMS
XTR21,FRENCH BREAD,FRENCH BRD,09,35.000,PC,12.000,0.960,9.333333,1,B-SMS
XTR22,BOILED EGG,BOILED EGG,09,25.000,PC,12.000,1.500,9.333333,1,B-SMS
XTR23,FRIED EGG,FRIED EGG,09,35.000,PC,12.000,1.610,9.333333,1,B-SMS
XTR24,CREAMER,CREAMER,09,10.000,PC,12.000,0.640,9.333333,1,B-SMS
XTR25,COFFEE,COFFEE,09,4.000,PC,12.000,0.430,9.333333,1,B-SMS
XTR26,WHITE COLESLAW,WYT COLES,09,17.000,PC,12.000,1.820,9.333333,1,B-SMS
XTR27,MILK,MILK,09,12.000,PC,12.000,1.290,9.333333,1,B-SMS
XTR28,SLICED CHEESE,SLICE CHEESE,09,20.000,PC,12.000,1.290,9.333333,1,B-SMS
XTR29,HERB MAYO,HERB MAYO,09,40.000,PC,12.000,3.110,9.333333,1,B-SMS
XTR30,THOUSAND ISLAND,THOU ISLAND,09,16.000,PC,12.000,2.570,9.330000,1,B-SMS
XTR31,TACOS,TACOS,09,50.000,PC,12.000,5.360,9.333333,1,B-SMS
XTR32,CHEESE FRITTERS,CHZ FRITERS,09,65.000,PC,12.000,5.570,9.333333,1,B-SMS
XTR33,BACON,BACON,09,99.000,PC,12.000,3.960,9.333333,1,B-SMS
XTR34,1PC CORDON,1PC CORDON,09,199.000,PC,12.000,10.390,9.333333,1,B-SMS
XTR35,SUGAR,SUGAR,09,10.000,PC,12.000,0.540,9.333333,1,B-SMS
