PAY_CODE,PAY_DESC,METHOD,MAX_AMOUNT,POS,BRANCH
00001,CASH,0,0.000,1,B-SMS
00002,CREDIT CARD,1,0.000,1,B-SMS
4,CHARGE,6,0.000,1,B-SMS
5,GC P50,2,50.000,1,B-SMS
6,GC P100,2,100.000,1,B-SMS
7,BIGGS MONEY,2,50.000,1,B-SMS
8,REPRESENTATION,6,0.000,1,B-SMS
12,GCASH,3,0.000,1,B-SMS
19,PAYPAL,6,0.000,1,B-SMS
21,PAY  MAYA,6,0.000,1,B-SMS
22,BOUNCE GC 50,2,50.000,1,B-SMS
1,FOOD PANDA,6,0.000,1,B-SMS
2,BIGGS LOYALTY,6,0.000,1,B-SMS
3,P100 IRY MONEY,2,100.000,1,B-SMS
9,P50 IRY MONEY,2,50.000,1,B-SMS
10,CARAVAN VOUCHER 50,2,50.000,1,B-SMS
11,CHARGE TO LSM,6,0.000,1,B-SMS
13,CHAGRE,6,0.000,1,B-SMS
14,P50 BUCAL Voucher,2,50.000,1,B-SMS
15,INCENTIVES,6,0.000,1,B-SMS
16,GRAD 100 GC,2,100.000,1,B-SMS
17,ON THE HOUSE,6,0.000,1,B-SMS
18,200 GC,0,0.000,1,B-SMS
20,FRANCHISE CHARGING,6,0.000,1,B-SMS
23,BULK ORDER CHARGING,6,0.000,1,B-SMS
