INCODE,ITE_DESC,ECR_DESC,DEP_CODE,UNT_PRIC,UNIT,TAXPRCNT1,TAXAMOUNT1,TAX1DIV,POS,BRANCH,TERM_ID,CATEG_ID,VERNO,FULL
BDRNK3,MOUNTAIN DEW CAN,MOUNTAIN DEW CAN,406,99,ORDER,12,88.39285714285714,10.607142857142856,,,,BMDRINKS,0, BDRNK3 MOUNTAIN DEW CAN MOUNTAIN DEW CAN 406 99 ORDER 12 88.3929 10.6071    BMDRINKS
BLS2,Caesar Salad,Caesar Salad,406,185,ORDER,12,165.17857142857142,19.82142857142857,,,,2,0, BLS2 Caesar Salad Caesar Salad 406 185 ORDER 12 165.179 19.8214    2
BMLS1,Country Fried Steak,Country Fried Steak,406,265,ORDER,12,236.60714285714283,28.39285714285714,,,,1,0, BMLS1 Country Fried Steak Country Fried Steak 406 265 ORDER 12 236.607 28.3929    1
BMLS2,Salmon Florentine,Salmon Florentine,406,495,ORDER,12,441.96428571428567,53.03571428571428,,,,1,0, BMLS2 Salmon Florentine Salmon Florentine 406 495 ORDER 12 441.964 53.0357    1
BMLS3,Soy Wagyu,Soy Wagyu,406,385,ORDER,12,343.74999999999994,41.24999999999999,,,,1,0, BMLS3 Soy Wagyu Soy Wagyu 406 385 ORDER 12 343.75 41.25    1
BMLS4,Pomodoro Meatball,Pomodoro Meatball,406,245,ORDER,12,218.74999999999997,26.249999999999996,,,,1,0, BMLS4 Pomodoro Meatball Pomodoro Meatball 406 245 ORDER 12 218.75 26.25    1
BMLS5,Beef Lasagna,Beef Lasagna,406,255,ORDER,12,227.67857142857142,27.32142857142857,,,,1,0, BMLS5 Beef Lasagna Beef Lasagna 406 255 ORDER 12 227.679 27.3214    1
BSLD1,Pili Grape Salad,Pili Grape Salad,406,195,ORDER,12,174.10714285714283,20.89285714285714,,,,2,0, BSLD1 Pili Grape Salad Pili Grape Salad 406 195 ORDER 12 174.107 20.8929    2
BSNK1,Nachos,Nachos,406,225,ORDER,12,200.8928571428571,24.107142857142854,,,,3,0, BSNK1 Nachos Nachos 406 225 ORDER 12 200.893 24.1071    3
BSNK12,POMODORO,POMODORO,406,175,ORDER,12,156.24999999999997,18.749999999999996,,,,3,0, BSNK12 POMODORO POMODORO 406 175 ORDER 12 156.25 18.75    3
BSNK4,Fries with Chipotle Ketchup,Fries with Chipotle Ketchup,406,135,ORDER,12,120.53571428571428,14.464285714285714,,,,3,0, BSNK4 Fries with Chipotle Ketchup Fries with Chipotle Ketchup 406 135 ORDER 12 120.536 14.4643    3
BSNK5,Fried Chicken Sandwich,Fried Chicken Sandwich,406,195,ORDER,12,174.10714285714283,20.89285714285714,,,,3,0, BSNK5 Fried Chicken Sandwich Fried Chicken Sandwich 406 195 ORDER 12 174.107 20.8929    3
BSNK6,Cheese Burger,Cheese Burger,406,295,ORDER,12,263.3928571428571,31.60714285714285,,,,3,0, BSNK6 Cheese Burger Cheese Burger 406 295 ORDER 12 263.393 31.6071    3
BSNK8,Brownie A la Mode,Brownie A la Mode,406,175,ORDER,12,156.24999999999997,18.749999999999996,,,,3,0, BSNK8 Brownie A la Mode Brownie A la Mode 406 175 ORDER 12 156.25 18.75    3
COF1,H12 AMERICANO,H12 AMERICANO,401,145,ORDER,12,129.4642857142857,15.535714285714283,,,,HOT101,0, COF1 H12 AMERICANO H12 AMERICANO 401 145 ORDER 12 129.464 15.5357    HOT101
COF15,H12 MOCHA,H12 MOCHA,401,175,ORDER,12,156.24999999999997,18.749999999999996,,,,HOT101,0, COF15 H12 MOCHA H12 MOCHA 401 175 ORDER 12 156.25 18.75    HOT101
COF17,ICD16 MOCHA,ICD16 MOCHA,401,175,ORDER,12,156.24999999999997,18.749999999999996,,,,ICED101,0, COF17 ICD16 MOCHA ICD16 MOCHA 401 175 ORDER 12 156.25 18.75    ICED101
COF18,ICD24 MOCHA,ICD24 MOCHA,401,185,ORDER,12,165.17857142857142,19.82142857142857,,,,ICED101,0, COF18 ICD24 MOCHA ICD24 MOCHA 401 185 ORDER 12 165.179 19.8214    ICED101
COF21,H12 CARAMEL M,H12 CARAMEL M,401,175,ORDER,12,156.24999999999997,18.749999999999996,,,,HOT101,0, COF21 H12 CARAMEL M H12 CARAMEL M 401 175 ORDER 12 156.25 18.75    HOT101
COF23,ICD16 CARAMEL M,ICD16 CARAMEL M,401,175,ORDER,12,156.24999999999997,18.749999999999996,,,,ICED101,0, COF23 ICD16 CARAMEL M ICD16 CARAMEL M 401 175 ORDER 12 156.25 18.75    ICED101
COF24,ICD24 CARAMEL M,ICD24 CARAMEL M,401,185,ORDER,12,165.17857142857142,19.82142857142857,,,,ICED101,0, COF24 ICD24 CARAMEL M ICD24 CARAMEL M 401 185 ORDER 12 165.179 19.8214    ICED101
COF35,ICD16 MILKY B,ICD16 MILKY B,401,185,ORDER,12,165.17857142857142,19.82142857142857,,,,ICED101,0, COF35 ICD16 MILKY B ICD16 MILKY B 401 185 ORDER 12 165.179 19.8214    ICED101
