CODE,DESC,TYPE,VALUE,POS,BRANCH
5,PWD,SUBTOTAL PERCENT,20.000,1,BMC
1,SNR CTZN 20%,SUBTOTAL PERCENT,20.000,1,BMC
11,5% DISCOUNT,SUBTOTAL PERCENT,5.000,1,BMC
17,5% ST. JO DELIVERY,SUBTOTAL PERCENT,5.000,1,BMC
14,OFW PWRCARD CLUB 8%,SUBTOTAL PERCENT,8.000,1,BMC
31,10% DISCOUNT,SUBTOTAL PERCENT,10.000,1,BMC
37,MAKE IT BIGGS,SUBTOTAL PERCENT,20.000,1,BMC
38,8% DISCOUNT,SUBTOTAL PERCENT,8.000,1,BMC
2,EMPLOYEE DISCOUNT,SUBTOTAL PERCENT,20.000,1,BMC
12,P55 OFF,SUBTOTAL AMOUNT,55.000,1,BMC
15,MOMS BIGG DAY,SUBTOTAL PERCENT,20.000,1,BMC
16,CEO 20% DISC,SUBTOTAL PERCENT,20.000,1,BMC
18,COO 20% DISC,SUBTOTAL PERCENT,20.000,1,BMC
19,50% TEXMEX EMP DISC,SUBTOTAL AMOUNT,224.000,1,BMC
20,10% TRAVEL DISC,SUBTOTAL PERCENT,10.000,1,BMC
21,8% PICHE BICOL,SUBTOTAL PERCENT,8.000,1,BMC
22,8% HABAGAT CS EAGLES,SUBTOTAL PERCENT,8.000,1,BMC
23,8% ROTARY CLUB NAGA,SUBTOTAL PERCENT,8.000,1,BMC
24,8% MAHARLIKA EAGLES,SUBTOTAL PERCENT,8.000,1,BMC
25,MHRLK EAGLES 1000MAX,SUBTOTAL AMOUNT,1000.000,1,BMC
26,PICHE BICOL 1000MAX,SUBTOTAL AMOUNT,1000.000,1,BMC
27,ROTARY NAGA  1000MAX,SUBTOTAL AMOUNT,1000.000,1,BMC
28,HBGT EAGLES 1000MAX,SUBTOTAL AMOUNT,1000.000,1,BMC
29,8% PICE DISC,SUBTOTAL PERCENT,8.000,1,BMC
30,8% UNITED ARCH DISC,SUBTOTAL PERCENT,8.000,1,BMC
32,PICE 1000 MAX DISC,SUBTOTAL AMOUNT,1000.000,1,BMC
33,UN ARCH 1000MAX DISC,SUBTOTAL AMOUNT,1000.000,1,BMC
34,8% ROTARY OF IRIGA,SUBTOTAL PERCENT,8.000,1,BMC
35,OFW PC 1000 MAX DISC,SUBTOTAL AMOUNT,1000.000,1,BMC
36,ROTARYOFIRIGA1000MAX,SUBTOTAL AMOUNT,1000.000,1,BMC
39,8% REBAP DISCOUNT,SUBTOTAL PERCENT,8.000,1,BMC
40,1000MAX REBAP DISC,SUBTOTAL AMOUNT,1000.000,1,BMC
41,8% ENVP CamSur,SUBTOTAL PERCENT,8.000,1,BMC
42,8% CSNHS Alumni,SUBTOTAL PERCENT,8.000,1,BMC
43,1000MAX ENVP CamSur,SUBTOTAL AMOUNT,1000.000,1,BMC
44,1000MAX CSNHS Alumni,SUBTOTAL AMOUNT,1000.000,1,BMC
45,8% NAGA PICE,SUBTOTAL PERCENT,8.000,1,BMC
46,8% IIEE CAMSUR,SUBTOTAL PERCENT,8.000,1,BMC
47,NAGA PICE 1000MAX DI,SUBTOTAL AMOUNT,1000.000,1,BMC
