DEP_CODE,DEP_DESC,POS,BRANCH
01,CHICKEN MEALS,1,BMC
02,CLASSIC MEALS,1,BMC
03,BREAKFAST,1,BMC
04,PASTA DISHES,1,BMC
05,CAKES,1,BMC
06,BURGERS AND SANDWICHES,1,BMC
07,BEVERAGES,1,BMC
08,BULK ORDER,1,BMC
09,EXTRAS,1,BMC
10,SALAD DELIGHTS,1,BMC
12,PARTY PACK ADD ON,1,BMC
14,KICKERS AND DIPS,1,BMC
15,FREE,1,BMC
17,ICED TEA UPGRADE,1,BMC
19,SOUP,1,BMC
21,SHAKES,1,BMC
23,UPGRADE,1,BMC
24,UPSELLING,1,BMC
25,RND,1,BMC
18,SIDINGS,1,BMC
27,KDOG,1,BMC
28,REPRESENTATION,1,BMC
31,ADD ONS,1,BMC
32,KIDS PARTY PACKAGE,1,BMC
34,JUICE DRINK UPGRADE,1,BMC
35,KIDS MEALS,1,BMC
36,NANAYS FAVORITE,1,BMC
37,MARKETING PROMO,1,BMC
38,FOOD PANDA 3,1,BMC
39,EATS FOR MEETS,1,BMC
41,LIGHT MEALS,1,BMC
43,CERTIFICATE,1,BMC
44,NESPRESSO,1,BMC
45,MELLOW JELLO,1,BMC
40,PRESTIGE FREEBIES,1,BMC
47,SELFIE MEAL,1,BMC
50,XMAS 2014,1,BMC
51,Biggs At Home,1,BMC
55,FRIES GOURMET,1,BMC
56,HOLIDAY FEAST,1,BMC
57,PREMIUM ITEMS,1,BMC
59,KIDS PARTY MEALS,1,BMC
42,HAPPY ENDING,1,BMC
60,DIBS FOR RIBS,1,BMC
62,SIZZLERS,1,BMC
65,HOMETOWN HITS,1,BMC
46,HOLIDAY PARTY PACKS,1,BMC
66,SNACKS,1,BMC
67,SALAD DRESSING,1,BMC
68,SALAD DRESSING,1,BMC
52,FAMILY FEAST,1,BMC
69,SUMMER COOLERS,1,BMC
1,MANILA MENU,1,BMC
70,DOUBLE TREAT,1,BMC
2,MARKETING PROMO 2,1,BMC
71,TEST MARKET,1,BMC
3,DELIVERY,1,BMC
4,FOOD PANDA,1,BMC
5,FOODPANDA 2,1,BMC
6,BIGGS LOYALTY,1,BMC
7,BIGGS LOYALTY 2,1,BMC
8,PURGED PRODUCTS,1,BMC
9,GO BIGG,1,BMC
11,FUNCTION,1,BMC
13,FP COFFEE,1,BMC
16,RSD PROMOS,1,BMC
