PAY_CODE,PAY_DESC,METHOD,MAX_AMOUNT,POS,BRANCH
00001,CASH,0,0.000,1,BMC
00002,CREDIT CARD,1,0.000,1,BMC
4,CHARGE,6,0.000,1,BMC
5,GC P50,2,50.000,1,BMC
6,GC P100,2,100.000,1,BMC
8,REPRESENTATION,6,0.000,1,BMC
12,GCASH,3,0.000,1,BMC
21,PAYMAYA,6,0.000,1,BMC
9,FOODPANDA,6,0.000,1,BMC
10,BIGGS LOYALTY,6,0.000,1,BMC
11,DEBIT,6,0.000,1,BMC
14,CHARGE TO LSM,6,0.000,1,BMC
17,INCENTIVES,6,0.000,1,BMC
18,GLOBAL PAY,6,0.000,1,BMC
19,ON THE HOUSE,6,0.000,1,BMC
20,200 GC,0,0.000,1,BMC
22,FRANCHISE CHARGING,6,0.000,1,BMC
23,BULK ORDER CHARGING,6,0.000,1,BMC
