CODE,DESC,TYPE,VALUE,POS,BRANCH
1,SNR CTZN 20%,SUBTOTAL PERCENT,20.000,1,BRLN
2,SNR CTZN P80,SUBTOTAL AMOUNT,80.000,1,BRLN
3,PWD 20%,SUBTOTAL PERCENT,20.000,1,BRLN
4,5% PRESTIGE,SUBTOTAL PERCENT,5.000,1,BRLN
5,8% PRESTIGE,SUBTOTAL PERCENT,8.000,1,BRLN
6,20% REG EMP DISCOUNT,SUBTOTAL PERCENT,20.000,1,BRLN
7,5% TIE UP,SUBTOTAL PERCENT,5.000,1,BRLN
8,5% DISCOUNT,SUBTOTAL PERCENT,5.000,1,BRLN
9,ST. JOSEPH 5%,SUBTOTAL PERCENT,5.000,1,BRLN
10,SJS ALUMNI 8% DISC,SUBTOTAL PERCENT,8.000,1,BRLN
11,5% BULK,SUBTOTAL PERCENT,5.000,1,BRLN
12,GLOBE 0917,SUBTOTAL PERCENT,9.170,1,BRLN
13,8% DISCOUNT,SUBTOTAL PERCENT,8.000,1,BRLN
14,REG EMP P200,SUBTOTAL AMOUNT,200.000,1,BRLN
15,200 MVP,SUBTOTAL AMOUNT,200.000,1,BRLN
16,OFW POWER CLUB 8%,SUBTOTAL PERCENT,8.000,1,BRLN
17,DISCOUNT 6PCS CHKEN,SUBTOTAL AMOUNT,54.190,1,BRLN
18,DISCOUNT 8PCS CHKEN,SUBTOTAL AMOUNT,51.360,1,BRLN
19,SHOCKTOBER,SUBTOTAL AMOUNT,300.000,1,BRLN
20,DISCOUNT P100,SUBTOTAL AMOUNT,0.000,1,BRLN
21,BAH 10% DISCOUNT,SUBTOTAL PERCENT,10.000,1,BRLN
22,HOME CREDIT 5%,SUBTOTAL PERCENT,5.000,1,BRLN
23,RTC 10% OFF,SUBTOTAL PERCENT,10.000,1,BRLN
24,CH DISCOUNT 6%,SUBTOTAL PERCENT,6.000,1,BRLN
25,CHKN HAM 6%,SUBTOTAL PERCENT,6.000,1,BRLN
26,CHKN HAM 4%,SUBTOTAL PERCENT,4.000,1,BRLN
27,CHKN HAM 2%,SUBTOTAL PERCENT,0.000,1,BRLN
28,38 PESOS DISCOUNT,SUBTOTAL AMOUNT,38.000,1,BRLN
29,66 BIGG DEAL DISC,SUBTOTAL AMOUNT,66.000,1,BRLN
36,30% DELIVERY DISC,SUBTOTAL PERCENT,30.000,1,BRLN
37,BIGG BAKUNA 20%,SUBTOTAL PERCENT,20.000,1,BRLN
38,50% DISCOUNT,SUBTOTAL PERCENT,50.000,1,BRLN
39,10% DISCOUNT,SUBTOTAL PERCENT,10.000,1,BRLN
40,BAKUNA 30% DISC,SUBTOTAL PERCENT,30.000,1,BRLN
41,4.4 BIGG DEALS,SUBTOTAL AMOUNT,44.000,1,BRLN
42,CHICKEN @ 50%,SUBTOTAL PERCENT,50.000,1,BRLN
43,8.8 BIGG DEALS,SUBTOTAL AMOUNT,88.000,1,BRLN
44,MAKE IT BIGGS,SUBTOTAL PERCENT,20.000,1,BRLN
45,10.10 DISCOUNT,SUBTOTAL PERCENT,10.000,1,BRLN
46,BLA 20% DISCOUNT,SUBTOTAL PERCENT,20.000,1,BRLN
47,10% BLA SILOG DISC,SUBTOTAL PERCENT,10.000,1,BRLN
48,10% BLA HAPPY HOUR,SUBTOTAL PERCENT,10.000,1,BRLN
49,10% BLA PARTY DISC,SUBTOTAL PERCENT,10.000,1,BRLN
50,BULK DISCOUNT,SUBTOTAL AMOUNT,230.000,1,BRLN
51,BLA 100 OFF,SUBTOTAL AMOUNT,100.000,1,BRLN
53,BLA 20% OFF PARTY,SUBTOTAL PERCENT,20.000,1,BRLN
54,BLA P50 OFF EXT BURG,SUBTOTAL AMOUNT,50.000,1,BRLN
55,P55 OFF,SUBTOTAL AMOUNT,55.000,1,BRLN
57,MOMS BIGG DAY,SUBTOTAL PERCENT,20.000,1,BRLN
58,CEO 20% DISC,SUBTOTAL PERCENT,20.000,1,BRLN
59,COO 20% DISC,SUBTOTAL PERCENT,20.000,1,BRLN
60,50% TEXMEX EMP DISC,SUBTOTAL AMOUNT,224.000,1,BRLN
61,10% TRAVEL DISC,SUBTOTAL PERCENT,10.000,1,BRLN
62,8% HABAGAT CS EAGLES,SUBTOTAL PERCENT,8.000,1,BRLN
63,8% PICHE BICOL,SUBTOTAL PERCENT,8.000,1,BRLN
64,8% ROTARY CLUB NAGA,SUBTOTAL PERCENT,8.000,1,BRLN
65,8% MAHARLIKA EAGLES,SUBTOTAL PERCENT,8.000,1,BRLN
66,MHRLK EAGLES 1000MAX,SUBTOTAL AMOUNT,1000.000,1,BRLN
67,PICHE BICOL 1000MAX,SUBTOTAL AMOUNT,1000.000,1,BRLN
68,ROTARY NAGA 1000MAX,SUBTOTAL AMOUNT,1000.000,1,BRLN
69,HBGT EAGLES 1000MAX,SUBTOTAL AMOUNT,1000.000,1,BRLN
70,8% PICECAMSUR,SUBTOTAL PERCENT,8.000,1,BRLN
71,8% UNITED ARCHI DISC,SUBTOTAL PERCENT,8.000,1,BRLN
72,PICE CS 1000 MAX DIS,SUBTOTAL AMOUNT,1000.000,1,BRLN
73,UN ARCH 1000 MAX DIS,SUBTOTAL AMOUNT,1000.000,1,BRLN
74,8% ROTARY OF IRIGA,SUBTOTAL PERCENT,8.000,1,BRLN
75,ROTARYOFIRIGA1000MAX,SUBTOTAL AMOUNT,1000.000,1,BRLN
76,OFW PC 1000 MAX DISC,SUBTOTAL AMOUNT,1000.000,1,BRLN
77,8% REBAP DISCOUNT,SUBTOTAL PERCENT,8.000,1,BRLN
78,1000MAX REBAP DISC,SUBTOTAL AMOUNT,1000.000,1,BRLN
79,8% ENVP CamSur,SUBTOTAL PERCENT,8.000,1,BRLN
80,8% CSNHS Alumni,SUBTOTAL PERCENT,8.000,1,BRLN
81,1000MAX ENVP CamSur,SUBTOTAL AMOUNT,1000.000,1,BRLN
82,1000MAX CSNHS Alumni,SUBTOTAL AMOUNT,1000.000,1,BRLN
83,3% BULK DISCOUNT,SUBTOTAL PERCENT,3.000,1,BRLN
84,8% NAGA PICE,SUBTOTAL PERCENT,8.000,1,BRLN
85,8% IIEE CAMSUR,SUBTOTAL PERCENT,8.000,1,BRLN
86,NAGA PICE 1000MAX DI,SUBTOTAL AMOUNT,1000.000,1,BRLN
87,IIEE 1000MAX DISC,SUBTOTAL AMOUNT,1000.000,1,BRLN
88,8% NU LIPA,SUBTOTAL PERCENT,8.000,1,BRLN
89,5% SOLO PARENT,SUBTOTAL PERCENT,5.000,1,BRLN
90,20% NATL ATHLETE,SUBTOTAL PERCENT,20.000,1,BRLN
91,PRIDE P20OFF,ITEM AMOUNT,20.000,1,BRLN
92,8% IMAP R5,SUBTOTAL PERCENT,8.000,1,BRLN
93,8% STJOSEPH,SUBTOTAL PERCENT,8.000,1,BRLN
94,1000MAX IMAP,SUBTOTAL AMOUNT,1000.000,1,BRLN
95,1000MAX STJOSEPH,SUBTOTAL AMOUNT,1000.000,1,BRLN
96,8% PAMET CAMSUR,SUBTOTAL PERCENT,8.000,1,BRLN
97,1000MAX PAMET CS,SUBTOTAL AMOUNT,1000.000,1,BRLN
98,8% ADNUGAA,SUBTOTAL PERCENT,8.000,1,BRLN
99,1000MAX ADNUGAA,SUBTOTAL AMOUNT,1000.000,1,BRLN
100,8% RAYA CRS,SUBTOTAL PERCENT,8.000,1,BRLN
101,8% 3RDY CRS,SUBTOTAL PERCENT,8.000,1,BRLN
102,8% PILI TTSC,SUBTOTAL PERCENT,8.000,1,BRLN
103,8% JDP RENTAL,SUBTOTAL PERCENT,8.000,1,BRLN
104,8% SHUKRAN TRANS,SUBTOTAL PERCENT,8.000,1,BRLN
105,8% NATL REBAP,SUBTOTAL PERCENT,8.000,1,BRLN
106,1OOOMAX NATREBAP,SUBTOTAL AMOUNT,1000.000,1,BRLN
107,20% OFF TEXTBLAST,SUBTOTAL PERCENT,20.000,1,BRLN
108,8% DEPED NEU RS,SUBTOTAL PERCENT,8.000,1,BRLN
109,1000MAX DEPED NEU RS,SUBTOTAL AMOUNT,1000.000,1,BRLN
110,8% NAPSAA,SUBTOTAL PERCENT,8.000,1,BRLN
111,1000MAX NAPSAA,SUBTOTAL AMOUNT,1000.000,1,BRLN
112,8% CEBU PACIFIC DISC,SUBTOTAL PERCENT,8.000,1,BRLN
113,8% 3DEKALIBRE DISC,SUBTOTAL PERCENT,8.000,1,BRLN
114,8% NCPO & NUP DISC,SUBTOTAL PERCENT,8.000,1,BRLN
115,8% RCBC DISC,SUBTOTAL PERCENT,8.000,1,BRLN
116,8% HRMS DISC,SUBTOTAL PERCENT,8.000,1,BRLN
117,8% CACERES CLERGY DI,SUBTOTAL PERCENT,8.000,1,BRLN
118,1000MAX CEBU PAC DIS,SUBTOTAL AMOUNT,1000.000,1,BRLN
119,1000MAX 3DEKALIBRE D,SUBTOTAL AMOUNT,1000.000,1,BRLN
120,1000MAX NCPO & NUP D,SUBTOTAL AMOUNT,1000.000,1,BRLN
121,1000MAX RCBC,SUBTOTAL AMOUNT,1000.000,1,BRLN
122,1000MAX HRMS DISC,SUBTOTAL AMOUNT,1000.000,1,BRLN
123,1000MAX CACERES CLER,SUBTOTAL AMOUNT,1000.000,1,BRLN
124,8% Cam Norte Police,SUBTOTAL PERCENT,8.000,1,BRLN
125,8% Cam Norte Capitol,SUBTOTAL PERCENT,8.000,1,BRLN
126,8% LGU Talisay,SUBTOTAL PERCENT,8.000,1,BRLN
127,1000MAX CNPPO,SUBTOTAL AMOUNT,1000.000,1,BRLN
128,1000MAX CNC,SUBTOTAL AMOUNT,1000.000,1,BRLN
129,1000MAX LGU Talisay,SUBTOTAL AMOUNT,1000.000,1,BRLN
130,20% OFF OTS EMP,SUBTOTAL PERCENT,20.000,1,BRLN
131,8% BICOL ENT,SUBTOTAL PERCENT,8.000,1,BRLN
132,8% CNSC,SUBTOTAL PERCENT,8.000,1,BRLN
133,8% DEPED BICOL,SUBTOTAL PERCENT,8.000,1,BRLN
134,8% PCG BICOL,SUBTOTAL PERCENT,8.000,1,BRLN
135,1000MAX PCG BICOL,SUBTOTAL AMOUNT,1000.000,1,BRLN
136,1000MAX DEPED BICOL,SUBTOTAL AMOUNT,1000.000,1,BRLN
137,1000MAX CNSC,SUBTOTAL AMOUNT,1000.000,1,BRLN
138,1000MAX BICOL ENT,SUBTOTAL AMOUNT,1000.000,1,BRLN
139,8% NYD 2025 ENT,SUBTOTAL PERCENT,8.000,1,BRLN
140,1000MAX NYD2025,SUBTOTAL AMOUNT,1000.000,1,BRLN
143,FREE PJ LSM,ITEM PERCENT,100.000,1,BRLN
DC13,100% OFF BDAY DISC,SUBTOTAL PERCENT,100.000,1,BRLN
DC14,VDAY DISCOUNT,SUBTOTAL PERCENT,100.000,1,BRLN
DC15,P84 OFF SPAG PJ,SUBTOTAL AMOUNT,84.000,1,BRLN
DC16,P79 OFF TUNASND PJ,SUBTOTAL AMOUNT,79.000,1,BRLN
DC17,P79 OFF CCB PJ,SUBTOTAL AMOUNT,79.000,1,BRLN
DC18,P59 OFF FRIES PJ,SUBTOTAL AMOUNT,59.000,1,BRLN
DC26,8% CORP PARTNER DISC,SUBTOTAL PERCENT,8.000,1,BRLN
DC27,1000MAX CORPPART DIS,SUBTOTAL AMOUNT,1000.000,1,BRLN
DC28,5% BULK ORDER DISC,SUBTOTAL PERCENT,5.000,1,BRLN
