DEP_CODE,DEP_DESC,POS,BRANCH
1,CHICKEN MEALS,1,BRLN
2,CLASSIC MEALS,1,BRLN
3,BREAKFAST,1,BRLN
4,PASTA DISHES,1,BRLN
5,SHAKES,1,BRLN
6,BURGERS AND SANDWICHES,1,BRLN
7,BEVERAGES,1,BRLN
8,EXTRAS,1,BRLN
9,SALAD DELIGHTS,1,BRLN
10,SIDINGS,1,BRLN
11,SOUP,1,BRLN
12,CAKES,1,BRLN
13,NESPRESSO,1,BRLN
14,K-DOG,1,BRLN
15,FREE,1,BRLN
16,REPRESENTATION,1,BRLN
17,PREMIUM ITEMS,1,BRLN
18,FOOD PANDA,1,BRLN
19,UPGRADES UPSELLING,1,BRLN
20,RND,1,BRLN
21,PRESTIGE CARD FREEBIES,1,BRLN
23,KIDS POWER MEALS,1,BRLN
24,KIDS EAT FREE,1,BRLN
26,PARTY PACKS,1,BRLN
27,DOUBLE TREAT PROMO,1,BRLN
28,SHIPMENTS,1,BRLN
29,EATS FOR MEETS,1,BRLN
30,MODIFIER,1,BRLN
31,FRIES GOURMET,1,BRLN
32,MARKETING PROMO,1,BRLN
33,KIDS PARTY PACKS,1,BRLN
36,HAPPY ENDING,1,BRLN
37,ADD ON,1,BRLN
39,HOLIDAY FEAST,1,BRLN
40,SIZZLERS,1,BRLN
41,BRTC W 10% OFF,1,BRLN
42,BIGGS LOYALTY,1,BRLN
43,BIGGS AT HOME,1,BRLN
44,FAMILY FEAST,1,BRLN
25,BULK ORDER,1,BRLN
45,SNACKS,1,BRLN
46,SALAD DRESSINGS,1,BRLN
47,HOME CELEBRATION,1,BRLN
48,BDS,1,BRLN
49,REPRESENTATION 2,1,BRLN
51,DOUBLE TREAT,1,BRLN
52,BAKUNADOR MEALS,1,BRLN
53,NANAYS FAVORITE - R,1,BRLN
54,NANAYS FAVORITE,1,BRLN
55,P1SO DEALS,1,BRLN
56,BDS 2,1,BRLN
57,PARTY,1,BRLN
58,TEST MARKET,1,BRLN
59,BULK ORDERS 2,1,BRLN
60,BIGGS LOYALTY 2,1,BRLN
61,PURGED PRODUCTS,1,BRLN
62,GO BIGG,1,BRLN
63,FUNCTION,1,BRLN
64,FP COFFEE,1,BRLN
65,RSD PROMOS,1,BRLN
66,HOLIDAY PARTY PACKS,1,BRLN
