INCODE,ITE_DESC,ECR_DESC,DEP_CODE,UNT_PRIC,UNIT,TAXPRCNT1,TAXAMOUNT1,TAX1DIV,POS,BRANCH
CHM1,CRIPSY 2PCS,CRIPSY 2PCS,1,278.000,PC,12.000,19.180,9.330000,1,BRLN
CHM2,BIGG DEAL,BIGG DEAL,1,342.000,PC,12.000,19.500,9.330000,1,BRLN
CHM3,CHICKEN-KEBAB MEAL,CHKN-KEBAB,1,298.000,PC,12.000,17.360,9.330000,1,BRLN
CHM4,CRISPY 1PC,CRISPY 1PC,1,149.000,PC,12.000,10.610,9.330000,1,BRLN
CHM5,CAJUN 2PCS,CAJUN 2PCS,1,328.000,PC,12.000,21.320,9.330000,1,BRLN
CHM6,CAJUN 1PC,CAJUN 1PC,1,174.000,PC,12.000,12.750,9.330000,1,BRLN
CHM7,BT-MACARONI,BT-MACARONI,1,229.000,PC,12.000,15.320,9.333333,1,BRLN
CHM8,1PC CHICKEN W PINEAPPLE JUICE,1PC CHCKN W PJ,1,125.000,PC,12.000,13.390,9.333333,1,BRLN
CHM9,DOUBLE TREAT,DOUBLE TREAT,1,238.000,PC,12.000,14.890,9.333333,1,BRLN
CHM10,CARBO W CHICKEN,CARBO W CHKN,1,263.000,PC,12.000,15.540,9.330000,1,BRLN
CHM11,SPAGHETTI PLATTER,SPAG PLATTER,1,267.000,PC,12.000,17.680,9.330000,1,BRLN
CHM12,CARBO PLATTER,CARBO PLATTER,1,298.000,PC,12.000,19.820,9.330000,1,BRLN
CHM13,6PCS CHICKEN IN A BOX,6PCS CHX BOX,1,739.000,PC,12.000,54.540,9.330000,1,BRLN
CHM14,8PCS CHICKEN IN A BOX,8PCS-CHX BOX,1,984.000,PC,12.000,70.610,9.330000,1,BRLN
CHM15,CHICKEN BBQ,CHKN BBQ,1,0.000,PC,12.000,27.750,9.330000,1,BRLN
CHM16,CHICKEN CORDON BLEU,CHKN CORDON,1,0.000,PC,12.000,12.750,9.330000,1,BRLN
CHM17,CHICKEN AND BBQ MEAL,CHKN AND BBQ,1,229.000,PC,12.000,12.750,9.330000,1,BRLN
CHM18,BIGG DEAL CHICKEN,BDEAL CHICKEN,1,232.000,PC,12.000,12.750,9.330000,1,BRLN
CHM19,1PC CHICKEN BBQ,1PC CHICKEN BB,1,75.000,PC,12.000,21.320,9.330000,1,BRLN
CHM20,1PC CHICKEN CORDON,1PC C CORDON,1,0.000,PC,12.000,21.320,9.330000,1,BRLN
CHM21,CHICKEN GARLIC PARMESAN,CHKNGARPAR,1,159.000,PC,12.000,21.320,9.330000,1,BRLN
CHM22,CHICKEN HAM 399,CHKNHAM399,1,0.000,PC,12.000,49.180,9.330000,1,BRLN
CHM23,CHICKEN HAM 350,CHKNHAM350,1,0.000,PC,12.000,49.180,9.330000,1,BRLN
CHM24,CHICKEN HAM 300,CHKNHAM300,1,0.000,PC,12.000,49.180,9.330000,1,BRLN
CHM25,HOT CHICKEN HAVANA,HOTCHKNHAVANA,1,139.000,PC,12.000,14.890,9.333333,1,BRLN
CLM1,PORK CORDON BLEU,CORDON BLEU,2,333.000,PC,12.000,18.750,9.333333,1,BRLN
CLM2,PORK KEBABS,PORK KEBABS,2,333.000,PC,12.000,17.250,9.333333,1,BRLN
CLM3,BICOL SPECIAL,BICOL SPECIAL,2,333.000,PC,12.000,17.140,9.333333,1,BRLN
CLM4,TENDERLOIN TIPS W BMP,TIPS W BMP,0,189.000,PC,12.000,18.750,9.333333,1,BRLN
CLM5,TENDERLOIN TIPS,TIPS,2,323.000,PC,12.000,16.610,9.333333,1,BRLN
CLM6,KOREAN SPARE RIBS,KSR,2,433.000,PC,12.000,22.290,9.333333,1,BRLN
CLM7,SALISBURY STEAK,SALIS,2,323.000,PC,12.000,15.540,9.333333,1,BRLN
CLM8,BABY BACK RIBS,BABY BACK RIBS,2,499.000,PC,12.000,26.250,9.333333,1,BRLN
CLM9,FISH CREOLE,FISH CREOLE,2,229.000,PC,12.000,19.710,9.333333,1,BRLN
CLM10,TANGUEGUI STEAK,TANGUEGUI STEA,2,364.000,PC,12.000,17.680,9.333333,1,BRLN
CLM12,DAING NA BANGUS,DNB,2,362.000,PC,12.000,15.110,9.333333,1,BRLN
CLM13,DAING NA BANGUS W PINANGAT,DNB W PNGAT,2,175.000,PC,12.000,16.290,9.333333,1,BRLN
CLM14,BEEF SALPICAO,BEEF SALPICAO,0,332.000,PC,12.000,15.960,9.333333,1,BRLN
CLM15,MIXED VEGGIES,MIXED VEGGIES,2,109.000,PC,12.000,8.460,9.333333,1,BRLN
CLM16,LECHON KAWALI,LECHON KAWALI,2,245.000,PC,12.000,26.250,9.333333,1,BRLN
CLM17,FRIED PINANGAT ROLL,PINANGAT ROLL,2,215.000,PC,12.000,23.040,9.333333,1,BRLN
CLM18,CHICKEN LAING SUPREME,CHKN LAING,2,155.000,PC,12.000,16.610,9.333333,1,BRLN
BRK1,AMERICAN SLAM,AMERICAN SLAM,3,297.000,PC,12.000,15.960,9.333333,1,BRLN
