PAY_CODE,PAY_DESC,METHOD,MAX_AMOUNT,POS,BRANCH
00001,CASH,0,0.000,1,BRLN
00002,CREDIT CARD,1,0.000,1,BRLN
3,GC 50,2,50.000,1,BRLN
4,GC100,2,100.000,1,BRLN
5,BIGGS MONEY,6,0.000,1,BRLN
6,REPRESENTATION,6,0.000,1,BRLN
7,CHARGE,6,0.000,1,BRLN
8,SHOCKTOBER 300,2,300.000,1,BRLN
11,BIGG POINT,6,0.000,1,BRLN
12,FOOD PANDA GC,2,100.000,1,BRLN
1,GCASH,6,0.000,1,BRLN
2,FOOD PANDA,6,0.000,1,BRLN
10,CHAT BOOTH,6,0.000,1,BRLN
13,BANK TRANSFER,6,0.000,1,BRLN
14,HUNGRILY,0,0.000,1,BRLN
16,PANDA DELIVERY,0,0.000,1,BRLN
17,PAY PAL,6,0.000,1,BRLN
18,PANDALIVERY,6,0.000,1,BRLN
19,FREZHKART,6,0.000,1,BRLN
20,CHICKEN VOUCHER,6,0.000,1,BRLN
21,GRAB FOOD,6,0.000,1,BRLN
22,BOUNCE GC P50,2,50.000,1,BRLN
23,PAYMAYA,6,0.000,1,BRLN
24,BIGGS LOYALTY,6,0.000,1,BRLN
25,MIB CASH,0,0.000,1,BRLN
26,MIB PAYMAYA,0,0.000,1,BRLN
27,CARAVAN VOUCHER 50,2,50.000,1,BRLN
28,CHARGE TO LSM,6,0.000,1,BRLN
29,P50 BUCAL Voucher,2,50.000,1,BRLN
30,CHECK,2,0.000,1,BRLN
31,INCENTIVES,6,0.000,1,BRLN
32,CHARGE TO MKTG,0,0.000,1,BRLN
33,CHARGE TO LSM C,0,0.000,1,BRLN
34,GRAD 100 GC,2,100.000,1,BRLN
35,ON THE HOUSE,6,0.000,1,BRLN
36,200 GIFT CERTIFICATE,0,200.000,1,BRLN
37,BULK ORDER CHARGING,6,0.000,1,BRLN
