CODE,DESC,TYPE,VALUE,POS,BRANCH
1,SNR CTZN 20%,SUBTOTAL PERCENT,20.000,1,CAMALIG
2,SNR CTZN P80,SUBTOTAL AMOUNT,80.000,1,CAMALIG
5,PRESTIGE CARD 8%,SUBTOTAL PERCENT,8.000,1,CAMALIG
7,5% TIE UP,SUBTOTAL PERCENT,5.000,1,CAMALIG
13,8% DISCOUNT,SUBTOTAL PERCENT,8.000,1,CAMALIG
14,PWD 20% DISCOUNT,SUBTOTAL PERCENT,20.000,1,CAMALIG
16,OFW POWER CLUB 8%,SUBTOTAL PERCENT,8.000,1,CAMALIG
38,50% DISCOUNT,SUBTOTAL PERCENT,50.000,1,CAMALIG
3,P55 OFF,SUBTOTAL AMOUNT,55.000,1,CAMALIG
4,MOMS BIGG DAY,SUBTOTAL PERCENT,20.000,1,CAMALIG
6,20% HAVAIANAS,SUBTOTAL PERCENT,20.000,1,CAMALIG
8,MAKE IT BIGGS,SUBTOTAL PERCENT,20.000,1,CAMALIG
9,5% DISCOUNT,SUBTOTAL PERCENT,5.000,1,CAMALIG
10,CEO 20%,SUBTOTAL PERCENT,20.000,1,CAMALIG
11,COO 20%,SUBTOTAL PERCENT,20.000,1,CAMALIG
12,10% DISCOUNT,SUBTOTAL PERCENT,10.000,1,CAMALIG
15,50% TEXMEX EMP DISC,SUBTOTAL AMOUNT,224.000,1,CAMALIG
17,8% ROTARY CLUB NAGA,SUBTOTAL PERCENT,8.000,1,CAMALIG
18,10% TRAVEL DISC,SUBTOTAL PERCENT,10.000,1,CAMALIG
19,8% PICHE BICOL,SUBTOTAL PERCENT,8.000,1,CAMALIG
20,8% HABAGAT CS EAGLES,SUBTOTAL PERCENT,8.000,1,CAMALIG
21,8% MAHARLIKA EAGLES,SUBTOTAL PERCENT,8.000,1,CAMALIG
22,MHRLK EAGLES 1000MAX,SUBTOTAL AMOUNT,1000.000,1,CAMALIG
23,PICHE BICOL 1000MAX,SUBTOTAL AMOUNT,1000.000,1,CAMALIG
24,ROTARY NAGA 1000MAX,SUBTOTAL AMOUNT,1000.000,1,CAMALIG
25,HBGT EAGLES 1000MAX,SUBTOTAL AMOUNT,1000.000,1,CAMALIG
26,8% PICE CAMSUR,SUBTOTAL PERCENT,8.000,1,CAMALIG
27,8% UNITED ARCHI DISC,SUBTOTAL PERCENT,8.000,1,CAMALIG
28,PICE CS 1000 MAX DIS,SUBTOTAL AMOUNT,1000.000,1,CAMALIG
