DEP_CODE,DEP_DESC,POS,BRANCH
1,CHICKEN MEALS,1,CAMALIG
2,CLASSIC MEALS,1,CAMALIG
3,BREAKFAST,1,CAMALIG
4,PASTA DISHES,1,CAMALIG
5,SHAKES,1,CAMALIG
6,BURGERS AND SANDWICHES,1,CAMALIG
7,BEVERAGES,1,CAMALIG
8,EXTRAS,1,CAMALIG
9,SALAD DELIGHTS,1,CAMALIG
10,SIDINGS,1,CAMALIG
11,SOUP,1,CAMALIG
12,CAKES,1,CAMALIG
13,NESPRESSO,1,CAMALIG
15,FREE,1,CAMALIG
16,REPRESENTATION,1,CAMALIG
17,PREMIUM ITEMS,1,CAMALIG
18,SIZZLERS,1,CAMALIG
19,UPGRADES UPSELLING,1,CAMALIG
20,RND,1,CAMALIG
23,BIGGS LOYALTY,1,CAMALIG
24,KIDS EAT FREE,1,CAMALIG
30,MODIFIER,1,CAMALIG
32,MARKETING PROMO,1,CAMALIG
40,BULK ORDERS,1,CAMALIG
41,DELIVERY,1,CAMALIG
47,SNACKS,1,CAMALIG
49,REPRESENTATION 2,1,CAMALIG
53,BDS,1,CAMALIG
54,TEST MARKET,1,CAMALIG
38,MARKETING PROMO 2,1,CAMALIG
39,FUNCTION,1,CAMALIG
42,PARTY PACKS,1,CAMALIG
43,ADD ONS,1,CAMALIG
44,PURGED PRODUCTS,1,CAMALIG
45,GO BIGG,1,CAMALIG
46,BIGGS LOYALTY 1,1,CAMALIG
48,FP COFFEE,1,CAMALIG
50,BIGGS MERCH ITEMS,1,CAMALIG
51,RSD PROMOS,1,CAMALIG
52,COFFEE,1,CAMALIG
55,NON COFFEE,1,CAMALIG
56,NON,1,CAMALIG
