INCODE,ITE_DESC,ECR_DESC,DEP_CODE,UNT_PRIC,UNIT,TAXPRCNT1,TAXAMOUNT1,TAX1DIV,POS,BRANCH
CHM1,BIGGS FRIED CHICKEN 2PC,BIGGS CHKN 2PC,1,259.000,PC,12.000,19.180,9.330000,1,CAMALIG
CHM2,BIGG DEAL,BIGG DEAL,1,342.000,PC,12.000,19.500,9.330000,1,CAMALIG
CHM3,CHICKEN-KEBAB MEAL,CHKN-KEBAB,1,298.000,PC,12.000,17.360,9.330000,1,CAMALIG
CHM4,BIGGS FRIED CHICKEN 1PC,BIGGS CHKN 1PC,1,149.000,PC,12.000,10.610,9.330000,1,CAMALIG
CHM5,CAJUN 2PCS,CAJUN 2PCS,1,328.000,PC,12.000,21.320,9.330000,1,CAMALIG
CHM6,CAJUN 1PC,CAJUN 1PC,1,174.000,PC,12.000,12.750,9.330000,1,CAMALIG
CHM7,BT-MACARONI,BT-MACARONI,1,229.000,PC,12.000,15.320,9.333333,1,CAMALIG
CHM8,BIGGS FRIED CHICKEN 2PC,BIGGS CHKN 2PC,1,278.000,PC,12.000,15.960,9.330000,1,CAMALIG
CHM9,SPAG W  CHICKEN,SPAG W CHICKN,1,238.000,PC,12.000,14.890,9.330000,1,CAMALIG
CHM10,CARBO W CHICKEN,CARBO W CHKN,1,263.000,PC,12.000,15.540,9.330000,1,CAMALIG
CHM11,SPAGHETTI PLATTER,SPAG PLATTER,1,267.000,PC,12.000,17.680,9.330000,1,CAMALIG
CHM12,CARBO PLATTER,CARBO PLATTER,1,298.000,PC,12.000,19.820,9.330000,1,CAMALIG
CHM13,6PCS CHICKEN IN A BOX,6PCS CHX BOX,1,739.000,PC,12.000,54.540,9.330000,1,CAMALIG
CHM14,8PCS CHICKEN IN A BOX,8PCS-CHX BOX,1,984.000,PC,12.000,70.610,9.330000,1,CAMALIG
CLM10,TANGUEGUI STEAK,TANGUEGUI STEA,2,364.000,PC,12.000,17.680,9.333333,1,CAMALIG
CLM12,DAING NA BANGUS,DNB,2,362.000,PC,12.000,15.110,9.333333,1,CAMALIG
CLM13,DAING NA BANGUS W PINANGAT,DNB W PNGAT,2,175.000,PC,12.000,16.290,9.333333,1,CAMALIG
CLM14,BEEF SALPICAO,BEEF SALPICAO,2,289.000,PC,12.000,15.960,9.333333,1,CAMALIG
CLM15,MIXED VEGGIES,MIXED VEGGIES,2,109.000,PC,12.000,8.460,9.333333,1,CAMALIG
BRK1,AMERICAN SLAM,AMERICAN SLAM,3,297.000,PC,12.000,15.960,9.333333,1,CAMALIG
BRK2,COUNTRY BREAKFAST,COUNTRY B,3,286.000,PC,12.000,15.540,9.333333,1,CAMALIG
BRK3,BACON EGG TOAST,BET,3,129.000,PC,12.000,1275.000,9.333333,1,CAMALIG
BRK4,DAING NA BANGUS W EGG,DNB W EGG,44,219.000,PC,12.000,12.110,9.330000,1,CAMALIG
BRK6,FRANKS N EGG,FRANKS N EGG,3,248.000,PC,12.000,12.750,9.333333,1,CAMALIG
BRK8,TOCILOG,TOCILOG,3,259.000,PC,12.000,14.250,9.333333,1,CAMALIG
BRK9,TAPSILOG,TAPSILOG,3,267.000,PC,12.000,15.320,9.333333,1,CAMALIG
BRK10,GOTO,GOTO,3,99.000,PC,12.000,6.960,9.333333,1,CAMALIG
BRK11,GOTO W EGG,GOTO W EGG,3,119.000,PC,12.000,8.250,9.333333,1,CAMALIG
