PAY_CODE,PAY_DESC,METHOD,MAX_AMOUNT,POS,BRANCH
00001,CASH,0,0.000,1,CAMALIG
00002,CREDIT CARD,1,0.000,1,CAMALIG
00003,DEBIT,3,0.000,1,CAMALIG
1,CHARGE,0,0.000,1,CAMALIG
2,PAYMAYA,6,0.000,1,CAMALIG
3,FOOD PANDA,6,0.000,1,CAMALIG
4,REPRESENTATION,6,0.000,1,CAMALIG
6,GC 50,5,0.000,1,CAMALIG
7,GC 100,5,0.000,1,CAMALIG
8,GCASH,6,0.000,1,CAMALIG
9,MIB CASH,0,0.000,1,CAMALIG
10,BIGGS LOYALTY,0,0.000,1,CAMALIG
11,BOUNCE BACK GC,2,50.000,1,CAMALIG
12,CARAVAN VOUCCHER 50,2,50.000,1,CAMALIG
13,CHARGE TO LSM,6,0.000,1,CAMALIG
14,P50 BUCAL Voucher,2,50.000,1,CAMALIG
15,INCENTIVES,6,0.000,1,CAMALIG
16,CHARGE TO MKTG,0,0.000,1,CAMALIG
17,CHARGE TO LSM C,0,0.000,1,CAMALIG
18,GRAD 100 GC,2,100.000,1,CAMALIG
19,ON THE HOUSE,6,0.000,1,CAMALIG
21,200 GC,0,0.000,1,CAMALIG
22,FRANCHISE CHARGING,6,0.000,1,CAMALIG
23,BULKK ORDER CHARGING,6,0.000,1,CAMALIG
