CODE,DESC,TYPE,VALUE,POS,BRANCH
1,SNR CTZN 20%,SUBTOTAL PERCENT,20.000,1,EME
2,20% PWD ITEM DISC,ITEM PERCENT,20.000,1,EME
9,5% DISCOUNT,SUBTOTAL PERCENT,5.000,1,EME
14,PWD 20% DISCOUNT,SUBTOTAL PERCENT,20.000,1,EME
12,8% ST JOSEPH DINE TA,SUBTOTAL PERCENT,8.000,1,EME
19,OFW PWRCLUB CARD 8%,SUBTOTAL PERCENT,8.000,1,EME
31,MAKE IT BIGGS,SUBTOTAL PERCENT,20.000,1,EME
3,CEO 20% DISC,SUBTOTAL PERCENT,20.000,1,EME
4,COO 20% DISC,SUBTOTAL PERCENT,20.000,1,EME
5,50% TEXMEX EMP DISC,SUBTOTAL AMOUNT,224.000,1,EME
6,10% TRAVEL DISC,SUBTOTAL PERCENT,10.000,1,EME
7,8% HABAGAT CS EAGLES,SUBTOTAL PERCENT,8.000,1,EME
8,8% PICHE BICOL,SUBTOTAL PERCENT,8.000,1,EME
10,8% ROTARY CLUB NAGA,SUBTOTAL PERCENT,8.000,1,EME
11,8% MAHARLIKA EAGLES,SUBTOTAL PERCENT,8.000,1,EME
13,MHRLK EAGLES 1000MAX,SUBTOTAL AMOUNT,1000.000,1,EME
15,PICHE BICOL 1000MAX,SUBTOTAL AMOUNT,1000.000,1,EME
16,ROTARY NAGA 1000MAX,SUBTOTAL AMOUNT,1000.000,1,EME
17,ROTARY NAGA 1000MAX,SUBTOTAL AMOUNT,1000.000,1,EME
18,HBGT EAGLES 1000MAX,SUBTOTAL AMOUNT,1000.000,1,EME
20,8% PICE CAMSUR,SUBTOTAL PERCENT,8.000,1,EME
21,8% UNITED ARCHI DISC,SUBTOTAL PERCENT,8.000,1,EME
22,PICE CS 1000 MAX DIS,SUBTOTAL AMOUNT,1000.000,1,EME
23,UN ARCHI 1000 MAX DI,SUBTOTAL AMOUNT,1000.000,1,EME
24,8% ROTARY OF IRIGA,SUBTOTAL PERCENT,8.000,1,EME
25,OFW PC 1000 MAX DISC,SUBTOTAL AMOUNT,1000.000,1,EME
26,ROTARYOFIRIGA1000MAX,SUBTOTAL AMOUNT,1000.000,1,EME
27,8% REBAP DISCOUNT,SUBTOTAL PERCENT,8.000,1,EME
28,1000MAX REBAP DISC,SUBTOTAL AMOUNT,1000.000,1,EME
29,8% ENVP CamSur,SUBTOTAL PERCENT,8.000,1,EME
30,8% CSNHS Alumni,SUBTOTAL PERCENT,8.000,1,EME
32,1000MAX ENVP CamSur,SUBTOTAL AMOUNT,1000.000,1,EME
33,1000MAX CSNHS Alumni,SUBTOTAL AMOUNT,1000.000,1,EME
34,8% NAGA PICE,SUBTOTAL PERCENT,8.000,1,EME
35,8% IIEE CAMSUR,SUBTOTAL PERCENT,8.000,1,EME
36,NAGA PICE 1000MAX,SUBTOTAL AMOUNT,1000.000,1,EME
37,IIEE 1000MAX DISC,SUBTOTAL AMOUNT,1000.000,1,EME
38,5% SOLO PARENTS,SUBTOTAL PERCENT,5.000,1,EME
39,20% NATL ATHLETE,SUBTOTAL PERCENT,20.000,1,EME
40,PRIDE P20OFF,ITEM AMOUNT,20.000,1,EME
41,8% IMAP R5,SUBTOTAL PERCENT,8.000,1,EME
42,1000MAX IMAP,SUBTOTAL AMOUNT,1000.000,1,EME
43,1000MAX STJOSEPH,SUBTOTAL AMOUNT,1000.000,1,EME
44,8% PAMET CAMSUR,SUBTOTAL PERCENT,8.000,1,EME
45,1000MAX PAMET CS,SUBTOTAL AMOUNT,1000.000,1,EME
46,8% ADNUGAA,SUBTOTAL PERCENT,8.000,1,EME
47,1000MAX ADNUGAA,SUBTOTAL AMOUNT,1000.000,1,EME
48,8% RAYA CRS,SUBTOTAL PERCENT,8.000,1,EME
49,8% 3RDY CRS,SUBTOTAL PERCENT,8.000,1,EME
50,8% PILI TTSC,SUBTOTAL PERCENT,8.000,1,EME
51,8% JDP RENTAL,SUBTOTAL PERCENT,8.000,1,EME
52,8% SHUKRAN TRANS,SUBTOTAL PERCENT,8.000,1,EME
53,8% NATL REBAP,SUBTOTAL PERCENT,8.000,1,EME
54,1000MAX NATREBAP,SUBTOTAL AMOUNT,1000.000,1,EME
55,8% DEPED NEU RS,SUBTOTAL PERCENT,8.000,1,EME
56,1000MAX DEPED NEU RS,SUBTOTAL AMOUNT,1000.000,1,EME
57,8% NAPSAA,SUBTOTAL PERCENT,8.000,1,EME
58,1000MAX NAPSAA,SUBTOTAL AMOUNT,1000.000,1,EME
59,20% OFF BMI SHIRT,SUBTOTAL PERCENT,20.000,1,EME
60,20% OFF BMI EMP,SUBTOTAL PERCENT,20.000,1,EME
61,20% OFF OTS TSHIRT,SUBTOTAL PERCENT,20.000,1,EME
62,8% CEBU PACIFIC DISC,SUBTOTAL PERCENT,8.000,1,EME
63,8% 3DEKALIBRE DISC,SUBTOTAL PERCENT,8.000,1,EME
65,8% RCBC DISC,SUBTOTAL PERCENT,8.000,1,EME
66,8% HRMS DISC,SUBTOTAL PERCENT,8.000,1,EME
67,8% CACERES CLERGY DI,SUBTOTAL PERCENT,8.000,1,EME
68,1000MAX CEBU PAC DIS,SUBTOTAL AMOUNT,1000.000,1,EME
69,1000MAX 3DEKALIBRE D,SUBTOTAL AMOUNT,1000.000,1,EME
70,1000MAX NCPO & NUP D,SUBTOTAL AMOUNT,1000.000,1,EME
71,1000MAX RCBC,SUBTOTAL AMOUNT,1000.000,1,EME
72,1000MAX HRMS DISC,SUBTOTAL AMOUNT,1000.000,1,EME
73,1000MAX CACERES CLER,SUBTOTAL AMOUNT,1000.000,1,EME
76,8% NCPO & NUP DISC,SUBTOTAL PERCENT,8.000,1,EME
85,1000MAXCACERES CLRGY,SUBTOTAL AMOUNT,1000.000,1,EME
86,10%NCD,SUBTOTAL PERCENT,10.000,1,EME
87,V,SUBTOTAL PERCENT,10.000,1,EME
88,10%FLORED,SUBTOTAL PERCENT,10.000,1,EME
89,8% Cam Norte Police,SUBTOTAL PERCENT,8.000,1,EME
90,8% Cam Norte Capitol,SUBTOTAL PERCENT,8.000,1,EME
91,8% LGU Talisay,SUBTOTAL PERCENT,8.000,1,EME
92,1000MAX CNPPO,SUBTOTAL AMOUNT,1000.000,1,EME
93,1000MAX C.N.C,SUBTOTAL AMOUNT,1000.000,1,EME
94,1000MAX LGU Talisay,SUBTOTAL AMOUNT,1000.000,1,EME
95,20% OFF OTS BMI,SUBTOTAL PERCENT,20.000,1,EME
96,20% OFF OTS EMP,SUBTOTAL PERCENT,20.000,1,EME
97,8% BICOL ENT,SUBTOTAL PERCENT,8.000,1,EME
98,8% CNSC,SUBTOTAL PERCENT,8.000,1,EME
99,8% DEPED BICOL,SUBTOTAL PERCENT,8.000,1,EME
100,8% PCG BICOL,SUBTOTAL PERCENT,8.000,1,EME
101,1000MAX PCG BICOL,SUBTOTAL AMOUNT,1000.000,1,EME
102,1000MAX DEPED BICOL,SUBTOTAL AMOUNT,1000.000,1,EME
103,1000MAX CNSC,SUBTOTAL AMOUNT,1000.000,1,EME
104,1000MAX BICOL ENT,SUBTOTAL AMOUNT,1000.000,1,EME
106,FREE PJ LSM,ITEM PERCENT,100.000,1,EME
107,P84 OFF SPAG PJ,ITEM AMOUNT,84.000,1,EME
DC13,100% OFF BDAY DISC,SUBTOTAL PERCENT,100.000,1,EME
DC14,VDAY DISCOUNT,SUBTOTAL PERCENT,100.000,1,EME
DC15,P84 OFF SPAG PJ,SUBTOTAL AMOUNT,84.000,1,EME
DC16,P79 OFF TUNASAND PJ,SUBTOTAL AMOUNT,79.000,1,EME
DC17,P79 OFF CCB PJ,SUBTOTAL AMOUNT,79.000,1,EME
DC18,P59 OFF FRIES PJ,SUBTOTAL AMOUNT,59.000,1,EME
DC26,8% CORP PARTNER DISC,SUBTOTAL PERCENT,8.000,1,EME
DC27,1000MAX CORPPART DIS,SUBTOTAL AMOUNT,1000.000,1,EME
DC28,5% BULK ORDER DISC,SUBTOTAL PERCENT,5.000,1,EME
