DEP_CODE,DEP_DESC,POS,BRANCH
1,CHICKEN MEALS,1,EME
2,CLASSIC MEALS,1,EME
3,BREAKFAST,1,EME
4,PASTA DISHES,1,EME
5,SHAKES,1,EME
6,BURGERS AND SANDWICHES,1,EME
7,BEVERAGES,1,EME
8,EXTRAS,1,EME
9,SALAD DELIGHTS,1,EME
10,SIDINGS,1,EME
11,SOUP,1,EME
12,CAKES,1,EME
13,NESPRESSO,1,EME
16,REPRESENTATION,1,EME
17,PREMIUM ITEMS,1,EME
19,UPGRADES UPSELLING,1,EME
20,RND,1,EME
24,KIDS EAT FREE,1,EME
30,MODIFIER,1,EME
32,MARKETING PROMO,1,EME
35,BIGGS AT HOME,1,EME
40,BULK ORDERS,1,EME
41,FOOD PANDA,1,EME
47,SNACKS,1,EME
53,BDS,1,EME
54,TEST MARKET,1,EME
18,SIZZLERS,1,EME
23,BIGGS LOYALTY,1,EME
15,BIGGS LOYALTY 2,1,EME
21,ADD ONS,1,EME
22,HOLIDAY PARTY PACKS,1,EME
25,GO BIGG,1,EME
26,GO BIGG,1,EME
29,FUNCTION,1,EME
31,FP COFFEE,1,EME
33,MARKETING PROMO 2,1,EME
34,PARTY PACKS 2,1,EME
36,BIGGS MERCH ITEMS,1,EME
37,RSD PROMOS,1,EME
