CODE,DESC,TYPE,VALUE,POS,BRANCH
1,SNR CTZN 20%,SUBTOTAL PERCENT,20.000,1,GOA
2,SNR CTZN P80,SUBTOTAL AMOUNT,80.000,1,GOA
3,PAG IBIG,SUBTOTAL PERCENT,5.000,1,GOA
4,EMPLOYEE DISCOUNT,SUBTOTAL PERCENT,25.000,1,GOA
5,PRESTIGE CARD,SUBTOTAL PERCENT,8.000,1,GOA
6,SENIOR CITIZEN,SUBTOTAL AMOUNT,50.000,1,GOA
7,PRESTIGE CARD 5%,SUBTOTAL PERCENT,0.000,1,GOA
8,PWD DISCOUNT,SUBTOTAL PERCENT,20.000,1,GOA
11,DELIVERY 50% OFF,SUBTOTAL PERCENT,50.000,1,GOA
17,26% OFF,SUBTOTAL PERCENT,26.000,1,GOA
18,10% DISCOUNT,SUBTOTAL PERCENT,10.000,1,GOA
19,PRIMO GC 100 OFF,SUBTOTAL AMOUNT,0.000,1,GOA
20,20 PRCNT PRME DSCNT,SUBTOTAL PERCENT,20.000,1,GOA
22,CHCIKEN@50%,SUBTOTAL PERCENT,50.000,1,GOA
24,MAKE IT BIGGS 20%,SUBTOTAL PERCENT,20.000,1,GOA
25,MAKE IT BIGGS,SUBTOTAL PERCENT,20.000,1,GOA
26,10.10 DISCOUNT,SUBTOTAL PERCENT,10.000,1,GOA
27,BLA 20% DISCOUNT,SUBTOTAL PERCENT,20.000,1,GOA
30,BLA P50 OFF EXT BURG,SUBTOTAL AMOUNT,50.000,1,GOA
31,P55 OFF,SUBTOTAL AMOUNT,55.000,1,GOA
32,MOMS BIGG DAY,SUBTOTAL PERCENT,20.000,1,GOA
33,CEO 20% DISC,SUBTOTAL PERCENT,20.000,1,GOA
34,COO 20% DISC,SUBTOTAL PERCENT,20.000,1,GOA
35,50% TEXMEX EMP DISC,SUBTOTAL AMOUNT,224.000,1,GOA
36,10% TRAVEL DISCOUNT,SUBTOTAL PERCENT,10.000,1,GOA
37,10% TRAVEL DISC,SUBTOTAL PERCENT,10.000,1,GOA
38,8% ROTARY CLUB NAGA,SUBTOTAL PERCENT,8.000,1,GOA
39,8% PICHE BICOL,SUBTOTAL PERCENT,8.000,1,GOA
