DEP_CODE,DEP_DESC,POS,BRANCH
1,CHICKEN MEALS,1,GOA
2,CLASSIC MEALS,1,GOA
3,BREAKFAST,1,GOA
4,PASTA DISHES,1,GOA
5,SHAKES,1,GOA
6,BURGERS AND SANDWICHES,1,GOA
7,BEVERAGES,1,GOA
8,EXTRAS,1,GOA
9,SALAD DELIGHTS,1,GOA
10,SIDINGS,1,GOA
11,SOUP,1,GOA
12,CAKES,1,GOA
13,NESPRESSO,1,GOA
14,KICKERS AND DIPS,1,GOA
15,FREE,1,GOA
16,REPRESENTATION,1,GOA
17,OLD PREMIUM ITEMS,1,GOA
18,BIGG MEALS,1,GOA
19,UPGRADES UPSELLING,1,GOA
20,RND,1,GOA
21,P1SO DEALS,1,GOA
22,FIESTARRIFIC,1,GOA
23,KIDS POWER MEALS,1,GOA
25,HOLIDAY PARTY PACKS,1,GOA
26,PARTY PACKS ADD-ONS,1,GOA
27,BIGG FEAST,1,GOA
28,SHIPMENTS,1,GOA
29,EATS FOR MEETS,1,GOA
30,MODIFIER,1,GOA
31,FRIES GOURMET,1,GOA
32,MARKETING PROMO,1,GOA
33,KIDS FOR FREE,1,GOA
34,KEBAB DELIVERY,1,GOA
35,DELIVERY,1,GOA
36,HAPPY ENDING,1,GOA
37,ADD ON,1,GOA
39,BELLA NOTTE 2020,1,GOA
40,BULK ORDERS,1,GOA
41,SIZZLERS,1,GOA
42,RICE BOWLS,1,GOA
43,HOME CELEBRATION,1,GOA
44,CELRBRATE SUCCESS,1,GOA
45,HOTLEGS,1,GOA
46,LSMP,1,GOA
88,BDS,1,GOA
47,NEW BEVERAGES,1,GOA
48,BELLA NOTTE,1,GOA
52,BIGGS AT HOME,1,GOA
53,K-DOG,1,GOA
24,BIGGS LOYALTY,1,GOA
56,PREMIUM ITEMS,1,GOA
58,BIGGS LOYALTY 2,1,GOA
59,MARKETING PROMO 2,1,GOA
60,GO BIGG,1,GOA
61,FUNCTION,1,GOA
62,RSD PROMOS,1,GOA
63,BIGGS LOYALTY 3,1,GOA
64,SNACKS,1,GOA
