INCODE,ITE_DESC,ECR_DESC,DEP_CODE,UNT_PRIC,UNIT,TAXPRCNT1,TAXAMOUNT1,TAX1DIV,POS,BRANCH
CHM1,BIGGS FRIED CHICKEN 2PC,BIGGS CHKN 2PC,1,278.000,PC,12.000,19.180,9.330000,1,GOA
CHM2,BIGG DEAL,BIGG DEAL,1,342.000,PC,12.000,19.500,9.330000,1,GOA
CHM3,CHICKEN-KEBAB MEAL,CHKN-KEBAB,1,298.000,PC,12.000,17.360,9.330000,1,GOA
CHM4,BIGGS FRIED CHICKEN 1PC,BIGGS CHKN 1PC,1,149.000,PC,12.000,10.610,9.330000,1,GOA
CHM5,BIGGS CAJUN CHICKEN 2PC,BIGGSCAJUN 2PC,1,328.000,PC,12.000,21.320,9.330000,1,GOA
CHM6,BIGGS CAJUN CHICKEN 1PC,BIGGSCAJUN 1PC,1,174.000,PC,12.000,12.750,9.330000,1,GOA
CHM7,BT-MACARONI,BT-MACARONI,1,229.000,PC,12.000,15.320,9.333333,1,GOA
CHM8,CHICKEN CORDON BLEU,CHICKEN CORDON,1,229.000,PC,12.000,21.960,9.333333,1,GOA
CHM9,DOUBLE TREAT,DOUBLE TREAT,1,238.000,PC,12.000,14.890,9.333333,1,GOA
CHM10,CARBO W CHICKEN,CARBO W CHKN,1,263.000,PC,12.000,15.540,9.330000,1,GOA
CHM11,SPAGHETTI PLATTER,SPAG PLATTER,1,267.000,PC,12.000,17.680,9.330000,1,GOA
CHM12,CARBO PLATTER,CARBO PLATTER,1,298.000,PC,12.000,19.820,9.330000,1,GOA
CHM13,6PCS CHICKEN IN A BOX,6PCS CHX BOX,1,739.000,PC,12.000,54.540,9.330000,1,GOA
CHM14,8PCS CHICKEN IN A BOX,8PCS-CHX BOX,1,984.000,PC,12.000,70.610,9.330000,1,GOA
CHM15,CHICKEN KEBABS,CHKN KEBABS,1,298.000,PC,12.000,21.210,9.333333,1,GOA
CHM16,1PC CHEDDAR CHEESE,1PC CHEDDAR CH,1,0.000,PC,12.000,12.750,9.333333,1,GOA
CHM17,1PC FLAMMING BBQ,1PC FLAMMING B,1,0.000,PC,12.000,12.750,9.330000,1,GOA
CHM18,1PC GARLIC PARMESAN,1PC GARLIC PAR,1,169.000,PC,12.000,12.750,9.333333,1,GOA
CHM19,2PCS CHEDDAR CHEESE,2PCS CHEDDAR C,1,0.000,PC,12.000,21.320,9.333333,1,GOA
CHM20,2PCS FLAMMING BBQ,2PCS FLAMMING,1,0.000,PC,12.000,21.320,9.333333,1,GOA
CHM21,1PC HAVANA CHICKEN,1PC.CHMHAVANA,1,139.000,PC,12.000,14.890,9.333333,1,GOA
CHM22,SQUAD-CAJUN,SQUAD-CAJUN,1,0.000,PC,12.000,49.180,9.330000,1,GOA
CHM23,SQUAD-PARMESAN,SQUAD-PARMESAN,1,0.000,PC,12.000,49.180,9.330000,1,GOA
CHM24,SQUAD-CHEESY,SQUAD-CHEESY,1,0.000,PC,12.000,49.180,9.330000,1,GOA
CHM25,SQUAD-FLAMMING,SQUAD-FLAMMING,1,0.000,PC,12.000,49.180,9.330000,1,GOA
CLM1,PORK CORDON BLEU,CORDON BLEU,2,333.000,PC,12.000,18.750,9.333333,1,GOA
CLM2,PORK KEBABS,PORK KEBABS,2,333.000,PC,12.000,17.250,9.333333,1,GOA
CLM3,BICOL SPECIAL,BICOL SPECIAL,2,333.000,PC,12.000,17.140,9.333333,1,GOA
CLM4,TENDERLOIN TIPS W BMP,TIPS W BMP,2,221.000,PC,12.000,18.750,9.333333,1,GOA
CLM5,TENDERLOIN TIPS,TIPS,2,323.000,PC,12.000,16.610,9.330000,1,GOA
CLM6,KOREAN SPARE RIBS,KSR,2,433.000,PC,12.000,22.290,9.333333,1,GOA
CLM7,SALISBURY STEAK,SALIS,2,323.000,PC,12.000,15.540,9.333333,1,GOA
CLM8,BABY BACK RIBS,BABY BACK RIBS,2,499.000,PC,12.000,26.250,9.333333,1,GOA
CLM9,FISH CREOLE,FISH CREOLE,2,0.000,PC,12.000,19.710,9.333333,1,GOA
CLM10,TANGUEGUI STEAK,TANGUEGUI STEA,2,364.000,PC,12.000,17.680,9.333333,1,GOA
CLM12,DAING NA BANGUS,DNB,2,362.000,PC,12.000,15.110,9.333333,1,GOA
CLM13,ANGUS PEPPER BEEF,ANGUS PEPPER B,2,279.000,PC,12.000,21.320,9.333333,1,GOA
CLM14,BEEF SALPICAO,BEEF SALPICAO,2,332.000,PC,12.000,15.960,9.333333,1,GOA
CLM15,MIXED VEGGIES,MIXED VEGGIES,2,109.000,PC,12.000,8.460,9.333333,1,GOA
CLM16,LECHON KAWALI,LECHON KAWALI,2,0.000,PC,12.000,26.250,9.333333,1,GOA
CLM17,FRIED PINANGAT ROLL,PINANGAT ROLL,2,0.000,PC,12.000,23.040,9.333333,1,GOA
CLM18,CHICKEN LAING SUPREME,CHKN LAING,2,0.000,PC,12.000,16.610,9.333333,1,GOA
BRK1,AMERICAN SLAM,AMERICAN SLAM,3,297.000,PC,12.000,15.960,9.333333,1,GOA
BRK2,COUNTRY BREAKFAST,COUNTRY B,3,286.000,PC,12.000,15.540,9.333333,1,GOA
BRK3,UNLIMITED COFFEE,UNLI COFFEE,3,20.000,PC,12.000,1275.000,9.330000,1,GOA
BRK4,DAING NA BANGUS W EGG,DNB W EGG,3,219.000,PC,12.000,12.110,9.333333,1,GOA
BRK5,FARMERS DELIGHT,FARMERS DELIGH,3,0.000,PC,12.000,10.180,9.333333,1,GOA
BRK6,FRANKS N EGG,FRANKS N EGG,3,248.000,PC,12.000,12.750,9.333333,1,GOA
BRK7,GRANDSLAM BREAKFAST,GRANDSLAM BREA,3,0.000,PC,12.000,11.250,9.333333,1,GOA
BRK8,TOCILOG,TOCILOG,3,259.000,PC,12.000,14.250,9.333333,1,GOA
BRK9,TAPSILOG,TAPSILOG,3,267.000,PC,12.000,15.320,9.333333,1,GOA
BRK10,GOTO,GOTO,3,99.000,PC,12.000,6.960,9.333333,1,GOA
BRK11,GOTO W EGG,GOTO W EGG,3,119.000,PC,12.000,8.250,9.333333,1,GOA
BRK12,GOTO W TB,GOTO W TB,3,0.000,PC,12.000,11.460,9.333333,1,GOA
BRK13,GOTO W EGG TB,GOTO W EGG TB,3,0.000,PC,12.000,12.750,9.333333,1,GOA
BRK14,HAM & CHEESE OMELETTE,HAMCHEESE OMEL,3,0.000,PC,12.000,14.460,9.333333,1,GOA
BRK15,SPANISH OMELETTE,SPANISH OMELET,3,0.000,PC,12.000,14.460,9.330000,1,GOA
BRK16,VEGETERIAN OMELETTE,VEGETERIAN OME,3,0.000,PC,12.000,14.460,9.333333,1,GOA
BRK17,FARMERS OMELETTE,FARMERS OMELET,3,0.000,PC,12.000,14.460,9.333333,1,GOA
PST1,SPAGHETTI,SPAGHETTI,4,114.000,PC,12.000,6.960,9.333333,1,GOA
PST4,SPAGHETTI W P.BREAD,SPAG W P.BREAD,4,144.000,PC,12.000,10.610,9.333333,1,GOA
PST2,CARBONARA,CARBONARA,4,134.000,PC,12.000,9.110,9.333333,1,GOA
PST3,CARBONARA W P.BREAD,CARBO W P.BREA,4,174.000,PC,12.000,11.250,9.330000,1,GOA
PST5,SPICY GAMBERETTO,SPICY GAMBERET,4,0.000,PC,12.000,19.180,9.333333,1,GOA
SHK1,RIPE MANGO SHAKE,RMS,5,159.000,PC,12.000,7.390,9.330000,1,GOA
SHK2,HALO SUP``E,HALO SUP``E,5,159.000,PC,12.000,9.110,9.330000,1,GOA
SHK4,WATERMELON LEMONADE,WM LEMONADE,5,99.000,PC,12.000,10.610,9.333333,1,GOA
SHK5,COOKIES N CREAM,COOKIES N CREA,5,159.000,PC,12.000,7.390,9.330000,1,GOA
SHK6,UBE AND CHEESE,UBE AND CHEESE,5,99.000,PC,12.000,10.610,9.333333,1,GOA
SHK7,HALO EXT``E,HALO EXT``E,5,0.000,PC,12.000,10.180,9.330000,1,GOA
SHK8,MANGO GREEN SHAKE,MANGO GREEN SH,5,129.000,PC,12.000,7.390,9.330000,1,GOA
SHK9,MANGO GRAHAM SHAKE,MANGO GRAHAM S,5,159.000,PC,12.000,10.610,9.333333,1,GOA
SHK10,COFFEE VANILLA SHAKE,COFFEE VANILLA,5,99.000,PC,12.000,10.610,9.330000,1,GOA
BS1,BACON BURGER,BCB,6,149.000,PC,12.000,9.320,9.330000,1,GOA
BS2,TUNA SANDWICH,TUNA SANDWICH,6,119.000,PC,12.000,8.460,9.330000,1,GOA
BS3,CLASSIC BURGER,CB,6,109.000,PC,12.000,5.250,9.333333,1,GOA
BS4,CHEESY BURGER,CCB,6,119.000,PC,12.000,7.390,9.330000,1,GOA
BS5,CHICKEN BURGER,CHICKEN BURGER,6,139.000,PC,12.000,10.610,9.333333,1,GOA
BS6,PIZZA BREAD,PIZZA BREAD,6,89.000,PC,12.000,5.360,9.330000,1,GOA
BS7,"EXT""E REUBEN BURGER",REUBEN BURGER,6,299.000,PC,12.000,21.320,9.330000,1,GOA
BS8,"EXT""E BURGER","EXT""E BURGER",6,209.000,PC,12.000,14.460,9.330000,1,GOA
BS9,EXTRME SUP``E BURGER,XTRM SUP,6,298.000,PC,12.000,17.040,9.330000,1,GOA
BS10,EXTRME PLATTER,EXTRME PLATTER,6,264.000,PC,12.000,17.890,9.330000,1,GOA
BS11,TOWER BURGER,TOWER BURGER,6,467.000,PC,12.000,30.000,9.330000,1,GOA
BEV1,PEPSI,PEPSI,7,99.000,PC,12.000,5.040,9.330000,1,GOA
BEV3,ROOT BEER,ROOTBEER,7,98.000,PC,12.000,6.320,9.333333,1,GOA
