PAY_CODE,PAY_DESC,METHOD,MAX_AMOUNT,POS,BRANCH
00001,CASH,0,0.000,1,GOA
00002,CREDIT CARD,1,0.000,1,GOA
1,CHARGE,6,0.000,1,GOA
2,REPRESENTATION,6,0.000,1,GOA
3,GIFT CHECK,2,0.000,1,GOA
4,BIGGS MONEY,2,0.000,1,GOA
6,VOUCHER 300,2,300.000,1,GOA
5,GRAD 50,2,50.000,1,GOA
7,GRAD 100,2,100.000,1,GOA
8,BOUNCE BACK GC,2,50.000,1,GOA
9,MIB CASH,0,0.000,1,GOA
10,MIB PAYMAYA,0,0.000,1,GOA
11,BIGGS LOYALTY,6,0.000,1,GOA
13,CARAVAN VOUCHER P50,2,50.000,1,GOA
14,CHARGE TO LSM,6,0.000,1,GOA
15,P50 BUCAL VOUCHER,2,50.000,1,GOA
16,P50 BUCAL Voucher,2,50.000,1,GOA
17,INCENTIVES,6,0.000,1,GOA
18,CHARGE TO MKTG,0,0.000,1,GOA
19,ON THE HOUSE,6,0.000,1,GOA
20,200 GC,0,0.000,1,GOA
21,GC 100,2,100.000,1,GOA
22,CHARGE TO FRANCHISE,6,0.000,1,GOA
23,BULK ORDEWR CHARGING,6,0.000,1,GOA
