CODE,DESC,TYPE,VALUE,POS,BRANCH
1,SNR CTZN 20%,SUBTOTAL PERCENT,20.000,1,IRIGA
2,50% UPSELLING,SUBTOTAL PERCENT,50.000,1,IRIGA
3,20% PWD,SUBTOTAL PERCENT,20.000,1,IRIGA
4,PRESTIGE,SUBTOTAL PERCENT,8.000,1,IRIGA
5,PETRON TIE-UP,SUBTOTAL PERCENT,5.000,1,IRIGA
6,REG.EMPLOYEE,SUBTOTAL PERCENT,10.000,1,IRIGA
7,DISC 5%,SUBTOTAL PERCENT,5.000,1,IRIGA
8,PRESTIGE DELIVERY,SUBTOTAL PERCENT,5.000,1,IRIGA
9, DISC 2%,SUBTOTAL PERCENT,2.000,1,IRIGA
10,PAGIBIG,SUBTOTAL PERCENT,5.000,1,IRIGA
11,COMPANY DISC.,SUBTOTAL PERCENT,8.000,1,IRIGA
12,GLOBE TIE UP,SUBTOTAL PERCENT,9.170,1,IRIGA
13,CASH BACK,SUBTOTAL AMOUNT,38.000,1,IRIGA
14,PROMO DISCOUNT,SUBTOTAL PERCENT,8.000,1,IRIGA
15,BAH DISC. @10%,SUBTOTAL PERCENT,10.000,1,IRIGA
18,50% DISCOUNT,SUBTOTAL PERCENT,50.000,1,IRIGA
19,DELIVERY 30% OFF,SUBTOTAL PERCENT,30.000,1,IRIGA
20,OFW8%,SUBTOTAL PERCENT,0.000,1,IRIGA
21,10% DISCOUNT,SUBTOTAL PERCENT,10.000,1,IRIGA
24,CHICKEN @ 50%,SUBTOTAL PERCENT,50.000,1,IRIGA
25,BIGGS LOYALTY,SUBTOTAL PERCENT,20.000,1,IRIGA
26,MAKE IT BIGGS 20%,SUBTOTAL PERCENT,20.000,1,IRIGA
27,10.10 DISCOUNT,SUBTOTAL PERCENT,10.000,1,IRIGA
28,P55 OFF,SUBTOTAL AMOUNT,55.000,1,IRIGA
29,MOMS BIGG DAY,SUBTOTAL PERCENT,20.000,1,IRIGA
30,CEO 20% DISC,SUBTOTAL PERCENT,20.000,1,IRIGA
31,COO 20% DISC,SUBTOTAL PERCENT,20.000,1,IRIGA
32,50% TEXMEX EMP DISC,SUBTOTAL AMOUNT,224.000,1,IRIGA
33,10% TRAVEL DISC,ITEM AMOUNT,10.000,1,IRIGA
34,8% PICHE BICOL,SUBTOTAL PERCENT,8.000,1,IRIGA
35,8% HABAGAT CS EAGLES,SUBTOTAL PERCENT,8.000,1,IRIGA
36,8% ROTARY CLUB NAGA,SUBTOTAL PERCENT,8.000,1,IRIGA
37,8% MAHARLIKA EAGLES,SUBTOTAL PERCENT,8.000,1,IRIGA
38,MHRLK EAGLES 1000MAX,SUBTOTAL AMOUNT,1000.000,1,IRIGA
39,PICHE BICOL 1000MAX,SUBTOTAL AMOUNT,1000.000,1,IRIGA
40,ROTARY NAGA 1000MAX,SUBTOTAL AMOUNT,1000.000,1,IRIGA
41,HBGT EAGLES 1000MAX,SUBTOTAL AMOUNT,1000.000,1,IRIGA
42,8% PICE DISC,SUBTOTAL PERCENT,8.000,1,IRIGA
43,8% UNITED ARCHI DISC,SUBTOTAL PERCENT,8.000,1,IRIGA
44,PICE 1000 MAX DISC,SUBTOTAL AMOUNT,1000.000,1,IRIGA
45,UN ARCH 1000MAX DISC,SUBTOTAL AMOUNT,1000.000,1,IRIGA
46,8% ROTARY OF IRIGA,SUBTOTAL PERCENT,8.000,1,IRIGA
47,OFW PC 1000MAX,SUBTOTAL AMOUNT,1000.000,1,IRIGA
48,8% REBAP DISCOUNT,SUBTOTAL PERCENT,8.000,1,IRIGA
