DEP_CODE,DEP_DESC,POS,BRANCH
1,CHICKEN MEALS,1,IRIGA
2,CLASSIC MEALS,1,IRIGA
3,BREAKFAST,1,IRIGA
4,PASTA DISHES,1,IRIGA
5,SHAKES,1,IRIGA
6,BURGERS AND SANDWICHES,1,IRIGA
7,BEVERAGES,1,IRIGA
8,EXTRAS,1,IRIGA
9,SALAD DELIGHTS,1,IRIGA
10,SIDINGS,1,IRIGA
11,SOUP,1,IRIGA
12,CAKES,1,IRIGA
13,NESPRESSO,1,IRIGA
14,KICKERS AND DIPS,1,IRIGA
15,FREE,1,IRIGA
16,REPRESENTATION,1,IRIGA
17,PRMM,1,IRIGA
18,FOOD PANDA,1,IRIGA
19,UPGRADES UPSELLING,1,IRIGA
20,RND,1,IRIGA
21,PRESTIGE CARD FREEBIES,1,IRIGA
22,BIGGS LOYALTY,1,IRIGA
23,KIDS POWER MEALS,1,IRIGA
24,KIDS EAT FREE,1,IRIGA
25,HOLIDAY PARTY PACKS,1,IRIGA
26,PARTY PACKS ADD-ONS,1,IRIGA
27,BIGGS CLASSIC COMBO,1,IRIGA
29,EATS FOR MEETS,1,IRIGA
30,MODIFIER,1,IRIGA
31,FRIES GOURMET,1,IRIGA
32,MARKETING PROMO,1,IRIGA
33,KIDS PARTY PACKS,1,IRIGA
34,BDS,1,IRIGA
35,HOMETOWN HITS,1,IRIGA
36,GO BIGG,1,IRIGA
37,ADD ON,1,IRIGA
38,BEEF BUNDLES,1,IRIGA
39,VALENTINES 2019,1,IRIGA
40,BULK ORDERS,1,IRIGA
41,SIZZLERS,1,IRIGA
28,HOLIDAY FEAST,1,IRIGA
42,HOME CELEBRATION,1,IRIGA
43,SNACK COMBO MEALS,1,IRIGA
44,RICE BOWL,1,IRIGA
45,MOTHERS DAY PROMO,1,IRIGA
46,BIGGS@HOME PRODUCTS,1,IRIGA
47,K-DOG,1,IRIGA
48,PESO DEALS,1,IRIGA
49,PREMIUM ITEMS,1,IRIGA
50,BIGGS LOYALTY 2,1,IRIGA
51,FUNCTION,1,IRIGA
52,FP COFFEE,1,IRIGA
53,BIGGS LOYALTY 3,1,IRIGA
54,RSD PROMO,1,IRIGA
55,MARKETING PROMO 2,1,IRIGA
