INCODE,ITE_DESC,ECR_DESC,DEP_CODE,UNT_PRIC,UNIT,TAXPRCNT1,TAXAMOUNT1,TAX1DIV,POS,BRANCH
CHM1,BIGGS FRIED CHICKEN 2PC,BIGGS CHKN 2PC,1,278.000,PC,12.000,19.180,9.330000,1,IRIGA
CHM2,BIGG DEAL,BIGG DEAL,1,342.000,PC,12.000,19.500,9.330000,1,IRIGA
CHM3,CHICKEN-KEBAB MEAL,CHKN-KEBAB,1,298.000,PC,12.000,17.360,9.330000,1,IRIGA
CHM4,BIGGS FRIED CHICKEN 1PC,BIGGS CHKN 1PC,1,149.000,PC,12.000,10.610,9.330000,1,IRIGA
CHM5,BIGGS CAJUN CHICKEN 2PC,BIGGSCAJUN 2PC,1,328.000,PC,12.000,21.320,9.330000,1,IRIGA
CHM6,BIGGS CAJUN CHICKEN 1PC,BIGGSCAJUN 1PC,1,174.000,PC,12.000,12.750,9.330000,1,IRIGA
CHM7,BT-MACARONI,BT-MACARONI,1,229.000,PC,12.000,15.320,9.333333,1,IRIGA
CHM8,BT-POTATO,BT-POTATO,1,149.000,PC,12.000,15.960,9.333333,1,IRIGA
CHM9,DOUBLE TREAT,DOUBLE TREAT,1,238.000,PC,12.000,14.890,9.333333,1,IRIGA
CHM10,CARBO W CHICKEN,CARBO W CHKN,1,263.000,PC,12.000,15.540,9.330000,1,IRIGA
CHM11,SPAGHETTI PLATTER,SPAG PLATTER,1,267.000,PC,12.000,17.680,9.330000,1,IRIGA
CHM12,CARBO PLATTER,CARBO PLATTER,1,298.000,PC,12.000,19.820,9.330000,1,IRIGA
CHM13,6PCS CHICKEN IN A BOX,6PCS CHX BOX,1,739.000,PC,12.000,54.540,9.330000,1,IRIGA
CHM14,8PCS CHICKEN IN A BOX,8PCS-CHX BOX,1,984.000,PC,12.000,70.610,9.330000,1,IRIGA
CHM15,BUFFALO BARBEQUE,BUFFALO BBQ,1,149.000,PC,12.000,27.750,9.330000,1,IRIGA
CHM16,CHICKEN GARLIC PARMESAN,GRLIC PARMESAN,1,169.000,PC,12.000,12.750,9.330000,1,IRIGA
CHM17,CAJUN & HAVANA,CAJUN HAVANA,1,205.000,PC,12.000,12.750,9.330000,1,IRIGA
CHM18,1PC GARLIC PARMESAN,1PC GARLIC PAR,1,119.000,PC,12.000,12.750,9.333333,1,IRIGA
CHM19,HOT HAVANA CHICKEN,HOT HAVANA,1,139.000,PC,12.000,21.320,9.330000,1,IRIGA
CHM20,2PCS FLAMMING BBQ,2PCS FLAMMING,1,199.000,PC,12.000,21.320,9.333333,1,IRIGA
CHM21,2PCS GARLIC PARMESAN,2PCS GARLIC PA,1,199.000,PC,12.000,21.320,9.333333,1,IRIGA
