PAY_CODE,PAY_DESC,METHOD,MAX_AMOUNT,POS,BRANCH
00001,CASH,0,0.000,1,IRIGA
14,CHARGE,0,0.000,1,IRIGA
53,GC 100,2,100.000,1,IRIGA
43,REPRESENTATION,0,0.000,1,IRIGA
32,DEBIT,6,0.000,1,IRIGA
1,CREDIT,6,0.000,1,IRIGA
76,GC 50,2,50.000,1,IRIGA
2,BM100,2,100.000,1,IRIGA
3,BM50,2,50.000,1,IRIGA
4,BIGGS MONEY,2,50.000,1,IRIGA
5,GC AMOUNT,2,10000.000,1,IRIGA
6,PANDALIVERY,0,0.000,1,IRIGA
7,FOOD PANDA,6,0.000,1,IRIGA
8,BOUNC GC P50,2,50.000,1,IRIGA
11,BIGGS LOYALTY,6,0.000,1,IRIGA
9,CARAVAN VOUCHER 50,2,50.000,1,IRIGA
10,CHARGE TO LSM,6,0.000,1,IRIGA
12,P50 BUCAL Voucher,2,50.000,1,IRIGA
13,INCENTIVES,6,0.000,1,IRIGA
15,CHARGE TO MKTG,0,0.000,1,IRIGA
16,CHARGE TO LSM C,0,0.000,1,IRIGA
17,ON THE HOUSE,6,0.000,1,IRIGA
19,200 GC,0,0.000,1,IRIGA
20,FRANCHISE CHARGING,6,0.000,1,IRIGA
