CODE,DESC,TYPE,VALUE,POS,BRANCH
1,SNR CTZN 20%,SUBTOTAL PERCENT,20.000,1,MAGS
2,20% PWD ITEM DISC,ITEM PERCENT,20.000,1,MAGS
3,REG EMP 20% DISCOUNT,SUBTOTAL PERCENT,20.000,1,MAGS
4,50ITEM DISC,ITEM PERCENT,50.000,1,MAGS
5,PRESTIGE CARD 8%,SUBTOTAL PERCENT,8.000,1,MAGS
9,5% DISCOUNT,SUBTOTAL PERCENT,5.000,1,MAGS
14,PWD 20% DISCOUNT,SUBTOTAL PERCENT,20.000,1,MAGS
12,8% ST JOSEPH DINE TA,SUBTOTAL PERCENT,8.000,1,MAGS
19,OFW PWRCLUB CARD 8%,SUBTOTAL PERCENT,8.000,1,MAGS
29,CHICKEN @ 50%,SUBTOTAL PERCENT,50.000,1,MAGS
31,MAKE IT BIGGS,SUBTOTAL PERCENT,20.000,1,MAGS
32,BLA 100 OFF,SUBTOTAL AMOUNT,100.000,1,MAGS
33,BLA 20% DISCOUNT,SUBTOTAL PERCENT,20.000,1,MAGS
34,10% BLA SILOG DISC,SUBTOTAL PERCENT,10.000,1,MAGS
35,10% BLA HAPPY HOUR,SUBTOTAL PERCENT,10.000,1,MAGS
36,10% BLA PARTY DISC,SUBTOTAL PERCENT,10.000,1,MAGS
37,10% BLA BABYBACK,SUBTOTAL PERCENT,10.000,1,MAGS
39,BLA 20% OFF PASTA,SUBTOTAL PERCENT,20.000,1,MAGS
40,BLA P50 OFF EXT BURG,SUBTOTAL AMOUNT,50.000,1,MAGS
41,P55 OFF,SUBTOTAL AMOUNT,55.000,1,MAGS
42,MOMS BIGG DAY,SUBTOTAL PERCENT,20.000,1,MAGS
43,CEO 20% DISC,SUBTOTAL PERCENT,20.000,1,MAGS
44,COO 20% DISC,SUBTOTAL PERCENT,20.000,1,MAGS
45,50% TEXMEX EMP DISC,SUBTOTAL AMOUNT,224.000,1,MAGS
46,10% TRAVEL DISC,SUBTOTAL PERCENT,10.000,1,MAGS
47,8% ROTARY CLUB NAGA,SUBTOTAL PERCENT,8.000,1,MAGS
