DEP_CODE,DEP_DESC,POS,BRANCH
1,CHICKEN MEALS,1,MAGS
2,CLASSIC MEALS,1,MAGS
3,BREAKFAST,1,MAGS
4,PASTA DISHES,1,MAGS
5,SHAKES,1,MAGS
6,BURGERS AND SANDWICHES,1,MAGS
7,BEVERAGES,1,MAGS
8,EXTRAS,1,MAGS
9,SALAD DELIGHTS,1,MAGS
10,SIDINGS,1,MAGS
11,SOUP,1,MAGS
12,CAKES,1,MAGS
13,NESPRESSO,1,MAGS
15,FREE,1,MAGS
16,REPRESENTATION,1,MAGS
17,PREMIUM ITEMS,1,MAGS
19,UPGRADES UPSELLING,1,MAGS
20,RND,1,MAGS
21,PRESTIGE CARD FREEBIES,1,MAGS
22,NANAYS FAVORITE,1,MAGS
24,KIDS EAT FREE,1,MAGS
26,PARTY PACKS ADD-ONS,1,MAGS
29,EATS FOR MEETS,1,MAGS
30,MODIFIER,1,MAGS
31,FRIES GOURMET,1,MAGS
32,MARKETING PROMO,1,MAGS
33,KIDS PARTY PACKS,1,MAGS
35,BIGGS AT HOME,1,MAGS
36,HAPPY ENDING,1,MAGS
37,ADD ON,1,MAGS
40,BULK ORDERS,1,MAGS
41,DELIVERY,1,MAGS
42,TREATS FOR MOM,1,MAGS
43,BEEF BUNDLES,1,MAGS
44,BIGGS LOYALTY 2,1,MAGS
45,HOLIDAY FEAST,1,MAGS
25,HOLIDAY PARTY PACKS,1,MAGS
47,SNACKS,1,MAGS
48,SALAD DRESSINGS,1,MAGS
50,HEALTHY RICE BOWLS,1,MAGS
51,MANILA MENU,1,MAGS
52,DOUBLE TREAT PROMO,1,MAGS
53,BDS,1,MAGS
54,OLD TEST MARKET,1,MAGS
55,KDOG,1,MAGS
56,BAKUNADOR,1,MAGS
18,SIZZLERS,1,MAGS
23,BIGGS LOYALTY,1,MAGS
27,PURGED PRODUCTS,1,MAGS
38,GO BIGG,1,MAGS
39,FUNCTION,1,MAGS
46,BIGGS LOYALTY 3,1,MAGS
49,FP COFFEE,1,MAGS
57,MERCH ITEMS,1,MAGS
14,RSD PROMOS,1,MAGS
28,TEST MARKET,1,MAGS
