PAY_CODE,PAY_DESC,METHOD,MAX_AMOUNT,POS,BRANCH
00001,CASH,0,0.000,1,MAGS
00002,CREDIT CARD,1,0.000,1,MAGS
1,CHARGE,6,0.000,1,MAGS
2,REPRESENTATION,6,0.000,1,MAGS
3,GC P50,2,50.000,1,MAGS
4,GC P100,2,100.000,1,MAGS
5,GRAD P50,2,50.000,1,MAGS
6,GRAD 100 GC,2,100.000,1,MAGS
7,BM P50,2,50.000,1,MAGS
8,BM,6,0.000,1,MAGS
9,DEBIT CARD,1,0.000,1,MAGS
10,SHOCKTOBER 300,2,300.000,1,MAGS
11,FOOD PANDA,6,0.000,1,MAGS
12,PANDA DELIVERY,0,0.000,1,MAGS
13,GRAB FOOD,6,0.000,1,MAGS
14,BOUNCE GC P50,2,50.000,1,MAGS
15,PAYMAYA,6,0.000,1,MAGS
16,MIB CASH,0,0.000,1,MAGS
17,MIB PAYMAYA,0,0.000,1,MAGS
18,BIGGS LOYALTY,6,0.000,1,MAGS
19,CARAVAN VOUCHER 50,2,50.000,1,MAGS
20,CHARGE TO LSM,6,0.000,1,MAGS
21,P50 BUCAL VOUCHER,2,50.000,1,MAGS
22,ON THE HOUSE,6,0.000,1,MAGS
23,BULK ORDER CHARGING,6,0.000,1,MAGS
24,GC P200,2,200.000,1,MAGS
