CODE,DESC,TYPE,VALUE,POS,BRANCH
1,SNR CTZN 20%,SUBTOTAL PERCENT,20.000,1,OLA
2,SNR CTZN P80,SUBTOTAL AMOUNT,80.000,1,OLA
3,REG EMP 20% DISCOUNT,SUBTOTAL PERCENT,20.000,1,OLA
4,REG EMP P200 DISCNT,SUBTOTAL AMOUNT,200.000,1,OLA
5,PRESTIGE CARD 8%,SUBTOTAL PERCENT,8.000,1,OLA
6,PRESTIGE CARD P80,SUBTOTAL AMOUNT,80.000,1,OLA
7,PRESTIGE TAKEOUT P50,SUBTOTAL AMOUNT,50.000,1,OLA
9,5% DISCOUNT,SUBTOTAL PERCENT,5.000,1,OLA
10,BIDA MOM 5%,SUBTOTAL PERCENT,5.000,1,OLA
11,5% TIE UP,SUBTOTAL PERCENT,5.000,1,OLA
14,PWD 20% DISCOUNT,SUBTOTAL PERCENT,20.000,1,OLA
15,PRESTIGE BDS 5%,SUBTOTAL PERCENT,5.000,1,OLA
17,SUTHERLAND 5%,SUBTOTAL PERCENT,5.000,1,OLA
8,GLOBE 9.17 DISCOUNT,SUBTOTAL PERCENT,9.170,1,OLA
12,MVP P200 DISCOUNT,SUBTOTAL AMOUNT,200.000,1,OLA
13,OFW POWER CLUB 8%,SUBTOTAL PERCENT,8.000,1,OLA
16,10% DISCOUNT,SUBTOTAL PERCENT,10.000,1,OLA
18,DISCOUN 6PCS CHCKEN,SUBTOTAL AMOUNT,54.190,1,OLA
19,DISCOUNT 8PCS CHCKEN,SUBTOTAL AMOUNT,51.360,1,OLA
20,BAKUNA DISCOUNT 20%,SUBTOTAL PERCENT,20.000,1,OLA
21,BAKUNA DISCOUNT30%,SUBTOTAL PERCENT,30.000,1,OLA
22,8.8 BIGG DEALS,SUBTOTAL AMOUNT,88.000,1,OLA
23,MAKE IT BIIGGS,SUBTOTAL PERCENT,20.000,1,OLA
24,BLA 20% DISCOUNT,SUBTOTAL PERCENT,0.000,1,OLA
25,10% BLA SILOG DISC,SUBTOTAL PERCENT,10.000,1,OLA
