DEP_CODE,DEP_DESC,POS,BRANCH
1,CHICKEN MEALS,1,OLA
2,CLASSIC MEALS,1,OLA
3,BREAKFAST,1,OLA
4,PASTA DISHES,1,OLA
5,SHAKES,1,OLA
6,BURGERS AND SANDWICHES,1,OLA
7,BEVERAGES,1,OLA
8,EXTRAS,1,OLA
9,SALAD DELIGHTS,1,OLA
10,SIDINGS,1,OLA
11,SOUP,1,OLA
12,CAKES,1,OLA
13,NESPRESSO,1,OLA
14,KICKERS AND DIPS,1,OLA
15,FREE,1,OLA
16,REPRESENTATION,1,OLA
17,PREMIUM ITEMS,1,OLA
19,UPGRADES UPSELLING,1,OLA
20,RND,1,OLA
24,KIDS EAT FREE,1,OLA
25,PARTY PACKS,1,OLA
26,PARTY PACKS ADD-ONS,1,OLA
27,BIGGS CLASSIC COMBO,1,OLA
28,BRTC W 10% OFF,1,OLA
29,MARKETING PROMOS,1,OLA
30,MOM KNOWS BEST,1,OLA
31,EAT FOR MEETS,1,OLA
32,FUNCTION,1,OLA
33,DIBS FOR RIBS,1,OLA
34,REPRESENTATION 2,1,OLA
35,ADD ONS,1,OLA
37,SUMMER COOLERS,1,OLA
38,SIZZLERS,1,OLA
40,BIGGS AT HOME,1,OLA
41,BEEF BUNDLES,1,OLA
43,NANAYS FAVORITE,1,OLA
44,BDS,1,OLA
45,HEALTHY RICE BOWLS,1,OLA
46,HOLIDAY PARTY PACKS,1,OLA
48,NANAYS FAVORATE,1,OLA
49,CHICKEN HAM,1,OLA
50,TEST MARKET,1,OLA
51,KDOG,1,OLA
52,FOOD PANDA,1,OLA
53,HOME CELEBRATION,1,OLA
54,BULK ORDERS,1,OLA
55,BIGGS LOYALTY,1,OLA
57,GO BIGG,1,OLA
58,FP COFFEE,1,OLA
59,BIGGS MERCH ITEMS,1,OLA
60,RSD PROMOS,1,OLA
61,SNACKS,1,OLA
