PAY_CODE,PAY_DESC,METHOD,MAX_AMOUNT,POS,BRANCH
00001,CASH,0,0.000,1,OLA
00002,DEBIT   CREDIT,6,0.000,1,OLA
1,CHARGE,6,0.000,1,OLA
2,REPRESENTATION,6,0.000,1,OLA
3,GC P50,2,50.000,1,OLA
4,GC P100,2,100.000,1,OLA
9,JCI 150,2,150.000,1,OLA
11,GRAB FOOD,6,0.000,1,OLA
12,GCASH,3,0.000,1,OLA
13,BDO,1,0.000,1,OLA
14,BANK TRANSFER,6,0.000,1,OLA
15,FAVOR PLEASE,0,0.000,1,OLA
17,PANDALIVERY,6,0.000,1,OLA
20,PAYMAYA,6,0.000,1,OLA
21,BOUNC GC P50,2,50.000,1,OLA
23,MIB PAYMAYA,0,0.000,1,OLA
24,MIB CASH,0,0.000,1,OLA
25,BIGGS LOYALTY,6,0.000,1,OLA
18,FOOD PANDA,6,0.000,1,OLA
26,CARAVAN VOUCHER 50,2,50.000,1,OLA
27,CHARGE TO LSM,6,0.000,1,OLA
28,P50 BUCAL Voucher,2,50.000,1,OLA
29,INCENTIVES,6,0.000,1,OLA
30,GRAD 100 GC,2,100.000,1,OLA
31,ON THE HOUSE,6,0.000,1,OLA
32,200 GC,0,0.000,1,OLA
33,FRANCHISE CHARGING,6,0.000,1,OLA
34,BULK ORDER CHARGING,6,0.000,1,OLA
