CODE,DESC,TYPE,VALUE,POS,BRANCH
1,SR. CTZN 20%,SUBTOTAL PERCENT,20.000,1,PACML
2,SNR CTZN P80,SUBTOTAL AMOUNT,80.000,1,PACML
4,PRESTIGE 8%,SUBTOTAL PERCENT,8.000,1,PACML
3,REGULAR EMP 20%,SUBTOTAL PERCENT,20.000,1,PACML
6,R. EMP P200,SUBTOTAL AMOUNT,200.000,1,PACML
9,PERSON W DISABLTY20%,SUBTOTAL PERCENT,20.000,1,PACML
15,PRSTGE DELIVERY,SUBTOTAL PERCENT,5.000,1,PACML
19,5% TIE UP,SUBTOTAL PERCENT,5.000,1,PACML
24,OFW POWER CLUB 8%,SUBTOTAL PERCENT,8.000,1,PACML
32,BIGG BAKUNA 20%,SUBTOTAL PERCENT,20.000,1,PACML
39,MAKE IT BIGGS,SUBTOTAL PERCENT,20.000,1,PACML
41,BLA 20% DISCOUNT,SUBTOTAL PERCENT,0.000,1,PACML
42,20% BLA,SUBTOTAL PERCENT,20.000,1,PACML
43,10% BLA SILOG DISC,SUBTOTAL PERCENT,10.000,1,PACML
44,10% DISCOUNT,SUBTOTAL PERCENT,10.000,1,PACML
45,BLA 10% PARTY DISC,SUBTOTAL PERCENT,10.000,1,PACML
46,10% BLA BBR,SUBTOTAL PERCENT,10.000,1,PACML
47,BLA 100 OFF,SUBTOTAL AMOUNT,100.000,1,PACML
48,BLA 20% OFF PASTA,SUBTOTAL PERCENT,20.000,1,PACML
49,BLA P50 OFF EXT BURG,SUBTOTAL AMOUNT,50.000,1,PACML
50,P55 OFF,SUBTOTAL AMOUNT,55.000,1,PACML
51,MOMS BIGG DAY,SUBTOTAL PERCENT,20.000,1,PACML
52,CEO 20% DISC,SUBTOTAL PERCENT,20.000,1,PACML
53,COO 20% DISC,SUBTOTAL PERCENT,20.000,1,PACML
54,50% TEXMEX EMP DISC,SUBTOTAL AMOUNT,224.000,1,PACML
55,10% TRAVEL DISC,SUBTOTAL PERCENT,10.000,1,PACML
56,8% ROTARY CLUB NAGA,SUBTOTAL PERCENT,8.000,1,PACML
57,8% PICHE BICOL,SUBTOTAL PERCENT,8.000,1,PACML
58,8% HABAGAT CS EAGLES,SUBTOTAL PERCENT,8.000,1,PACML
59,8% MAHARLIKA EAGLES,SUBTOTAL PERCENT,8.000,1,PACML
60,MHRLK EAGLES 1000MAX,SUBTOTAL AMOUNT,1000.000,1,PACML
61,PICHE BICOL 1000MAX,SUBTOTAL AMOUNT,1000.000,1,PACML
62,ROTARY NAGA 1000MAX,SUBTOTAL AMOUNT,1000.000,1,PACML
63,HBGT EAGLES 1000MAX,SUBTOTAL AMOUNT,1000.000,1,PACML
64,8% PICE CAMSUR,SUBTOTAL PERCENT,8.000,1,PACML
65,8% UNITED ARCHI DISC,SUBTOTAL PERCENT,8.000,1,PACML
66,PICE CS 1000 MAX DIS,SUBTOTAL AMOUNT,1000.000,1,PACML
67,UN ARCH 1000 MAX DIS,SUBTOTAL AMOUNT,1000.000,1,PACML
68,8% DISCOUNT OF IRIGA,SUBTOTAL PERCENT,8.000,1,PACML
69,8% REBAP DISCOUNT,SUBTOTAL PERCENT,8.000,1,PACML
70,1000MAX REBAP DISC,SUBTOTAL AMOUNT,1000.000,1,PACML
71,8& EMVP CAMSUR,SUBTOTAL PERCENT,8.000,1,PACML
72,8% CSNHS ALUMNI,SUBTOTAL PERCENT,8.000,1,PACML
73,1000MAX ENVP CAMSUR,SUBTOTAL AMOUNT,1000.000,1,PACML
74,1000MAX CSNHS ALUMNI,SUBTOTAL AMOUNT,1000.000,1,PACML
75,8% NAGA PICE,SUBTOTAL PERCENT,8.000,1,PACML
76,8% IIEE CAMSUR,SUBTOTAL PERCENT,8.000,1,PACML
77,NAGA PICE 1000MAX DI,SUBTOTAL AMOUNT,1000.000,1,PACML
78,IIEE 1000MAX DISC,SUBTOTAL AMOUNT,1000.000,1,PACML
79,20% PWD,SUBTOTAL PERCENT,20.000,1,PACML
80,5% SOLO PARENT,SUBTOTAL PERCENT,5.000,1,PACML
81,20% NATL ATHLETE,SUBTOTAL PERCENT,20.000,1,PACML
82,PRIDE P20OFF,ITEM AMOUNT,20.000,1,PACML
83,8% IMAP R5,SUBTOTAL PERCENT,8.000,1,PACML
84,8% STJOSEPH,SUBTOTAL PERCENT,8.000,1,PACML
85,1000MAX IMAP,SUBTOTAL AMOUNT,1000.000,1,PACML
86,1000MAX STJOSEPH,SUBTOTAL AMOUNT,1000.000,1,PACML
87,8% NATL PH EAGLES,SUBTOTAL PERCENT,8.000,1,PACML
88,1000MAX NATLEAGLES,SUBTOTAL AMOUNT,1000.000,1,PACML
89,1000MAX PAMET CS,SUBTOTAL AMOUNT,1000.000,1,PACML
90,8% PAMET CAMSUR,SUBTOTAL PERCENT,8.000,1,PACML
91,8% ADNUGAA,SUBTOTAL PERCENT,8.000,1,PACML
92,1000MAX ADNUGAA,SUBTOTAL AMOUNT,1000.000,1,PACML
93,8% RAYA CRS,SUBTOTAL PERCENT,8.000,1,PACML
94,8% 3RDY CRS,SUBTOTAL PERCENT,8.000,1,PACML
95,8% PILI TTSC,SUBTOTAL PERCENT,8.000,1,PACML
96,8% JDP RENTAL,SUBTOTAL PERCENT,8.000,1,PACML
97,8% SHUKRAN TRANS,SUBTOTAL PERCENT,8.000,1,PACML
98,8% NATL REBAP,SUBTOTAL PERCENT,8.000,1,PACML
99,1000MAX NATREBAP,SUBTOTAL AMOUNT,1000.000,1,PACML
100,8% DEPED NEU RS,SUBTOTAL PERCENT,8.000,1,PACML
101,1000MAX DEPED NEU RS,SUBTOTAL AMOUNT,1000.000,1,PACML
102,8% NAPSAA,SUBTOTAL PERCENT,8.000,1,PACML
103,1000MAX NAPSAA,SUBTOTAL AMOUNT,1000.000,1,PACML
104,8% CEBU PACIFIC DISC,SUBTOTAL PERCENT,8.000,1,PACML
105,8% 3DEKALIBRE DISC,SUBTOTAL PERCENT,8.000,1,PACML
106,8% NCPO & NUP DISC,SUBTOTAL PERCENT,8.000,1,PACML
107,8% RCBC DISC,SUBTOTAL PERCENT,8.000,1,PACML
108,8% HRMS DISC,SUBTOTAL PERCENT,8.000,1,PACML
109,8% CACERES CLERGY DI,SUBTOTAL PERCENT,8.000,1,PACML
110,1000MAX CEBU PAC DIS,SUBTOTAL AMOUNT,1000.000,1,PACML
111,1000MAX 3DEKALIBRE D,SUBTOTAL AMOUNT,1000.000,1,PACML
112,1000MAX NCPO & NUP D,SUBTOTAL AMOUNT,1000.000,1,PACML
113,1000MAX RCBC,SUBTOTAL AMOUNT,1000.000,1,PACML
114,1000MAX HRMS DISC,SUBTOTAL AMOUNT,1000.000,1,PACML
115,1000MAX CACERES CLER,SUBTOTAL AMOUNT,1000.000,1,PACML
116,8% Cam Norte Police,SUBTOTAL PERCENT,8.000,1,PACML
117,8% Cam Norte Capitol,SUBTOTAL PERCENT,8.000,1,PACML
118,8% LGU Talisay,SUBTOTAL PERCENT,8.000,1,PACML
119,1000MAX CNPPO,SUBTOTAL AMOUNT,1000.000,1,PACML
120,1000MAX CNC,SUBTOTAL AMOUNT,1000.000,1,PACML
121,1000MAX LGU Talisay,SUBTOTAL AMOUNT,1000.000,1,PACML
122,20% OFF OTS EMP,SUBTOTAL PERCENT,20.000,1,PACML
123,8% BICOL ENT,SUBTOTAL PERCENT,8.000,1,PACML
124,8% CNSC,SUBTOTAL PERCENT,8.000,1,PACML
125,8% DEPED BICOL,SUBTOTAL PERCENT,8.000,1,PACML
126,8% PCG BICOL,SUBTOTAL PERCENT,8.000,1,PACML
127,1000MAX PCG BICOL,SUBTOTAL AMOUNT,1000.000,1,PACML
128,1000MAX DEPED BICOL,SUBTOTAL AMOUNT,1000.000,1,PACML
129,1000MAX CNSC,SUBTOTAL AMOUNT,1000.000,1,PACML
130,1000MAX BICOL ENT,SUBTOTAL AMOUNT,1000.000,1,PACML
131,FREE PJ LSM,ITEM PERCENT,100.000,1,PACML
DC15,P84 OFF SPAG PJ,SUBTOTAL AMOUNT,84.000,1,PACML
DC16,P79 OFF TUNASND PJ,SUBTOTAL AMOUNT,79.000,1,PACML
DC17,P79 OFF CCB PJ,SUBTOTAL AMOUNT,79.000,1,PACML
DC18,P59 OFF FRIES PJ,SUBTOTAL AMOUNT,59.000,1,PACML
DC13,100% OFF BDAY DISC,SUBTOTAL PERCENT,100.000,1,PACML
DC14,VDAY DISCOUNT,SUBTOTAL PERCENT,100.000,1,PACML
DC26,8% CORP PARTNER DISC,SUBTOTAL PERCENT,8.000,1,PACML
DC27,1000MAX CORPPART DC,SUBTOTAL AMOUNT,1000.000,1,PACML
DC28,5% BULK ORDER DISC,SUBTOTAL PERCENT,5.000,1,PACML
