DEP_CODE,DEP_DESC,POS,BRANCH
01,CHICKEN MEALS,1,PACML
02,CLASSIC MEALS,1,PACML
03,BREAKFAST,1,PACML
04,PASTA DISHES,1,PACML
05,CAKES,1,PACML
06,BURGERS AND SANDWICHES,1,PACML
07,BEVERAGES,1,PACML
08,BIGGS AT HOME,1,PACML
09,EXTRAS,1,PACML
10,SALAD DELIGHTS,1,PACML
12,PARTY PACK ADD ON,1,PACML
14,KICKERS AND DIPS,1,PACML
15,FREE,1,PACML
16,RICE TOPPINGS,1,PACML
17,ICED TEA UPGRADE,1,PACML
19,SOUP,1,PACML
20,PREMIUM ITEMS,1,PACML
21,SHAKES,1,PACML
23,UPGRADE,1,PACML
24,UPSELLING,1,PACML
25,RND,1,PACML
27,HOMETOWN HITS,1,PACML
28,REPRESENTATION,1,PACML
29,MOTHERS DAY PROMO,1,PACML
31,SIZZLERS,1,PACML
32,ADD ONS,1,PACML
35,JUICE DRINK UPGRADE,1,PACML
36,KIDS POWER MEAL,1,PACML
50,MARKETING PROMO,1,PACML
51,KIDS EAT FREE,1,PACML
54,BEEF BUNDLES,1,PACML
56,NESPRESSO,1,PACML
38,MELLOW JELLO,1,PACML
40,BIGGS MERCHANDISE,1,PACML
26,PRESTIGE CARD FREEBIES,1,PACML
30,EATS FOR MEETS,1,PACML
62,KIDS PARTY PACKAGES,1,PACML
66,MEAL PACKAGE,1,PACML
67,4 CHICKEN SQUAD,1,PACML
52,HOLIDAY PARTY PACKS,1,PACML
41,DIBS FOR RIBS,1,PACML
13,SIDERS,1,PACML
43,FAMILY FEAST,1,PACML
68,BIGGS LOYALTY,1,PACML
69,ELECTION MEAL,1,PACML
2,HOLIDAY FEAST,1,PACML
3,DOUBLE TREAT PROMO,1,PACML
70,BIGGS LOYALTY 2,1,PACML
33,FOOD PANDA,1,PACML
34,FOOD PANDA 2,1,PACML
6,PURGED PRODUCTS,1,PACML
7,GO BIGG,1,PACML
8,FUNCTION,1,PACML
9,FP COFFEE,1,PACML
11,RSD PROMOS,1,PACML
18,FOOD PAND 3,1,PACML
22,TEST MARKET,1,PACML
37,PUMPKIN SOUP,1,PACML
39,SNACKS,1,PACML
