INCODE,ITE_DESC,ECR_DESC,DEP_CODE,UNT_PRIC,UNIT,TAXPRCNT1,TAXAMOUNT1,TAX1DIV,POS,BRANCH
CHM1,BIGGS FRIED CHKN 2PC,BIGGS CHKN 2PC,01,278.000,PC,12.000,15.960,9.330000,1,PACML
CHM2,BIGG DEAL,BDEAL,01,342.000,PC,12.000,17.680,9.333333,1,PACML
CHM3,CHKN-KEBAB MEAL,CHKN-KEBAB MEA,01,298.000,PC,12.000,15.210,9.333333,1,PACML
CHM4,BIGGS FRIED CHKN 1PC,BIGGS CHKN 1PC,01,149.000,PC,12.000,9.540,9.330000,1,PACML
CHM5,BIGGS CAJUN CHKN 2PC,BIGGSCAJUN 2PC,01,328.000,PC,12.000,16.820,9.330000,1,PACML
CHM6,BIGGS CAJUN CHKN 1PC,BIGGSCAJUN 1PC,01,174.000,PC,12.000,10.610,9.330000,1,PACML
CHM7,BT-MAC,BT-MAC,01,229.000,PC,12.000,13.390,9.333333,1,PACML
CHM8,BT-POT,BT-POT,01,149.000,PC,12.000,13.820,9.333333,1,PACML
CHM9,DOUBLE TREAT,DT,01,238.000,PC,12.000,12.750,9.333333,1,PACML
CHM10,CARBO W CHKN,CARBO-CHKN,01,263.000,PC,12.000,13.610,9.333333,1,PACML
CHM11,SPAG PLATTER,SPAG PLTR,01,267.000,PC,12.000,13.820,9.333333,1,PACML
CHM12,CARBO PLATTER,CARBO PLAT,01,298.000,PC,12.000,15.750,9.333333,1,PACML
CHM13,CHICKEN N BOX-6,CHKN N BOX-6,01,739.000,PC,12.000,44.460,9.330000,1,PACML
CHM14,CHICKEN N BOX-8,CHKN N BOX-8,01,984.000,PC,12.000,58.390,9.330000,1,PACML
CLM1,CORDON,CORDON,02,333.000,PC,12.000,16.290,9.333333,1,PACML
CLM2,PORK KEBABS,KEBABS,02,333.000,PC,12.000,14.460,9.333333,1,PACML
CLM3,BICOL SPECIAL,BICOL,02,333.000,PC,12.000,14.140,9.333333,1,PACML
CLM4,TIPS W BMP,TIPS W BMP,02,189.000,PC,12.000,15.860,9.333333,1,PACML
CLM5,KSR,KSR,02,433.000,PC,12.000,19.500,9.333333,1,PACML
CLM6,TIPS,TIPS,0,323.000,PC,12.000,13.390,9.333333,1,PACML
CLM8,BABY BACK RIBS,BABY BACK,02,499.000,PC,12.000,21.540,9.333333,1,PACML
CLM9,PORK ROAST,PORK ROAST,02,157.000,PC,12.000,16.820,9.333333,1,PACML
CLM10,FISH CREOLE,FISH CREOLE,02,229.000,PC,12.000,11.790,9.333333,1,PACML
CLM11,TANGUIGUE STEAK,TANGUIGUE,02,364.000,PC,12.000,16.070,9.330000,1,PACML
CLM12,TUNA SALPICAO,TUNA SLPC,02,367.000,PC,12.000,11.790,9.333333,1,PACML
BRK1,AMERICAN SLAM,AMRICAN SLAM,03,297.000,PC,12.000,14.460,9.333333,1,PACML
BRK2,COUNTRY BREAKFAST,COUNTRY B,03,286.000,PC,12.000,13.820,9.333333,1,PACML
BRK4,DNB W EGG,DNB W EGG,6,219.000,PC,12.000,9.540,9.330000,1,PACML
BRK5, FARMERS DELIGHT, FARMERS D,03,99.000,PC,12.000,8.570,9.333333,1,PACML
BRK6,FRANKS N EGG,FRANKS,03,248.000,PC,12.000,10.610,9.333333,1,PACML
BRK7,GRAND SLAM,GRAND SLAM,03,109.000,PC,12.000,9.320,9.333333,1,PACML
BRK8,TOCILOG,TOCILOG,03,259.000,PC,12.000,10.930,9.330000,1,PACML
BRK9,TAPSILOG,TAPSILOG,03,267.000,PC,12.000,10.930,9.333333,1,PACML
CLM13,DNB,DNB,02,362.000,PC,12.000,12.000,9.330000,1,PACML
CLM14,DNB W PNGAT,DNB W PNGAT,02,175.000,PC,12.000,12.320,9.333333,1,PACML
BRK10,GOTO,GOTO,03,99.000,PC,12.000,5.250,9.330000,1,PACML
BRK11,GOTO W EGG,GOTO W EGG,03,119.000,PC,12.000,6.320,9.330000,1,PACML
BRK12,GOTO W TB,GOTO W TB,03,115.000,PC,12.000,9.540,9.330000,1,PACML
BRK13,GOTO W EGG.TB,GOTO W EGG.TB,03,135.000,PC,12.000,10.610,9.333333,1,PACML
PST1,SPAGHETTI,SPAG,04,114.000,PC,12.000,5.570,9.333333,1,PACML
PST2,SPAG W PIZZA BREAD,SPAG  PBRD,04,144.000,PC,12.000,9.320,9.333333,1,PACML
PST3,CARBONARA,CARBO,04,134.000,PC,12.000,8.040,9.333333,1,PACML
PST4,CARBO W PBRD,CARBO  PBRD,04,174.000,PC,12.000,10.390,9.333333,1,PACML
PST5,SHRIMP PASTA,SHRIMP PASTA,04,120.000,PC,12.000,11.790,9.333333,1,PACML
PST6,BAKED MAC-MED,BAKED MAC-MED,04,850.000,PC,12.000,91.070,9.333333,1,PACML
CKS1,KOOKIE MONSTER CAKE,KM CAKE,05,48.000,PC,12.000,5.040,9.330000,1,PACML
CKS2,BLACK FOREST,BLACK FOREST,05,92.000,PC,12.000,8.250,9.333333,1,PACML
CKS4,MARBLE MOIST,MARBLE MOIST,05,75.000,PC,12.000,8.040,9.333333,1,PACML
CKS5,CONCORD CAKE,CONCORD CAKE,05,67.000,PC,12.000,7.180,9.330000,1,PACML
CKS6,MOLTEN LAVA,MOLTEN LAVA,05,75.000,PC,12.000,6.960,9.330000,1,PACML
CKS7,WHOLE KM CAKE,W KM CAKE,05,540.000,PC,12.000,57.860,9.333333,1,PACML
CKS8,WHOLE CARROT CAKE,W CARROT CAKE,05,699.000,PC,12.000,72.320,9.333333,1,PACML
B&S2,TUNA SANDWICH,TUNA SNDWCH,06,119.000,PC,12.000,7.290,9.330000,1,PACML
B&S3,CLASSIC BURGER,CB,06,109.000,PC,12.000,5.250,9.330000,1,PACML
B&S4,CLASSIC CHEESY BURGER,CCB,06,119.000,PC,12.000,6.640,9.330000,1,PACML
B&S5,CHUNKY CHKN,CHUNKY CHKN,06,85.000,PC,12.000,8.040,9.330000,1,PACML
B&S6,PIZZA BREAD,PIZZA BREAD,06,89.000,PC,12.000,4.820,9.330000,1,PACML
B&S7,EXT``E REUBEN,REUBEN,6,299.000,PC,12.000,17.040,9.330000,1,PACML
B&S8,EXT``E BURGER,XTRM BURGER,6,209.000,PC,12.000,10.930,9.330000,1,PACML
B&S9,EXT``E SUP``E BURGER,XTRM SUP``E,06,279.000,PC,12.000,14.140,9.330000,1,PACML
B&S10,EXT``E PLATTER,XTRM PLATTER,06,264.000,PC,12.000,16.290,9.330000,1,PACML
B&S11,MIGHTY HOAGIE,MIGHTY HOAGIE,06,299.000,PC,12.000,32.040,9.330000,1,PACML
B&S12,HOAGIE JR.,HOAGIE JR.,06,148.000,PC,12.000,15.540,9.330000,1,PACML
BEV5,GREEN TEA W JASMINE,GREEN TEA,07,24.000,PC,12.000,3.540,9.330000,1,PACML
BEV7,ENGLISH BREAKFAST TEA,ENGLISH TEA,07,24.000,PC,12.000,4.930,9.330000,1,PACML
BEV14,ICED TEA-REGULAR,R I-TEA,07,69.000,PC,12.000,3.960,9.333333,1,PACML
BEV15,ICED TEA,I-TEA,07,99.000,PC,12.000,5.040,9.330000,1,PACML
BEV16,ICED TEA-XL,XL I-TEA,07,69.000,PC,12.000,6.110,9.333333,1,PACML
BEV17,MINERAL WATER,MINERAL WATER,07,49.000,PC,12.000,3.210,9.333333,1,PACML
BEV19,PJ N CAN,CAN PJ,07,79.000,PC,12.000,4.820,9.333333,1,PACML
BEV20,HOT CHOCOLATE,HOT CHOCO,07,89.000,PC,12.000,5.360,9.330000,1,PACML
BEV21,HOT TEA,HOT TEA,07,24.000,PC,12.000,2.250,9.333333,1,PACML
BEV22,PJ REGULAR,R PJ,07,69.000,PC,12.000,3.960,9.333333,1,PACML
BEV24,BREWED FLOWING,F BREWED,07,55.000,PC,12.000,5.890,9.333333,1,PACML
BEV27,R&B ICED TEA 79,R&B ICED T 79,6,79.000,PC,12.000,4.930,9.330000,1,PACML
XTR1,1PC CHICKEN,1PC CHKN,09,124.000,PC,12.000,8.460,9.333333,1,PACML
XTR2,1PC CAJUN,1PC CAJUN,09,124.000,PC,12.000,9.000,9.333333,1,PACML
XTR3,1PC KEBAB,1PC KEBAB,09,155.000,PC,12.000,6.320,9.333333,1,PACML
XTR4,HOTDOG,HOTDOG,09,109.000,PC,12.000,3.210,9.333333,1,PACML
