PAY_CODE,PAY_DESC,METHOD,MAX_AMOUNT,POS,BRANCH
00001,CASH,0,0.000,1,PACML
00002,CREDIT CARD,1,0.000,1,PACML
1,CHARGE,6,0.000,1,PACML
2,REPRESENTATION,6,0.000,1,PACML
3,GC 50,2,50.000,1,PACML
4,GC 100,2,100.000,1,PACML
5,VOUCHER 300,2,300.000,1,PACML
6,BM1,2,50.000,1,PACML
7,ANCOM,6,0.000,1,PACML
8,GRAD P100,2,100.000,1,PACML
9,GRAD P50,2,50.000,1,PACML
12,JCI 150,2,150.000,1,PACML
13,HAVAIANAS P50,2,50.000,1,PACML
14,BIGGS LOYALTY,6,0.000,1,PACML
15,PAYMAYA,6,0.000,1,PACML
16,DEBIT CARD,1,0.000,1,PACML
17,BOUNCE GC,2,50.000,1,PACML
18,MIB CASH,0,0.000,1,PACML
19,MIB PAYMAYA,0,0.000,1,PACML
20,CARAVAN VOUCHER 50,2,50.000,1,PACML
21,CHARGE TO LSM,6,0.000,1,PACML
22,FOODPANDA,6,0.000,1,PACML
23,P50 BUCAL Voucher,2,50.000,1,PACML
24,INCENTIVES,6,0.000,1,PACML
25,GRAD 100 GC,2,100.000,1,PACML
26,ON THE HOUSE,6,0.000,1,PACML
27,200 GC,0,0.000,1,PACML
29,BULK ORDER CHARGING,6,0.000,1,PACML
