DEP_CODE,DEP_DESC,POS,BRANCH
1,CHICKEN MEALS,1,SIPOCOT
2,CLASSIC MEALS,1,SIPOCOT
3,BREAKFAST,1,SIPOCOT
4,PASTA DISHES,1,SIPOCOT
5,SHAKES,1,SIPOCOT
6,BURGERS AND SANDWICHES,1,SIPOCOT
7,BEVERAGES,1,SIPOCOT
8,EXTRAS,1,SIPOCOT
9,SALAD DELIGHTS,1,SIPOCOT
10,SIDINGS,1,SIPOCOT
11,SOUP,1,SIPOCOT
12,CAKES,1,SIPOCOT
13,NESPRESSO,1,SIPOCOT
16,REPRESENTATION,1,SIPOCOT
17,PREMIUM ITEMS,1,SIPOCOT
19,UPGRADES UPSELLING,1,SIPOCOT
20,RND,1,SIPOCOT
24,KIDS EAT FREE,1,SIPOCOT
30,MODIFIER,1,SIPOCOT
32,MARKETING PROMO,1,SIPOCOT
35,BIGGS AT HOME,1,SIPOCOT
40,BULK ORDERS,1,SIPOCOT
41,FOOD PANDA,1,SIPOCOT
47,SNACKS,1,SIPOCOT
48,SALAD DRESSINGS,1,SIPOCOT
53,BDS,1,SIPOCOT
54,MERCH ITEM,1,SIPOCOT
18,SIZZLERS,1,SIPOCOT
23,BIGGS LOYALTY,1,SIPOCOT
15,BIGGS LOYALTY 2,1,SIPOCOT
21,ADD ONS,1,SIPOCOT
25,GO BIGG,1,SIPOCOT
27,COFFEE,1,SIPOCOT
29,FUNCTION,1,SIPOCOT
31,PARTY PACKS,1,SIPOCOT
33,RSD PROMOS,1,SIPOCOT
34,NON-COFFEE,1,SIPOCOT
36,TEST MARKET,1,SIPOCOT
37,HOLIDAY PARTY PACKS,1,SIPOCOT
