INCODE,ITE_DESC,ECR_DESC,DEP_CODE,UNT_PRIC,UNIT,TAXPRCNT1,TAXAMOUNT1,TAX1DIV,POS,BRANCH
CHM2,BIGG DEAL,BIGG DEAL,1,342.000,PC,12.000,19.500,9.330000,1,SIPOCOT
CHM3,CHICKEN-KEBAB MEAL,CHKN-KEBAB,1,298.000,PC,12.000,17.360,9.330000,1,SIPOCOT
CHM4,CRISPY 1PC,CRISPY 1PC,1,149.000,PC,12.000,10.610,9.330000,1,SIPOCOT
CHM5,CAJUN 2PCS,CAJUN 2PCS,1,328.000,PC,12.000,21.320,9.330000,1,SIPOCOT
CHM6,CAJUN 1PC,CAJUN 1PC,1,174.000,PC,12.000,12.750,9.330000,1,SIPOCOT
CHM7,BT-MACARONI,BT-MACARONI,1,229.000,PC,12.000,15.320,9.333333,1,SIPOCOT
CHM8,CRISPY 2PCS,CRISPY 2PCS,1,278.000,PC,12.000,15.960,9.330000,1,SIPOCOT
CHM9,DOUBLE TREAT,DOUBLE TREAT,1,238.000,PC,12.000,14.890,9.330000,1,SIPOCOT
CHM10,CARBO W CHICKEN,CARBO W CHKN,1,263.000,PC,12.000,15.540,9.330000,1,SIPOCOT
CHM11,SPAGHETTI PLATTER,SPAG PLATTER,1,267.000,PC,12.000,17.680,9.330000,1,SIPOCOT
CHM12,CARBO PLATTER,CARBO PLATTER,1,298.000,PC,12.000,19.820,9.330000,1,SIPOCOT
CHM13,6PCS CHICKEN IN A BOX,6PCS CHX BOX,1,739.000,PC,12.000,54.540,9.330000,1,SIPOCOT
CHM14,8PCS CHICKEN IN A BOX,8PCS-CHX BOX,1,984.000,PC,12.000,70.610,9.330000,1,SIPOCOT
CHM15,1PC CHICKEN W PINEAPPLE JUICE,1PC CHCKN W PJ,1,125.000,PC,12.000,13.390,9.333333,1,SIPOCOT
CLM1,PORK CORDON BLEU,CORDON BLEU,2,333.000,PC,12.000,18.750,9.333333,1,SIPOCOT
CLM2,PORK KEBABS,PORK KEBABS,2,333.000,PC,12.000,17.250,9.333333,1,SIPOCOT
CLM3,BICOL SPECIAL,BICOL SPECIAL,2,333.000,PC,12.000,17.140,9.333333,1,SIPOCOT
CLM4,TENDERLOIN TIPS W BMP,TIPS W BMP,0,189.000,PC,12.000,18.750,9.333333,1,SIPOCOT
CLM5,TENDERLOIN TIPS,TIPS,0,289.000,PC,12.000,16.610,9.333333,1,SIPOCOT
CLM6,KOREAN SPARE RIBS,KSR,2,433.000,PC,12.000,22.290,9.333333,1,SIPOCOT
CLM7,SALISBURY STEAK,SALIS,2,323.000,PC,12.000,15.540,9.330000,1,SIPOCOT
CLM8,BABY BACK RIBS,BABY BACK RIBS,2,499.000,PC,12.000,26.250,9.333333,1,SIPOCOT
CLM10,TANGUEGUI STEAK,TANGUEGUI STEA,2,364.000,PC,12.000,17.680,9.333333,1,SIPOCOT
CLM12,DAING NA BANGUS,DNB,2,362.000,PC,12.000,15.110,9.333333,1,SIPOCOT
CLM15,MIXED VEGGIES,MIXED VEGGIES,2,109.000,PC,12.000,8.460,9.333333,1,SIPOCOT
BRK1,AMERICAN SLAM,AMERICAN SLAM,3,297.000,PC,12.000,15.960,9.333333,1,SIPOCOT
BRK2,COUNTRY BREAKFAST,COUNTRY B,3,286.000,PC,12.000,15.540,9.333333,1,SIPOCOT
BRK4,DAING NA BANGUS W EGG,DNB W EGG,3,219.000,PC,12.000,12.110,9.333333,1,SIPOCOT
BRK6,FRANKS N EGG,FRANKS N EGG,3,248.000,PC,12.000,12.750,9.333333,1,SIPOCOT
BRK8,TOCILOG,TOCILOG,3,259.000,PC,12.000,14.250,9.333333,1,SIPOCOT
BRK9,TAPSILOG,TAPSILOG,3,267.000,PC,12.000,15.320,9.333333,1,SIPOCOT
BRK10,GOTO,GOTO,3,99.000,PC,12.000,6.960,9.330000,1,SIPOCOT
BRK11,GOTO W EGG,GOTO W EGG,3,119.000,PC,12.000,8.250,9.330000,1,SIPOCOT
BRK12,GOTO W TB,GOTO W TB,3,115.000,PC,12.000,11.460,9.330000,1,SIPOCOT
BRK13,GOTO W EGG TB,GOTO W EGG TB,47,135.000,PC,12.000,12.750,9.330000,1,SIPOCOT
BRK16,UNLI COFFEE,UNLI COFFEE,3,20.000,PC,12.000,14.460,9.330000,1,SIPOCOT
PST1,SPAGHETTI,SPAGHETTI,4,114.000,PC,12.000,6.960,9.333333,1,SIPOCOT
PST4,SPAGHETTI W P.BREAD,SPAG W P.BREAD,4,144.000,PC,12.000,10.610,9.333333,1,SIPOCOT
PST2,CARBONARA,CARBONARA,4,134.000,PC,12.000,9.110,9.333333,1,SIPOCOT
PST3,CARBONARA W P.BREAD,CARBO W P.BREA,4,174.000,PC,12.000,11.250,9.330000,1,SIPOCOT
SHK1,RIPE MANGO SHAKE,RMS,5,159.000,PC,12.000,7.390,9.330000,1,SIPOCOT
SHK5,COOKIES N CREAM,COOKIES N CREA,5,159.000,PC,12.000,7.390,9.330000,1,SIPOCOT
SHK7,COOKIES N CREAM,COOKIES N CRM,5,159.000,PC,12.000,10.180,9.330000,1,SIPOCOT
BS1,BACON BURGER,BCB,6,149.000,PC,12.000,9.320,9.330000,1,SIPOCOT
BS2,TUNA SANDWICH,TUNA SANDWICH,6,119.000,PC,12.000,8.460,9.330000,1,SIPOCOT
BS3,CLASSIC BURGER,CB,6,109.000,PC,12.000,5.250,9.330000,1,SIPOCOT
BS4,CHEESY BURGER,CCB,6,119.000,PC,12.000,7.390,9.330000,1,SIPOCOT
BS6,PIZZA BREAD,PIZZA BREAD,6,89.000,PC,12.000,5.360,9.330000,1,SIPOCOT
BS7,EXT``E REUBEN BURGER,REUBEN BURGER,6,299.000,PC,12.000,21.320,9.330000,1,SIPOCOT
BS8,EXT``E BURGER,EXT``E BURGER,6,209.000,PC,12.000,14.460,9.330000,1,SIPOCOT
BS9,EXTRME SUP``E BURGER,XTRM SUP,6,298.000,PC,12.000,17.040,9.330000,1,SIPOCOT
BS10,EXTRME PLATTER,EXTRME PLATTER,6,264.000,PC,12.000,17.890,9.330000,1,SIPOCOT
BS11,TOWER BURGER,TOWER BURGER,6,467.000,PC,12.000,30.000,9.330000,1,SIPOCOT
XTR1,1PC CHICKEN,1PC CHICKEN,8,124.000,PC,12.000,9.860,9.333333,1,SIPOCOT
XTR2,1PC CAJUN CHICKEN,1PC CAJUN CHIC,8,124.000,PC,12.000,10.390,9.333333,1,SIPOCOT
XTR3,1PC KEBAB,1PC KEBAB,8,155.000,PC,12.000,6.750,9.333333,1,SIPOCOT
XTR4,HOTDOG,HOTDOG,8,99.000,PC,12.000,3.750,9.333333,1,SIPOCOT
XTR5,2PC BMP,2PC BMP,8,79.000,PC,12.000,6.960,9.333333,1,SIPOCOT
XTR6,FRENCH FRIES,FRENCH FRIES,8,99.000,PC,12.000,5.360,9.330000,1,SIPOCOT
XTR7,HERBMAYO,HERBMAYO,8,0.000,PC,12.000,5.790,9.330000,1,SIPOCOT
XTR8,PLAIN RICE,PLAIN RICE,8,39.000,PC,12.000,3.210,9.333333,1,SIPOCOT
XTR9,FRIED RICE,FRIED RICE,8,45.000,PC,12.000,3.750,9.333333,1,SIPOCOT
XTR10,JAVA RICE,JAVA RICE,8,49.000,PC,12.000,4.290,9.333333,1,SIPOCOT
XTR11,ATCHARA,ATCHARA,8,30.000,PC,12.000,2.140,9.333333,1,SIPOCOT
XTR12,CORN,CORN,8,25.000,PC,12.000,1.070,9.333333,1,SIPOCOT
XTR13,COLESLAW,COLESLAW,8,25.000,PC,12.000,1.930,9.333333,1,SIPOCOT
XTR14,GRAVY,GRAVY,8,20.000,PC,12.000,1.710,9.333333,1,SIPOCOT
XTR15,1PC BMP,1PC BMP,8,59.000,PC,12.000,3.430,9.333333,1,SIPOCOT
