PAY_CODE,PAY_DESC,METHOD,MAX_AMOUNT,POS,BRANCH
00001,CASH,0,0.000,1,SIPOCOT
00002,CREDIT CARD,1,0.000,1,SIPOCOT
00003,DEBIT,3,0.000,1,SIPOCOT
1,PAYMAYA,6,0.000,1,SIPOCOT
2,FOODPANDA,6,0.000,1,SIPOCOT
3,CHARGE,6,0.000,1,SIPOCOT
4,GC 100,2,100.000,1,SIPOCOT
5,GC 50,2,50.000,1,SIPOCOT
6,BIGGS CARAVAN,2,50.000,1,SIPOCOT
7,REPRESENTATION,6,0.000,1,SIPOCOT
8,CHARGE TO LSM,6,0.000,1,SIPOCOT
9,BIGGS LOYALTY,6,0.000,1,SIPOCOT
10,BOUNCE GC P50,2,50.000,1,SIPOCOT
11,P50 BUCAL Voucher,2,50.000,1,SIPOCOT
12,CHARGE TO RND,6,0.000,1,SIPOCOT
13,INCENTIVES,6,0.000,1,SIPOCOT
14,CHARGE TO MKTG,0,0.000,1,SIPOCOT
15,CHARGE TO LSM C,0,0.000,1,SIPOCOT
16,PAYLORO,6,0.000,1,SIPOCOT
17,ON THE HOUSE,6,0.000,1,SIPOCOT
18,GC P200,0,0.000,1,SIPOCOT
19,200 GC,0,0.000,1,SIPOCOT
20,FRANCHISE CHARGING,6,0.000,1,SIPOCOT
21,BULK ORDER CHARGING,6,0.000,1,SIPOCOT
