CODE,DESC,TYPE,VALUE,POS,BRANCH
1,SR. CTZN 20%,SUBTOTAL PERCENT,20.000,1,SMLIP
2,SR. CTZN P50,SUBTOTAL AMOUNT,50.000,1,SMLIP
3,SR. CTZN P200,SUBTOTAL AMOUNT,200.000,1,SMLIP
4,PRESTIGE 8%,SUBTOTAL PERCENT,8.000,1,SMLIP
5,REG. EMP 20%,SUBTOTAL PERCENT,20.000,1,SMLIP
6,REG. EMP P200,SUBTOTAL AMOUNT,200.000,1,SMLIP
7,ACS 5%,SUBTOTAL PERCENT,5.000,1,SMLIP
8,ACS 3%,SUBTOTAL PERCENT,3.000,1,SMLIP
9,DISABLITY 20%,SUBTOTAL PERCENT,20.000,1,SMLIP
10,PRESTIGE 80,SUBTOTAL AMOUNT,80.000,1,SMLIP
16,DELASALLE,SUBTOTAL PERCENT,10.000,1,SMLIP
17,UNIV OF BAT,SUBTOTAL PERCENT,10.000,1,SMLIP
18,BSU,SUBTOTAL PERCENT,10.000,1,SMLIP
20,LYCEUM,SUBTOTAL PERCENT,10.000,1,SMLIP
21,LCC,SUBTOTAL PERCENT,10.000,1,SMLIP
23,PREMIUM DISCOUNT,ITEM PERCENT,10.000,1,SMLIP
24,5% PRESTIGE,SUBTOTAL PERCENT,5.000,1,SMLIP
25,5% DISCOUNT,SUBTOTAL PERCENT,5.000,1,SMLIP
27,5% PAG IBIG DISCOUNT,SUBTOTAL PERCENT,5.000,1,SMLIP
28,SEMCO 8% DISCOUNT,SUBTOTAL PERCENT,8.000,1,SMLIP
29,8% ALORICA,SUBTOTAL PERCENT,8.000,1,SMLIP
32,OFW POWER CLUB 8%,SUBTOTAL PERCENT,8.000,1,SMLIP
33,10% DISCOUNT,SUBTOTAL PERCENT,10.000,1,SMLIP
38,MAKE IT BIGGS,SUBTOTAL PERCENT,20.000,1,SMLIP
39,10.10 DISCOUNT,SUBTOTAL PERCENT,10.000,1,SMLIP
40,P55 OFF,SUBTOTAL AMOUNT,55.000,1,SMLIP
41,MOMS BIGG DAY,SUBTOTAL PERCENT,20.000,1,SMLIP
42,COO 20% DISC,SUBTOTAL PERCENT,20.000,1,SMLIP
43,CEO 20% DISC,SUBTOTAL PERCENT,20.000,1,SMLIP
44,10% TRAVEL DISCOUNT,SUBTOTAL PERCENT,10.000,1,SMLIP
45,8% ROTARY CLUB NAGA,SUBTOTAL PERCENT,8.000,1,SMLIP
