DEP_CODE,DEP_DESC,POS,BRANCH
01,CHICKEN MEALS,1,SMLIP
02,CLASSIC MEALS,1,SMLIP
03,BREAKFAST,1,SMLIP
04,PASTA DISHES,1,SMLIP
05,CAKES,1,SMLIP
06,BURGERS AND SANDWICHES,1,SMLIP
07,BEVERAGES,1,SMLIP
09,EXTRAS,1,SMLIP
10,SALAD DELIGHTS,1,SMLIP
12,PARTY PACK ADD ON,1,SMLIP
13,BULK ORDER,1,SMLIP
14,KICKERS AND DIPS,1,SMLIP
15,FREE,1,SMLIP
16,BEEF BUNDLES,1,SMLIP
17,ICED TEA UPGRADE,1,SMLIP
19,SOUP,1,SMLIP
20,PREMIUM ITEMS,1,SMLIP
21,SHAKES,1,SMLIP
23,UPGRADE,1,SMLIP
24,UPSELLING,1,SMLIP
25,RND,1,SMLIP
18,SIDINGS,1,SMLIP
27,KDOG,1,SMLIP
28,REPRESENTATION,1,SMLIP
29,DELIVERY,1,SMLIP
30,BIGGS AT HOME,1,SMLIP
31,PROMO,1,SMLIP
35,BIGGS COMPLIMENTARY CUPON,1,SMLIP
40,JUICE DRINK UPGRADE,1,SMLIP
41,MEALS,1,SMLIP
43,MARKETING PROMO,1,SMLIP
47,DOUBLE TREAT PROMO,1,SMLIP
48,PARTY PACKS MEAL,1,SMLIP
46,NANAYS FAVORITE,1,SMLIP
51,SIZZLERS,1,SMLIP
52,EATS FOR MEETS,1,SMLIP
53,KIDS PARTY PACKAGES,1,SMLIP
54,KIDS POWER MEALS,1,SMLIP
55,KIDS EAT FREE,1,SMLIP
56,HOLIDAY FEAST,1,SMLIP
69,CREDIT LINE,1,SMLIP
1,MANILA MENU,1,SMLIP
3,BIGGS LOYALTY,1,SMLIP
4,HOLIDAY PARTY PACKS,1,SMLIP
11,ADD ONS,1,SMLIP
22,DELIVERY 2,1,SMLIP
7,BIGGS LOYATY 2,1,SMLIP
8,GO BIGG,1,SMLIP
26,FP COFFEE,1,SMLIP
34,RSD PROMOS,1,SMLIP
36,SNACKS,1,SMLIP
