INCODE,ITE_DESC,ECR_DESC,DEP_CODE,UNT_PRIC,UNIT,TAXPRCNT1,TAXAMOUNT1,TAX1DIV,POS,BRANCH
CHM1,BIGGS FRIED CHICKEN 2PC,BIGGS CHKN 2PC,01,309.000,PC,12.000,15.960,9.330000,1,SMLIP
CHM2,BIGG DEAL,BDEAL,01,362.000,PC,12.000,17.680,9.330000,1,SMLIP
CHM3,CHKN-KEBAB MEAL,CHKN-KEBAB MEA,01,328.000,PC,12.000,15.210,9.330000,1,SMLIP
CHM4,BIGGS FRIED CHICKEN 1PC,BIGGS CHKN 1PC,01,169.000,PC,12.000,9.540,9.330000,1,SMLIP
CHM5,BIGGS CAJUN CHICKEN 2PC,BIGGSCAJUN 2PC,01,329.000,PC,12.000,16.820,9.330000,1,SMLIP
CHM6,BIGGS CAJUN CHICKEN 1PC,BIGGSCAJUN 1PC,01,199.000,PC,12.000,10.610,9.330000,1,SMLIP
CHM7,BT-MAC,BT-MAC,01,249.000,PC,12.000,13.390,9.333333,1,SMLIP
CHM8,BT-POT,BT-POT,01,149.000,PC,12.000,13.820,9.333333,1,SMLIP
CHM9,DOUBLE TREAT,DT,01,276.000,PC,12.000,12.750,9.333333,1,SMLIP
CHM10,CARBO W CHKN,CARBO-CHKN,01,296.000,PC,12.000,13.610,9.330000,1,SMLIP
CHM11,SPAG PLATTER,SPAG PLTR,01,311.000,PC,12.000,13.820,9.330000,1,SMLIP
CHM12,CARBO PLATTER,CARBO PLAT,01,323.000,PC,12.000,15.750,9.330000,1,SMLIP
CHM13,CHICKEN N BOX-6,CHKN N BOX-6,01,759.000,PC,12.000,44.460,9.330000,1,SMLIP
CHM14,CHICKEN N BOX-8,CHKN N BOX-8,01,998.000,PC,12.000,58.390,9.330000,1,SMLIP
CLM1,CORDON,CORDON,02,333.000,PC,12.000,16.290,9.330000,1,SMLIP
CLM2,PORK KEBABS,KEBABS,02,333.000,PC,12.000,14.460,9.333333,1,SMLIP
CLM3,BICOL SPECIAL,BICOL,02,319.000,PC,12.000,14.140,9.333333,1,SMLIP
CLM4,TIPS W BMP,TIPS W BMP,0,189.000,PC,12.000,15.860,9.333333,1,SMLIP
CLM5,KSR,KSR,02,433.000,PC,12.000,19.500,9.333333,1,SMLIP
CLM6,TIPS,TIPS,02,289.000,PC,12.000,13.390,9.333333,1,SMLIP
CLM7,SALISBURY STEAK,SALIS,02,323.000,PC,12.000,12.320,9.330000,1,SMLIP
CLM8,BABY BACK RIBS,BABY BACK,02,499.000,PC,12.000,21.540,9.330000,1,SMLIP
CLM9,PORK ROAST,PORK ROAST,02,157.000,PC,12.000,16.820,9.333333,1,SMLIP
CLM10,FISH CREOLE,FISH CREOLE,02,229.000,PC,12.000,11.790,9.333333,1,SMLIP
CLM11,TANGUEGUI STEAK,TANGUEGUI,02,374.000,PC,12.000,16.070,9.330000,1,SMLIP
CLM12,TUNA SALPICAO,TUNA SLPC,02,376.000,PC,12.000,11.790,9.333333,1,SMLIP
BRK1,AMERICAN SLAM,AMRICAN SLAM,03,299.000,PC,12.000,14.460,9.333333,1,SMLIP
BRK2,COUNTRY BREAKFAST,COUNTRY B,03,292.000,PC,12.000,13.820,9.333333,1,SMLIP
BRK3,BET,BET,03,129.000,PC,12.000,12.000,9.333333,1,SMLIP
BRK4,DNB W EGG,DNB W EGG,03,239.000,PC,12.000,9.540,9.333333,1,SMLIP
BRK5, FARMERS DELIGHT, FARMERS D,03,0.000,PC,12.000,8.570,9.333333,1,SMLIP
BRK6,FRANKS N EGG,FRANKS,03,258.000,PC,12.000,10.610,9.333333,1,SMLIP
BRK7,GRAND SLAM,GRAND SLAM,03,109.000,PC,12.000,9.320,9.333333,1,SMLIP
BRK8,TOSILOG,TOSILOG,03,262.000,PC,12.000,10.930,9.333333,1,SMLIP
BRK9,TAPSILOG,TAPSILOG,03,273.000,PC,12.000,10.930,9.333333,1,SMLIP
CLM13,DAING NA BANGUS,DNB,02,372.000,PC,12.000,12.000,9.330000,1,SMLIP
CLM14,DNB W PNGAT,DNB W PNGAT,02,175.000,PC,12.000,12.320,9.333333,1,SMLIP
BRK10,GOTO,GOTO,03,119.000,PC,12.000,5.250,9.333333,1,SMLIP
BRK11,GOTO W EGG,GOTO W EGG,03,129.000,PC,12.000,6.320,9.333333,1,SMLIP
BRK12,GOTO W TB,GOTO W TB,03,115.000,PC,12.000,9.540,9.333333,1,SMLIP
BRK13,GOTO W EGG.TB,GOTO W EGG.TB,03,135.000,PC,12.000,10.610,9.333333,1,SMLIP
PST1,SPAGHETTI,SPAG,04,149.000,PC,12.000,5.570,9.333333,1,SMLIP
PST2,SPAG W PIZZA BREAD,SPAG  PBRD,04,169.000,PC,12.000,9.320,9.333333,1,SMLIP
PST3,CARBONARA,CARBO,04,164.000,PC,12.000,8.040,9.333333,1,SMLIP
PST5,SHRIMP PASTA,SHRIMP PASTA,04,120.000,PC,12.000,11.790,9.333333,1,SMLIP
