PAY_CODE,PAY_DESC,METHOD,MAX_AMOUNT,POS,BRANCH
00001,CASH,0,0.000,1,SMLIP
3,CHARGE,6,0.000,1,SMLIP
4,REPRESENTATION,6,0.000,1,SMLIP
2,GIFT CHECK,2,50.000,1,SMLIP
5,BIGGS MONEY,2,0.000,1,SMLIP
12,CREDIT CARD,1,0.000,1,SMLIP
13,DEBIT CARD,6,0.000,1,SMLIP
14,FOODPANDA,6,0.000,1,SMLIP
15,PAYMAYA,6,0.000,1,SMLIP
18,BIGGS LOYALTY,6,0.000,1,SMLIP
20,CHARGE TO LSM,6,0.000,1,SMLIP
23,INCENTIVES,6,0.000,1,SMLIP
24,CHARGE TO MKTG,0,0.000,1,SMLIP
25,ON THE HOUSE,6,0.000,1,SMLIP
26,200 GC,0,0.000,1,SMLIP
27,GLOBAL PAYMENTS,6,0.000,1,SMLIP
28,GC 100,2,100.000,1,SMLIP
29,BULK ORDER CHARGING,6,0.000,1,SMLIP
