CODE,DESC,TYPE,VALUE,POS,BRANCH
1,SNR CTZN 20%,SUBTOTAL PERCENT,20.000,1,SMNAG
2,20% PWD ITEM DISC,ITEM PERCENT,20.000,1,SMNAG
9,5% DISCOUNT,SUBTOTAL PERCENT,5.000,1,SMNAG
14,PWD 20% DISCOUNT,SUBTOTAL PERCENT,20.000,1,SMNAG
12,8% ST JOSEPH DINE TA,SUBTOTAL PERCENT,8.000,1,SMNAG
19,OFW PWRCLUB CARD 8%,SUBTOTAL PERCENT,8.000,1,SMNAG
31,MAKE IT BIGGS,SUBTOTAL PERCENT,20.000,1,SMNAG
3,20% HAVAIANAS,SUBTOTAL PERCENT,20.000,1,SMNAG
4,CEO 20% DISC,SUBTOTAL PERCENT,20.000,1,SMNAG
5,COO 20% DISC,SUBTOTAL PERCENT,20.000,1,SMNAG
6,50% TEXMEX EMP DISC,SUBTOTAL AMOUNT,224.000,1,SMNAG
7,10% TRAVEL DISCOUNT,SUBTOTAL PERCENT,10.000,1,SMNAG
8,8% PICHE BICOL,SUBTOTAL PERCENT,8.000,1,SMNAG
10,8% HABAGAT CS EAGLES,SUBTOTAL PERCENT,8.000,1,SMNAG
11,8% ROTARY CLUB NAGA,SUBTOTAL PERCENT,8.000,1,SMNAG
13,8% MAHARLIKA EAGLES,SUBTOTAL PERCENT,8.000,1,SMNAG
15,MHRLK EAGLES 1000MAX,SUBTOTAL AMOUNT,1000.000,1,SMNAG
16,PICHE BICOL 1000 MAX,SUBTOTAL AMOUNT,1000.000,1,SMNAG
17,ROTARY NAGA 1000 MAX,SUBTOTAL AMOUNT,1000.000,1,SMNAG
18,HBGT EAGLES 1000MAX,SUBTOTAL AMOUNT,1000.000,1,SMNAG
24,8% ROTARY OF IRIGA,SUBTOTAL PERCENT,8.000,1,SMNAG
25,OFW PC 1000 MAX DISC,SUBTOTAL AMOUNT,1000.000,1,SMNAG
26,ROTARYOFIRIGA1000MAX,SUBTOTAL AMOUNT,1000.000,1,SMNAG
27,8% REBAP DISCOUNT,SUBTOTAL PERCENT,8.000,1,SMNAG
28,1000MAX REBAP DISC,SUBTOTAL AMOUNT,1000.000,1,SMNAG
29,8% ENVP CamSur,SUBTOTAL PERCENT,8.000,1,SMNAG
30,8% CSNHS Alumni,SUBTOTAL PERCENT,8.000,1,SMNAG
32,1000MAX ENVP CamSur,SUBTOTAL AMOUNT,1000.000,1,SMNAG
33,1000MAX CSNHS Alumni,SUBTOTAL AMOUNT,1000.000,1,SMNAG
37,8% IMAP R5,SUBTOTAL PERCENT,8.000,1,SMNAG
38,8% STJOSEPH,SUBTOTAL PERCENT,8.000,1,SMNAG
39,8% NATL PH EAGLES,SUBTOTAL PERCENT,8.000,1,SMNAG
40,1000MAX IMAP,SUBTOTAL AMOUNT,1000.000,1,SMNAG
41,1000MAX STJOSEPH,SUBTOTAL AMOUNT,1000.000,1,SMNAG
42,1000MAX NATLEAGLES,SUBTOTAL AMOUNT,1000.000,1,SMNAG
43,8% PAMET CAMSUR,SUBTOTAL PERCENT,8.000,1,SMNAG
