PAY_CODE,PAY_DESC,METHOD,MAX_AMOUNT,POS,BRANCH
00001,CASH,0,0.000,1,SMNAG
00002,CREDIT CARD,1,0.000,1,SMNAG
1,CHARGE,6,0.000,1,SMNAG
2,REPRESENTATION,6,0.000,1,SMNAG
3,GC P50,2,50.000,1,SMNAG
4,GC P100,2,100.000,1,SMNAG
5,GRAD P50,2,50.000,1,SMNAG
6,GRAD P100,2,100.000,1,SMNAG
8,BIGGS MONEY,6,0.000,1,SMNAG
9,DEBIT CARD,1,0.000,1,SMNAG
11,FOOD PANDA,6,0.000,1,SMNAG
15,PAYMAYA,6,0.000,1,SMNAG
16,MIB CASH,0,0.000,1,SMNAG
17,MIB PAYMAYA,0,0.000,1,SMNAG
18,BIGGS LOYALTY,6,0.000,1,SMNAG
7,BOUNCE GC P50,2,50.000,1,SMNAG
10,CARAVAN VOUCHER P50,2,50.000,1,SMNAG
12,CHARGE TO LSM,6,0.000,1,SMNAG
13,P50 BUCAL VOUCHER,2,50.000,1,SMNAG
14,INCENTIVES,6,0.000,1,SMNAG
19,CHARGE TO MKTG,0,0.000,1,SMNAG
20,GRAD 100 GC,2,100.000,1,SMNAG
21,PAYLORO,6,0.000,1,SMNAG
22,ON THE HOUSE,6,0.000,1,SMNAG
23,200 GC,0,0.000,1,SMNAG
24,FRANCHISE CHARGING,6,0.000,1,SMNAG
25,BULK ORDER CHARGING,6,0.000,1,SMNAG
